COMPANY NAME,PRINCE PIPES & FITTINGS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,627.65,,,,,,,,,
Market Capitalization,6939.36,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,957.19,1007.37,1246.5,1315.04,1571.87,1635.66,2071.52,2656.83,2710.87
Raw Material Cost,,732.88,737.45,944.02,939.99,1106.94,1215.71,1333.96,1979.81,2057.6
Change in Inventory,,7.41,-8.72,54.96,18.56,-20.42,89.28,-44.89,88.32,-34.6
Power and Fuel,,29.07,30.1,33.94,34.3,38.72,45.13,42.14,45.3,55.85
Other Mfr. Exp,,11.85,32.36,43.55,48.54,67.4,73.08,73.72,91.89,104.9
Employee Cost,,48.77,52.72,60.96,72.57,81.71,90.4,100.03,116.58,116.43
Selling and admin,,38.5,39.01,50.23,62.89,68.69,57.6,94.82,70.54,75.62
Other Expenses,,21.81,7.17,5.56,11.2,3.94,12.89,18.04,24.74,15.56
Other Income,,2.06,0.34,1.91,5.26,7.13,5.59,15.32,4.79,8.55
Depreciation,,28.55,29.68,32.83,38.09,43.57,51.98,59.42,70.31,83.01
Interest,,37.4,33.5,36.37,36.11,36.3,33.17,20.67,13.9,11.01
Profit before tax,,17.83,37,95.91,95.17,111.31,150.57,299.15,336.87,164.84
Tax,,2.15,7.46,21.73,22.4,29.18,38.06,77.31,87.47,43.42
Net profit,,15.68,29.54,74.18,72.77,82.13,112.51,221.83,249.4,121.42
Dividend Amount,,,,,,,11,38.51,38.7,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,761.01,664.02,901.2,604.08,636.49,705.9,764.41,553.55,656.45,618.62
Expenses,638.3,552.88,760.68,560.22,647.83,636.43,616.07,508.24,562.27,542.96
Other Income,1.47,1.7,0.1,1.24,2.67,1.22,3.42,3.8,21.88,3.01
Depreciation,16.86,17.61,19.91,19.66,21.16,21.05,21.14,21.81,22.53,22.91
Interest,3.75,3.43,4.03,3.38,3.2,1.62,2.83,1.74,0.69,2.71
Profit before tax,103.57,91.8,116.68,22.06,-33.03,48.02,127.79,25.56,92.84,53.05
Tax,27.48,24.48,28.44,6.03,-8.92,12.63,33.67,5.94,22.2,15.42
Net profit,76.09,67.32,88.23,16.03,-24.11,35.39,94.12,19.62,70.63,37.63
Operating Profit,122.71,111.14,140.52,43.86,-11.34,69.47,148.34,45.31,94.18,75.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,48.01,48.01,45.01,90.02,90.02,110.03,110.03,110.56,110.56
Reserves,,106.41,136.17,197.54,226.56,308.9,727.65,933.45,1154.71,1253.4
Borrowings,,299.55,299.34,322.88,372.4,296.91,264.17,88.04,151.93,62.87
Other Liabilities,,141.65,169.78,195.07,290.9,338.04,308.36,451.33,521.84,427.36
Total,,595.62,653.3,760.5,979.88,1033.87,1410.21,1582.85,1939.04,1854.19
Net Block,,224.17,237.53,268.53,344.65,363.36,488.58,502.99,645.6,680.57
Capital Work in Progress,,4.35,14.13,18.03,14.68,61.51,7.53,76.55,22.56,23.56
Investments,,0.16,1.51,0.73,0.74,0.78,0.63,1.46,11.73,91.99
Other Assets,,366.94,400.13,473.21,619.81,608.22,913.47,1001.85,1259.15,1058.07
Total,,595.62,653.3,760.5,979.88,1033.87,1410.21,1582.85,1939.04,1854.19
Receivables,,212.6,238.99,236.74,239.39,250.36,179.71,330.8,434.62,415.02
Inventory,,112.56,100.52,174.24,241.52,201.06,344.52,227.33,618.81,425.65
Cash & Bank,,6.04,8.57,12.37,9.63,22.32,257.02,229.92,58.64,124.41
No. of Equity Shares,,48007908,48007908,45007908,90015816,90015816,110025759,110025759,110561079,110561079
New Bonus Shares,,,,,45007908,,,,,
Face value,,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,122.84,85.86,93.91,162.24,218.64,102.3,291.99,-19.5,360.16
Cash from Investing Activity,,-30.2,-50.82,-66.94,-170.26,-105.06,-367.69,-69.72,20.48,-148.12
Cash from Financing Activity,,-92.75,-35.03,-24.29,5.54,-104.93,256.56,-213.88,22.19,-122.18
Net Cash Flow,,-0.11,0.01,2.67,-2.49,8.66,-8.83,8.39,23.17,89.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,102.65,417.45,634.25,542.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,4.8,4.8,4.5,9,9,11,11,11.06,11.06
