COMPANY NAME,AVENUE SUPERMARTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,4798.65,,,,,,,,,
Market Capitalization,311748.42,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,6439.43,8583.76,11897.7,15033.2,20004.52,24870.2,24143.06,30976.27,42839.56,50788.83
Raw Material Cost,5648.47,7435.62,10357.25,12846.95,17445.49,21441.68,20855.56,26891.77,36884.77,43958.31
Change in Inventory,161.28,132.08,276.22,211.31,444.65,338.75,300.88,494.38,500.82,683.77
Power and Fuel,59.33,79.24,99.41,121.26,152.8,188.24,174.2,207.86,314.62,
Other Mfr. Exp,155.35,241.36,332.9,373.72,499.72,645.96,746.43,805.85,1116.56,
Employee Cost,134.06,149.04,192.67,283.14,356.17,457.14,537.58,617.36,748.16,906.12
Selling and admin,582.8,647.37,71.24,96,135.84,119.23,108.69,143.41,212.04,
Other Expenses,-435.56,-501.25,151.27,170.58,225.84,228.39,276.65,302.05,425.46,2504.4
Other Income,20.27,17.02,27.7,87.75,48.33,59.99,194.43,113.64,127.6,146.45
Depreciation,81.54,98.43,127.82,159,212.49,374.41,414.16,498.08,638.87,730.76
Interest,72.36,91.34,121.98,59.54,47.21,69.12,41.65,53.79,67.41,58.13
Profit before tax,322.63,491.71,747.08,1222.07,1421.94,1744.77,1483.45,2064.12,3060.09,3461.33
Tax,110.92,171.47,268.28,415.79,519.48,443.79,384.02,571.72,681.75,925.72
Net profit,211.67,320.24,478.75,806.26,902.54,1301.08,1099.49,1492.55,2378.51,2536.17
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,9217.76,8786.45,10038.07,10638.33,11569.05,10594.11,11865.44,12624.37,13572.47,12726.55
Expenses,8351.3,8047.17,9029.83,9746.31,10603.79,9822.6,10830.17,11619.4,12452.58,11782.91
Other Income,25.96,32.57,29.14,35.57,31.56,33.07,38.74,36.92,32.92,37.87
Depreciation,128.3,146.33,144.74,161.96,168.09,164.08,162.18,174.36,189.33,204.89
Interest,13.95,16.63,17.22,17.68,16.98,15.53,14.57,15.59,14.55,13.42
Profit before tax,750.17,608.89,875.42,747.95,811.75,624.97,897.26,851.94,948.93,763.2
Tax,197.64,182.14,232.53,62.24,222.11,164.87,238.55,228.59,258.52,200.06
Net profit,552.56,426.83,642.93,685.77,589.68,460.13,658.75,623.56,690.61,563.25
Operating Profit,866.46,739.28,1008.24,892.02,965.26,771.51,1035.27,1004.97,1119.89,943.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,561.54,561.54,624.08,624.08,624.08,647.77,647.77,647.77,648.26,650.73
Reserves,637.65,958.9,3217.7,4044.97,4963.37,10431.97,11535.94,13029.87,15430.44,18047.09
Borrowings,904.26,1192.34,1497.32,439.25,700.15,333.19,392.71,646.94,642.98,592.16
Other Liabilities,251.36,388.78,480.18,539.92,717.9,663.23,1078.63,1146.4,1382.84,1887.22
Total,2354.81,3101.56,5819.28,5648.22,7005.5,12076.16,13655.05,15470.98,18104.52,21177.2
Net Block,1528.08,2093.52,2577.75,3399.97,4400.37,5948.03,7008.8,9260.02,11340.48,13415
Capital Work in Progress,98.12,81.69,152.89,147.07,376.84,364.4,1019.59,1129.34,829.16,935.22
Investments,15.23,29.33,25.69,68.18,16.53,14.68,2.95,5.94,202.2,106.67
Other Assets,713.38,897.02,3062.95,2033,2211.76,5749.05,5623.71,5075.68,5732.68,6720.31
Total,2354.81,3101.56,5819.28,5648.22,7005.5,12076.16,13655.05,15470.98,18104.52,21177.2
Receivables,7.07,8.42,21,33.52,64.37,19.55,43.58,66.89,62.16,166.37
Inventory,539.61,671.69,947.9,1163.45,1608.65,1947.4,2248.28,2742.66,3243.48,3927.31
Cash & Bank,38.04,35.1,1884.29,560.18,219.07,107.88,1445.58,298.58,1408.33,638.18
No. of Equity Shares,561542680,561542680,624084486,624084486,624084486,647774691,647774691,647774691,648263978,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,222.02,433.47,455.28,729.99,806.84,1280.14,1375.14,1372.35,2630.27,2745.84
Cash from Investing Activity,-473.88,-632.89,-2481.61,463.55,-958.37,-4656.56,-1110,-1289.49,-2313.1,-2468.23
Cash from Financing Activity,234.45,196.44,2025.26,-1159.06,208.98,3357.42,-179.5,-179.24,-205.14,-147.64
Net Cash Flow,-17.41,-2.98,-1.07,34.48,57.45,-19,85.64,-96.38,112.03,129.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
