COMPANY NAME,CENTURY TEXTILES & INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2000.5,,,,,,,,,
Market Capitalization,22375.21,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,7644.75,3897.79,3943.56,3423.42,2616.57,4130.95,4799.65,4513.54
Raw Material Cost,,,1915.98,1336.11,1472.99,1382.82,1086.03,2040.55,2329.57,2128.53
Change in Inventory,,,-77.45,24.6,10.78,35.34,-46.17,58.1,58.75,10.14
Power and Fuel,,,1464.91,550.65,474.15,409.31,336.77,485.5,680.61,446.43
Other Mfr. Exp,,,956.3,565.62,561.1,539.11,416.37,615.68,621.21,
Employee Cost,,,638.56,414.01,277.26,303.14,281.34,325.74,347.03,320.8
Selling and admin,,,1410.51,94.87,101.89,118.6,95.5,131.62,188.79,
Other Expenses,,,257.13,155.65,115.57,155.35,149.23,145.58,165.7,989.12
Other Income,,,61.88,137.86,5673.24,31.98,61.62,50.6,161.73,-188.01
Depreciation,,,313.34,199.31,193,228.58,231.13,230.66,227.08,209.87
Interest,,,550.75,211.81,101.55,87.09,70.7,52.18,53.89,35.51
Profit before tax,,,121.7,532.22,6330.07,266.74,-35.05,212.14,406.25,205.41
Tax,,,16.71,160.56,266.91,-93.69,-1.44,50.44,141.7,145.03
Net profit,,,104.99,371.66,6063.16,365.25,-30.44,166.53,271.88,50.53
Dividend Amount,,,61.43,72.6,83.77,33.51,11.17,44.68,55.84,55.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1064.75,1210.72,1189.9,1232.53,1168.68,981.79,1117.33,1103.07,1070.25,1685.88
Expenses,964.56,1085.34,1050.6,1053.87,1081.96,835.2,996.16,1074.91,879.01,1422.91
Other Income,4.78,7.61,4.11,9.58,4.29,117.86,-56.35,11.81,3.09,-125.82
Depreciation,58.93,56.73,56.22,56.9,57.03,48.91,58.42,59.21,53.32,54.78
Interest,12.37,14.74,11.45,15.49,12.76,8.5,12.96,16.96,7.68,11.55
Profit before tax,33.67,61.52,75.74,115.85,21.22,207.04,-6.56,-36.2,133.33,70.82
Tax,21.51,-22.91,30.34,45.88,14.45,64.63,0.5,-3.33,53.38,50.18
Net profit,14.15,86.07,46.31,71.58,8.72,145.27,-5.88,-30.44,83.3,3.83
Operating Profit,100.19,125.38,139.3,178.66,86.72,146.59,121.17,28.16,191.24,262.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,111.69,111.69,111.69,111.69,111.69,111.69,111.69,111.69
Reserves,,,2370.17,2636.2,3182.4,3367.8,3392.67,3607.13,3775.14,3867.44
Borrowings,,,5700.09,4369.28,1020.15,1399.71,1048.51,1336.32,1059.31,2501.69
Other Liabilities,,,2154.37,3214.16,1860.57,1868.29,2140.6,2683.7,3464.86,4029.34
Total,,,10336.32,10331.33,6174.81,6747.49,6693.47,7738.84,8411,10510.16
Net Block,,,7309.4,7255.54,4430.45,4293.29,4139.21,4058.61,3915.92,3734.73
Capital Work in Progress,,,34.29,35.02,274.52,176.11,210.29,210.81,226.1,57.22
Investments,,,258.31,223.36,182.84,106.69,237.72,409.06,227.77,691.65
Other Assets,,,2734.32,2817.41,1287,2171.4,2106.25,3060.36,4041.21,6026.56
Total,,,10336.32,10331.33,6174.81,6747.49,6693.47,7738.84,8411,10510.16
Receivables,,,502.96,421.47,203.86,181.24,157.85,216.8,156.44,165.63
Inventory,,,1264.5,1178.55,699,1337.68,1508.29,2330.86,3256.1,4725.77
Cash & Bank,,,89.21,249.75,58.54,119.35,124.93,65.81,151.13,401.5
No. of Equity Shares,,,111695680,111695680,111695680,111695680,111695680,111695680,111695680,
New Bonus Shares,,,,,,,,,,
Face value,,,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,940.03,2209.05,547.7,-22.81,566.39,-51.13,270.96,-315.33
Cash from Investing Activity,,,-247,-194.91,-122.89,-241.03,-91.63,-176.21,138.49,-524.12
Cash from Financing Activity,,,-175.17,-1795.17,-677.32,391.64,-470.86,206.75,-553.48,1272.16
Net Cash Flow,,,517.86,218.97,-252.51,127.8,3.9,-20.59,-144.03,432.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,478.35,518.98,423.82,296.1,465.05,854.6,634,1629.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17
