COMPANY NAME,KRISHNA INSTITUTE OF MEDICAL SCIENCES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1999.75,,,,,,,,,
Market Capitalization,16048.31,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,511.82,567.14,663.67,918.01,1122.65,1329.94,1650.83,2197.68
Raw Material Cost,,,125.82,138.5,165.28,216.93,257.22,282.64,367.5,474.49
Change in Inventory,,,,,3.73,6.72,3.05,-6.29,12.34,-6.16
Power and Fuel,,,13.68,14.18,16.65,20.64,24.29,24.31,25.83,43.69
Other Mfr. Exp,,,122.29,140.84,196.58,283.6,341.19,375.15,429.94,634.45
Employee Cost,,,80.72,97.98,121.71,163.21,198.17,220.47,262.68,347.42
Selling and admin,,,52.19,51.37,23.3,41,38.58,29.42,38.36,79.25
Other Expenses,,,8.32,6.72,73.35,114.59,15.51,14.87,14.51,12.86
Other Income,,,4.64,2.87,37.25,5.71,4.83,9.09,27.05,52.09
Depreciation,,,35.5,35.13,40.07,56.12,70.61,69.54,72.67,129.26
Interest,,,37.04,32.5,88.16,49.4,44.43,37.33,21.87,37.28
Profit before tax,,,40.9,52.79,-20.45,-15.05,140.53,279.01,456.86,484.91
Tax,,,12.93,19.3,25.74,33.54,25.45,73.54,113.06,119.09
Net profit,,,26.62,32.56,-47.36,-47.66,119.18,201.22,332.69,336.32
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,411.74,393.57,372.34,495.51,564.07,562.16,575.93,606.03,652.48,605.84
Expenses,282.96,263.81,258.75,358.35,411.63,410.98,412.7,448.97,475.23,458.84
Other Income,5.41,4.36,15.73,5.34,24.03,6.45,4.89,3.11,2.88,3.26
Depreciation,18.14,18.81,18.64,29.42,31.12,33.29,35.43,32.27,32.61,35.38
Interest,2.89,2.97,3.86,5.73,7.88,11.52,5.42,9.33,8.91,12.43
Profit before tax,113.16,112.34,106.82,107.35,137.47,112.82,127.27,118.57,138.61,102.45
Tax,28.91,28.16,23.5,28.11,31.39,30.99,28.6,31.91,37.32,25.9
Net profit,81.72,81.18,80.69,69.96,97.11,75.98,93.27,80.82,92.02,71.84
Operating Profit,128.78,129.76,113.59,137.16,152.44,151.18,163.23,157.06,177.25,147
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,70.4,71.63,50.15,74.49,74.49,77.59,80.03,80.03
Reserves,,,192.95,254.81,-208.59,465.79,523.33,786.14,1307.28,1589.51
Borrowings,,,255.61,280.23,753.3,336.45,368.73,316.37,256.53,678.18
Other Liabilities,,,146.04,166.86,359.12,237.07,227.93,253.11,260.29,553.4
Total,,,665,773.53,953.98,1113.8,1194.48,1433.21,1904.13,2901.12
Net Block,,,514.52,518.33,754.76,863.09,915.98,931.08,1005.21,1766.32
Capital Work in Progress,,,2.39,63.6,,0.23,2.23,9.24,20.76,476.93
Investments,,,10.88,14.25,,,,,332.48,67.89
Other Assets,,,137.21,177.35,199.22,250.48,276.27,492.89,545.68,589.98
Total,,,665,773.53,953.98,1113.8,1194.48,1433.21,1904.13,2901.12
Receivables,,,66.47,91.61,107.53,123.27,132.27,109.82,128.64,252.65
Inventory,,,12.31,16.41,20.14,26.86,30.38,24.09,36.43,42.87
Cash & Bank,,,6.85,8.42,11.35,10.2,45.73,284.44,190.07,66.37
No. of Equity Shares,,,70403856,71624596,50149732,74489552,74489552,77593283,80027787,80027787
New Bonus Shares,,,61603374,,,,,,,
Face value,,,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,95.45,81.55,105.77,133.9,201.5,355.97,324.03,432.09
Cash from Investing Activity,,,-40.71,-100.01,-63.73,-109.76,-124.71,-354.18,-411.52,-484.45
Cash from Financing Activity,,,-65.48,23.51,-39.36,-27.04,-44.34,9.82,61,88.34
Net Cash Flow,,,-10.74,5.05,2.68,-2.9,32.45,11.62,-26.5,35.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,1383.2,1401.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,7.04,7.16,7.16,7.45,7.45,7.76,8,8
