COMPANY NAME,RAYMOND LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2080.9,,,,,,,,,
Market Capitalization,13873.68,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,5332.61,5176.83,5353.29,5906.41,6582.28,6482.37,3446.47,6178.51,8214.72,9019.51
Raw Material Cost,2429.39,2286.03,2453.11,2813.87,3072.37,3051.52,1133.19,2484,3515.88,3321.15
Change in Inventory,94.85,90.63,95.64,308.18,266.13,251.39,-510.23,243.47,517.56,746.09
Power and Fuel,216.44,215.28,206.02,214.95,236.04,215.28,123.57,204.71,256.04,
Other Mfr. Exp,666.87,628.3,566,747.4,781.57,845.37,487.9,1344.37,1651.78,
Employee Cost,667.58,693.93,755.49,837.29,936.86,998.31,674.45,882.26,1027.05,1160.61
Selling and admin,767.88,894.26,966.07,1036.55,1035.63,882.72,410.55,608.71,831.24,
Other Expenses,251.83,162.43,197.45,139.01,216.94,224.17,166.62,193.15,250.88,3974.76
Other Income,94.54,93.42,81.97,136.8,120.49,285.05,185.71,5.89,30.52,1216.16
Depreciation,161.88,158.93,156.88,170.34,196.5,339.8,314.18,239.79,235.35,283.68
Interest,200.39,189.68,178.03,183.8,232.6,302.73,276.04,227.66,257.26,375.82
Profit before tax,159.74,132.04,51.85,208.18,260.39,158.91,-464.55,243.22,737.32,1865.74
Tax,43.88,46.53,21.84,66.63,85.62,-42.84,-160.91,-21.9,200.36,222.67
Net profit,112.81,84.8,25.52,134.63,167.98,196.13,-297.04,260.35,528.94,1637.75
Dividend Amount,18.41,18.41,7.67,18.41,18.41,,,19.97,19.97,66.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1843.39,1958.1,1728.14,2168.24,2168.16,2150.18,1771.46,2253.4,2386.16,2608.5
Expenses,1568.49,1673.7,1519.66,1833.28,1854.03,1813.39,1574.83,1938.76,2028.49,2173.18
Other Income,25.91,-35.31,27.5,18.76,26.83,-37.52,1036.04,51.9,64.16,68.9
Depreciation,59.74,59.1,58.4,57.5,57.84,61.61,59.72,65.37,70.3,88.29
Interest,57.2,57.32,59.13,63.4,70.46,64.27,79.47,89.28,103.53,103.54
Profit before tax,183.87,132.67,118.45,232.82,212.66,173.39,1093.48,211.89,248,312.39
Tax,82.8,-132.3,36.52,70.87,116.06,-23.09,26.74,50.73,62.61,82.6
Net profit,100.28,263.31,80.9,158.85,94.84,194.35,1065.27,159.78,183.5,229.21
Operating Profit,274.9,284.4,208.48,334.96,314.13,336.79,196.63,314.64,357.67,435.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,61.38,61.38,61.38,61.38,61.38,64.72,66.57,66.57,66.57,66.55
Reserves,1479.98,1610.96,1611.74,1750.65,1892.41,2311.21,2030.79,2292.52,2832.4,4550.79
Borrowings,1881.03,2062.7,2139.77,2353.45,2467.8,2556.32,2412.76,2352.59,2529.48,4181.06
Other Liabilities,1227.49,1169.73,1424.68,1924.84,2218.65,2790.09,2219.71,2653.93,2757.66,4374.55
Total,4649.88,4904.77,5237.57,6090.32,6640.24,7722.34,6729.83,7365.61,8186.11,13172.95
Net Block,1274.38,1174.5,1168.67,1740.73,1934.89,2441.17,2044.1,1877.91,1933.76,3503.94
Capital Work in Progress,195.82,240.33,412.15,271.3,114.43,40,20.98,24.61,35.98,69.95
Investments,426.97,609.32,640.5,635.53,539.82,597.57,500.4,1099.76,1639.14,2825.98
Other Assets,2752.71,2880.62,3016.25,3442.76,4051.1,4643.6,4164.35,4363.33,4577.23,6773.08
Total,4649.88,4904.77,5237.57,6090.32,6640.24,7722.34,6729.83,7365.61,8186.11,13172.95
Receivables,923.89,1044.83,1050.66,1085.91,1259.51,1159.48,958.04,873.13,744.32,1407.15
Inventory,1157.76,1173.24,1288.67,1611.31,1901.53,2201.14,1633.84,2011.29,2496.56,3514.17
Cash & Bank,129.25,90.33,69.7,86.79,126.07,327.64,552.13,336.27,325.75,525.57
No. of Equity Shares,61380854,61380854,61380854,61380854,61380854,64719132,66573731,66573731,66573731,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,380.05,317.16,348.08,394.65,250.71,390.45,703.75,677.44,804.23,533.26
Cash from Investing Activity,-139.75,-210.76,-223.4,-414.87,-126.69,-147.96,64.42,-424.87,-475.78,-1041.62
Cash from Financing Activity,-250.03,-117.94,-121.63,29.62,-148.78,-129.86,-668.32,-323.19,-318.9,502.3
Net Cash Flow,-9.73,-11.54,3.06,9.4,-24.77,112.63,99.84,-70.62,9.55,-6.06
,,,,,,,,,,
,,,,,,,,,,
