COMPANY NAME,SHRIRAM FINANCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2360.9,,,,,,,,,
Market Capitalization,88643.07,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,9177.1,10358.66,10902.79,13501.92,15535.81,16561.29,17422.19,19255.32,30491.67,36379.52
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,12.58,14.4,15.47,17.56,18.29,21.08,15.21,16.45,31.94,
Other Mfr. Exp,8.86,7.79,49.03,113.13,110.56,113.64,137.7,152.35,424.6,
Employee Cost,504.16,623.91,583.5,745.2,883.71,1011.48,907,998.34,2638.82,3471.52
Selling and admin,542.15,581.35,574.95,611.77,671,629.2,650.3,656.01,1250.19,
Other Expenses,1713.06,2219.52,2489.38,1800.03,2487.55,2907.2,3221.51,3992.85,4360.27,6871.94
Other Income,2.13,2.96,1.41,127.45,20.34,14.47,13.56,18.12,15.72,33.47
Depreciation,43.15,37.63,34.87,36.83,42.97,141.05,137.36,135.37,600.69,587.6
Interest,4705.71,5087.74,5218.95,6409.13,7563.8,8313.44,9088.66,9772.82,12987.16,15521.76
Profit before tax,1649.56,1789.28,1938.05,3895.72,3778.27,3438.67,3278.01,3549.25,8213.72,9960.17
Tax,621.11,605.66,672.41,1349.33,1214.28,936.83,790.75,841.32,2202.25,2569.06
Net profit,1028.44,1183.62,1265.63,2548.93,2575.68,2512.27,2498.83,2721.1,6011.04,7366.38
Dividend Amount,226.91,226.91,90.76,249.6,272.28,113.44,455.51,541.04,1310.5,1691.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,4827.86,5081.61,7133.14,7582.69,7795.29,7966.45,8290.8,8883.76,9300.7,9904.3
Expenses,1477.13,1298.65,2232.77,2107.68,2081.93,2340.69,2226.81,2549.43,2748.33,2818.88
Other Income,4.47,5.98,5.11,10.63,3.33,13.3,5.14,9.23,5.05,14
Depreciation,34.66,34.6,56.41,56.69,60.51,427.09,135.28,141.38,151.83,159.11
Interest,2397.25,2403.72,3025.73,3304.76,3240.72,3361.23,3633.29,3798.02,3892.99,4197.46
Profit before tax,923.29,1350.62,1823.34,2124.19,2415.46,1850.74,2300.56,2404.16,2512.6,2742.85
Tax,242.67,264.49,472.97,548.26,615.32,565.7,589.42,614.89,640.23,724.52
Net profit,686.02,1091.23,1350.83,1576.14,1798.88,1285.19,1705.24,1786.11,1866.24,2008.8
Operating Profit,3350.73,3782.96,4900.37,5475.01,5713.36,5625.76,6063.99,6334.33,6552.37,7085.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,226.91,226.91,226.91,226.91,226.9,226.88,253.06,270.52,374.43,375.79
Reserves,9038.91,9948.58,11105.03,13463.46,15735.85,17915.43,21464.23,25823.74,43138.43,48571.38
Borrowings,46694.52,49790.01,53079.59,82130.85,87914.4,94734.56,106545.9,114846.14,164804.32,195496.08
Other Liabilities,6193.27,8047.97,10034.16,1538.71,1541.8,1388.92,1647.07,1327.76,2255.51,3822.69
Total,62153.61,68013.47,74445.69,97359.93,105418.95,114265.79,129910.26,142268.16,210572.69,248265.94
Net Block,154.26,152.11,136.14,122.05,147.49,488.87,437.34,418.09,3713.51,3717.87
Capital Work in Progress,,,,,,,,,66.08,
Investments,3037.19,1339.5,1518.27,2456.24,4125.54,2935.63,3346.77,6971.23,7430.07,9471.82
Other Assets,58962.16,66521.86,72791.28,94781.64,101145.92,110841.29,126126.15,134878.84,199363.03,235076.25
Total,62153.61,68013.47,74445.69,97359.93,105418.95,114265.79,129910.26,142268.16,210572.69,248265.94
Receivables,2.99,10.09,8.68,13.98,8.48,10.5,8.92,5.35,17,51.63
Inventory,,,,,,,,,,
Cash & Bank,4761.18,2365.55,4445.31,3674.56,3981.47,7314.92,16441.82,16355.16,16306.95,11172.8
No. of Equity Shares,226930736,226930736,226930736,226930736,226978736,226882736,253061513,270519713,374427276,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-9610.9,-5507.18,-2677.25,-13142.01,-5534.98,-2463.58,-4238.77,-8859.02,-17625.25,-31101.39
Cash from Investing Activity,-44.59,-35.82,-1.5,85.9,-76.14,-55.2,-24.88,-34.33,-193.04,-258.21
Cash from Financing Activity,7836.42,2822.42,3016.51,13014.42,5549.55,4578.63,12225.59,8504.86,11819.51,27609.12
Net Cash Flow,-1819.06,-2720.58,337.76,-41.69,-61.57,2059.85,7961.94,-388.49,-5998.78,-3750.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
