COMPANY NAME,DODLA DAIRY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,934.55,,,,,,,,,
Market Capitalization,5563.68,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,1590.48,1691.67,2139.37,1944.01,2243.35,2812.03
Raw Material Cost,,,,,1274.43,1242.52,1583.08,1366.2,1627.37,2117.95
Change in Inventory,,,,,42.72,-14.07,-57.5,15.27,1.21,-22.93
Power and Fuel,,,,,27.91,30.49,37.54,36.14,40.63,48.2
Other Mfr. Exp,,,,,59.09,75.68,68,24.64,31.47,37.95
Employee Cost,,,,,64.98,76.66,91.12,89.8,102.42,119.15
Selling and admin,,,,,88.79,113.52,144.93,190.37,222.01,258.68
Other Expenses,,,,,3.77,3.25,14.24,7.94,8.44,14.43
Other Income,,,,,5.56,7.04,5.11,5.56,13.14,22.45
Depreciation,,,,,27.93,37.09,49.19,50.73,52.35,61.23
Interest,,,,,11.42,12.15,17.01,12.81,7.45,2.13
Profit before tax,,,,,80.44,93.28,81.87,186.21,165.56,151.83
Tax,,,,,23.58,30.52,32.01,60.25,32.75,29.55
Net profit,,,,,56.89,62.76,49.87,125.97,132.81,122.28
Dividend Amount,,,,,,,28.95,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,566.37,575.19,589.72,716.99,695.32,675.43,724.28,823.43,767.75,746.84
Expenses,505.01,523.21,542.82,671.92,636.4,621.82,690.56,763.09,697.51,664
Other Income,3.11,3.75,4.27,4.41,5.71,6.53,6.31,7.23,6.69,5.7
Depreciation,13.1,13.23,13.16,15.02,15.6,15.89,14.72,16.48,17.24,18.02
Interest,3.65,0.29,0.29,0.28,0.3,0.31,0.32,0.37,0.4,0.88
Profit before tax,47.72,42.21,37.72,34.18,48.73,43.94,24.99,50.72,59.29,69.64
Tax,18.33,15.35,-2.77,9.26,9.27,8.55,2.46,15.75,15.69,28.3
Net profit,29.4,26.86,40.48,24.92,39.45,35.39,22.53,34.97,43.6,41.33
Operating Profit,61.36,51.98,46.9,45.07,58.92,53.61,33.72,60.34,70.24,82.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,3.28,55.67,55.67,58.33,59.49,59.49
Reserves,,,,,336.26,350.7,377.82,599.65,783.67,912.74
Borrowings,,,,,132.46,166.89,159.77,98.62,12.87,32.33
Other Liabilities,,,,,135.09,178.35,199.32,215.58,232.38,246.81
Total,,,,,607.09,751.61,792.58,972.18,1088.41,1251.37
Net Block,,,,,326.85,500.47,536.3,548.94,565.88,623.52
Capital Work in Progress,,,,,16.04,11.22,11.24,8.28,4.1,58.12
Investments,,,,,66.96,26,11.86,60.43,184.35,260.03
Other Assets,,,,,197.24,213.92,233.18,354.53,334.08,309.7
Total,,,,,607.09,751.61,792.58,972.18,1088.41,1251.37
Receivables,,,,,3.61,7.32,7.2,4.89,4.77,8.66
Inventory,,,,,134.08,124.85,120.17,96.17,120.99,119.92
Cash & Bank,,,,,13.99,21.53,68.71,224.45,131.85,124.62
No. of Equity Shares,,,,,3274823,55671991,55671991,58324511,59492735,59492735
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,87.45,135.59,165.58,245.06,171.14,160.79
Cash from Investing Activity,,,,,-65.76,-147.6,-76.33,-200.44,-136.51,-210.23
Cash from Financing Activity,,,,,-41.41,59.98,-25.66,10.85,-48.88,14.59
Net Cash Flow,,,,,-19.72,47.98,63.59,55.47,-14.25,-34.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,447.25,463.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.33,5.57,5.57,5.83,5.95,5.95
