COMPANY NAME,UCO BANK,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,51.95,,,,,,,,,
Market Capitalization,62076.27,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,,,14446.15,14981.34,17650.52,21854.34
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,,,,9.8,14.41,19.42,
Employee Cost,,,,,,,3443.08,3315.6,3874.28,4886.67
Selling and admin,,,,,,,589.7,589.78,657.23,
Other Expenses,,,,,,,4802.36,3738.64,2178.04,3910.79
Other Income,,,,,,,3424.17,3065.96,2472.41,3265.53
Depreciation,,,,,,,134.42,164.96,217.52,
Interest,,,,,,,8966.45,8508.39,10307.39,13753.56
Profit before tax,,,,,,,-75.49,1715.52,2869.05,2568.85
Tax,,,,,,,-242.52,820.6,1042.77,915.11
Net profit,,,,,,,188.39,929.76,1862.34,3434.84
Dividend Amount,,,,,,,,,,334.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3919.3,3772.68,3851.07,4184.89,4627.15,4987.41,5223.92,5218.82,5551.89,5859.7
Expenses,1690.07,1757.36,1401.96,1765.53,1753.84,2025.13,2295.16,1923.54,2072,2506.76
Other Income,719.14,588.95,-54.47,779.94,823.46,959.53,633.02,646.78,860.82,1124.91
Depreciation,,,,,,,,,,
Interest,2156.69,2120.3,2201.53,2415.29,2675.28,3015.3,3215.13,3302.27,3563.82,3672.34
Profit before tax,791.68,483.97,193.11,784.01,1021.49,906.51,346.65,639.79,776.89,805.51
Tax,481.29,171.79,69.5,279.49,368.52,325.28,123.18,238.13,274.06,279.74
Net profit,310.39,314.58,117.49,497.29,654.05,557.45,224.93,403.54,505.23,2301.15
Operating Profit,2229.23,2015.32,2449.11,2419.36,2873.31,2962.28,2928.76,3295.28,3479.89,3352.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,,,9918.34,11955.96,11955.96,
Reserves,,,,,,,12598.16,11512.78,13647.74,
Borrowings,,,,,,,221302.02,237581.04,269838.82,
Other Liabilities,,,,,,,9427.68,6609.48,5259.65,
Total,,,,,,,253246.2,267659.26,300702.17,
Net Block,,,,,,,3151.2,3287.09,3444.5,
Capital Work in Progress,,,,,,,67.03,47.83,65.01,
Investments,,,,,,,93693.04,96749.05,95008.54,
Other Assets,,,,,,,156334.93,167575.29,202184.12,
Total,,,,,,,253246.2,267659.26,300702.17,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,,,,,,,23600.24,26147.99,28728.1,
No. of Equity Shares,,,,,,,9918340622,11955958176,11955958176,
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,,,2422.1,4398.66,2982.91,1001.75
Cash from Investing Activity,,,,,,,106.26,-214.37,-67.03,-294.92
Cash from Financing Activity,,,,,,,3265.73,-1636.54,-335.77,-429.53
Net Cash Flow,,,,,,,5794.09,2547.75,2580.11,277.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,11,11.85,24.3,52.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,991.83,1195.6,1195.6,1195.6
