COMPANY NAME,NARAYANA HRUDAYALAYA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1242.6,,,,,,,,,
Market Capitalization,25397.87,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1095.12,1363.85,1613.85,1878.17,2280.91,2860.92,3127.81,2583.04,3701.32,4524.77
Raw Material Cost,293.19,342.66,385.63,438.88,566.63,687.1,722.36,665.45,920.72,1012.27
Change in Inventory,11.91,1.97,-1.48,2.98,10.12,-0.43,-22.95,-12.4,11.54,11.09
Power and Fuel,34.94,41.86,47.16,49.9,65.08,77.98,81.19,73.52,83.63,94.04
Other Mfr. Exp,350.85,176.13,165.48,623.62,769.09,915.3,322.34,299.41,368.55,457.68
Employee Cost,198.49,276.93,333.84,375.21,465.69,622.77,673.7,627.19,768.47,879.2
Selling and admin,89.34,376.18,486.07,138.91,184.55,234.88,851.54,700.68,869.01,1073.34
Other Expenses,34.11,24.33,14.62,18.59,23.06,27.09,19.55,15.7,38.81,32.45
Other Income,38.96,5.67,-19.1,6.8,17.96,16.18,6.76,21.12,25.68,58.83
Depreciation,57.44,68.36,76.12,79.92,99.95,137.36,185.8,183.53,183.48,210.04
Interest,30.94,44.51,33.4,27.58,54.57,80.8,93.84,82.35,76.09,84.09
Profit before tax,56.69,20.53,50.95,135.34,80.37,93.39,161.3,-56.07,429.78,751.58
Tax,21.35,14.61,30.14,52.37,28.96,34.12,42.25,-41.78,87.66,145.01
Net profit,31.71,-16.76,21.23,83.05,51.35,59.17,118.92,-14.3,341.93,606.25
Dividend Amount,,,,,,20.44,20.44,,20.44,51.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,940.28,959.8,940.72,1033.43,1141.58,1128.17,1221.59,1233.43,1305.25,1203.64
Expenses,773.6,786.92,768.23,841.63,897.91,873.75,945.84,962.76,997.13,924.7
Other Income,12.13,6.7,9.77,8,31.22,11.55,14.68,15.09,18.4,17.89
Depreciation,45.91,46.1,46.75,47.47,48.92,57.34,56.31,58.89,55.27,63.19
Interest,16.66,16.29,16.26,15.06,15.08,18.73,20.59,20.94,22.86,25.06
Profit before tax,116.24,117.19,119.25,137.27,210.89,189.9,213.53,205.93,248.39,208.58
Tax,16.84,19.64,50.29,26.66,42.03,36.04,40.29,21.89,21.7,20.47
Net profit,99.34,97.49,68.92,110.55,168.78,153.77,173.14,183.95,226.58,188.02
Operating Profit,166.68,172.88,172.49,191.8,243.67,254.42,275.75,270.67,308.12,278.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,0.33,200,204.36,204.36,204.36,204.36,204.36,204.36,204.36,204.36
Reserves,580.07,568.39,671.62,758.72,831.39,876.77,931.6,915.92,1284.27,1927.02
Borrowings,333.01,362.03,257.53,216.71,801.54,813.47,952.21,825.64,723.43,884.18
Other Liabilities,242.28,240.77,423.66,467.79,691.59,745.81,812.99,833.03,931.27,1154.84
Total,1155.69,1371.19,1557.17,1647.58,2528.88,2640.41,2901.16,2778.95,3143.33,4170.4
Net Block,738.37,913.21,1054.5,1081.78,1848,1838.19,2091.87,1960.93,1979.88,2336.4
Capital Work in Progress,19.72,20.41,13.8,53.04,35.04,56.08,11.78,19.91,66.93,259.2
Investments,51.42,52.22,87.15,96.08,8.78,17.42,86.35,120.34,132.38,251.86
Other Assets,346.18,385.35,401.72,416.68,637.06,728.72,711.16,677.77,964.14,1322.94
Total,1155.69,1371.19,1557.17,1647.58,2528.88,2640.41,2901.16,2778.95,3143.33,4170.4
Receivables,134.18,142.93,151.83,156.91,278.98,266.45,262.25,278.52,436.87,431.5
Inventory,49.26,52.24,50.53,53.16,84.95,90.61,72.35,58.57,73.55,85.46
Cash & Bank,28.06,29.52,24.07,34.12,35.25,100.72,114.78,132.05,172.17,379.89
No. of Equity Shares,325414,200000000,204360804,204360804,204360804,204360804,204360804,204360804,204360804,204360804
New Bonus Shares,,199654247,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,109.99,76.73,174.07,219.35,182.26,278.65,443.35,304.27,485.02,1084.56
Cash from Investing Activity,-167.5,-222.86,-150.24,-146.19,-519.55,-162,-188.91,-112.96,-267.05,-1176.23
Cash from Financing Activity,56.91,140.26,18.04,-45.14,315.07,-27.3,-246.95,-193.64,-158.95,87.74
Net Cash Flow,-0.6,-5.87,41.88,28.03,-22.22,89.35,7.49,-2.34,59.02,-3.93
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,286.3,313.85,279.25,212.65,247.5,405.85,745.35,774.15
,,,,,,,,,,
