COMPANY NAME,ORACLE FINANCIAL SERVICES SOFTWARE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,7560.15,,,,,,,,,
Market Capitalization,65511.99,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,3904.91,4131.22,4426.53,4527.47,4958.9,4861.28,4983.94,5221.46,5698.31,6372.96
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,19.12,20.8,21.32,21.49,21.04,20.96,11.3,11.7,14.47,
Other Mfr. Exp,32.76,28.62,24.47,24.39,23.84,17.78,13.44,11.85,14.9,
Employee Cost,1847.9,1949.58,2070.27,2099.17,2195.81,2117.8,2201.75,2405.86,2774.17,2982.83
Selling and admin,438.09,503.72,484.3,501.43,484.23,397.42,239.44,220.68,329.96,385.3
Other Expenses,16.24,16.78,92.28,69.78,89.37,78.63,49.41,72.43,93.42,222.32
Other Income,348.13,188.8,93.28,90.69,176.09,177.34,131.97,134.34,191.84,342.19
Depreciation,68.09,52.93,70.19,61.46,53.72,106.38,104.11,92.8,80.66,74.26
Interest,,,,,,47.37,19.13,12.2,12.66,28.11
Profit before tax,1830.84,1747.59,1756.98,1840.44,2266.98,2252.28,2477.33,2528.28,2569.91,3022.33
Tax,638.52,698.7,571.59,603.4,881.09,790.07,715.48,639.45,763.77,802.97
Net profit,1192.32,1048.89,1185.39,1237.04,1385.9,1462.22,1761.86,1888.83,1806.14,2219.36
Dividend Amount,5627.23,847,1443.98,1109.42,,1545.84,1721.2,1638.56,1944,2080.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1266.33,1276.78,1402.46,1376.03,1449.3,1470.52,1462.42,1444.48,1823.62,1642.44
Expenses,681.54,724.76,755.04,809.15,843.09,819.66,840.93,886.37,955.04,908.11
Other Income,35.66,42.07,44.16,45.62,40.8,61.27,100.58,65.14,93.94,82.53
Depreciation,23.75,19.81,19.71,21.66,20.61,18.69,18.48,19.01,19.01,17.76
Interest,3.26,4.46,-6.95,5.34,6.59,7.67,-3.16,8.04,9.37,13.86
Profit before tax,593.44,569.82,678.82,585.5,619.81,685.77,706.75,596.2,934.14,785.24
Tax,158.09,88.07,187.07,187.75,182.48,206.46,205.76,178.75,193.33,225.13
Net profit,435.34,481.74,491.76,397.75,437.33,479.3,500.98,417.45,740.81,560.12
Operating Profit,584.79,552.02,647.42,566.88,606.21,650.86,621.49,558.11,868.58,734.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,42.31,42.35,42.47,42.67,42.88,42.94,43.03,43.12,43.2,43.34
Reserves,3401.82,4631.53,3222.12,4664.72,4893.67,6526.64,6805.74,7056.57,7415.71,7815.51
Borrowings,,,,,,114.68,69.76,83.39,69.4,42.97
Other Liabilities,2824.65,1011.31,2755.59,1225.25,1191.91,1235.71,1234.04,1409.35,1590.46,2033.92
Total,6268.78,5685.19,6020.18,5932.64,6128.46,7919.97,8152.57,8592.43,9118.77,9935.74
Net Block,911.1,864.86,869.79,836.87,863.87,962.82,884.07,871.41,846.81,805.06
Capital Work in Progress,0.33,4.79,0.82,2.59,0.45,0.05,0.13,3.82,0.57,2.76
Investments,,10.47,,,,,,,,
Other Assets,5357.35,4805.07,5149.57,5093.18,5264.14,6957.1,7268.37,7717.2,8271.39,9127.92
Total,6268.78,5685.19,6020.18,5932.64,6128.46,7919.97,8152.57,8592.43,9118.77,9935.74
Receivables,601.62,831.09,718.01,1007.48,947.48,925.37,802.75,926.27,1083.37,1319.31
Inventory,,,,,,,,,,
Cash & Bank,3563.83,2785.49,3031.7,2646.07,2827.96,4496.81,4914.13,5122.49,5469.74,5538.19
No. of Equity Shares,84614859,84690036,84940264,85346293,85779147,85879298,86062233,86246465,86397179,
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,1060.39,712.31,1121.13,1157.42,1379.61,1521.82,1919.51,1856.15,1758.42,1790.67
Cash from Investing Activity,3701.22,1018.39,1822.73,-1313.12,220.25,-1299.14,33.53,-137.54,267.17,1597.95
Cash from Financing Activity,-4689.58,-1776.18,-931.35,-1629.66,-1249.7,-47.35,-1589.8,-1733.47,-1665.48,-1958.45
Net Cash Flow,72.04,-45.49,2012.51,-1785.37,350.17,175.33,363.23,-14.86,360.11,1430.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,3260.05,3529.4,3815.75,3745.35,3387.8,2023.65,3198.95,3587.75,3263.75,8774.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
