COMPANY NAME,MAHINDRA LOGISTICS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,430.25,,,,,,,,,
Market Capitalization,3104.21,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1930.9,2063.93,2666.59,3416.12,3851.34,3471.14,3263.72,4140.76,5128.29,5505.97
Raw Material Cost,,,,,,,,9.81,6.58,0.41
Change in Inventory,,,,,,,,0.45,-0.45,
Power and Fuel,2.17,5.29,16.1,23.89,28.97,25.02,23.92,22.26,23.76,
Other Mfr. Exp,1682.35,1773.61,2253.43,2982.33,3349.7,2916.38,2749.28,3530.09,4364.71,
Employee Cost,122.83,150.89,188.3,229.12,263.77,306.66,296.46,314.7,354.56,404.7
Selling and admin,52.51,68.1,114.11,39.11,36.34,40.94,30.3,45.18,80.38,
Other Expenses,14.06,13.7,18.28,21.83,20.72,23.66,29.08,34.81,37.83,4871.82
Other Income,8.66,13.19,9.54,5.77,7.03,13.77,14.26,13.49,15.59,21.72
Depreciation,6.04,8.26,14.6,19.73,21.95,73.43,89.65,141.72,189.5,208.99
Interest,0.37,1.32,3.49,3.77,3.48,17.63,20.09,29.82,51.57,68.16
Profit before tax,59.23,55.95,67.82,102.11,133.44,81.19,39.2,26.31,34.54,-26.39
Tax,20.7,19.98,21.72,36.84,46.79,25.74,10.02,11.25,7.12,25.68
Net profit,38.52,35.97,45.62,64.01,85.64,55.12,30,17.56,26.28,-54.74
Dividend Amount,,,,10.67,12.86,10.73,17.92,14.37,18,18.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1136,1088.53,1199.9,1326.33,1329.55,1272.51,1293.22,1364.76,1397.23,1450.76
Expenses,1090.66,1037.08,1134.19,1258.74,1266.81,1208.79,1226.59,1311.19,1345,1394.15
Other Income,2.88,6.3,3.09,3.35,5.58,3.83,6.18,6.58,6.08,2.88
Depreciation,37.5,39.26,40.9,43.55,49.8,55.25,54.46,51.79,51.46,51.28
Interest,7.52,9.13,8.93,10.74,14.97,16.93,17.78,16.53,16.42,17.43
Profit before tax,3.2,9.36,18.97,16.65,3.55,-4.63,0.57,-8.17,-9.57,-9.22
Tax,2.05,3.08,5.33,4.74,1.88,-4.83,8.87,7.29,6.83,2.69
Net profit,1.77,7.4,13.52,12.19,1.39,-0.82,-8.55,-15.93,-17.41,-12.85
Operating Profit,45.34,51.45,65.71,67.59,62.74,63.72,66.63,53.57,52.23,56.61
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,59.82,59.82,68,71.14,71.45,71.54,71.67,71.87,71.98,72.04
Reserves,204.82,241.97,279.68,348.46,426.77,473.11,496.39,474.61,489.69,420.43
Borrowings,4.02,28.17,34.32,26.19,37.7,201.3,269.48,402.42,834.05,739.29
Other Liabilities,250.18,261.5,434.81,540.21,669.19,675.89,849.39,1026.54,1157.22,1245.44
Total,518.84,591.46,816.81,986,1205.11,1421.84,1686.93,1975.44,2552.94,2477.2
Net Block,25.93,49.52,61.51,65.89,71.31,230.96,360.72,500.55,829.68,836.38
Capital Work in Progress,0.02,2.85,0.69,0.55,2.59,15.04,3.06,13.82,3.78,16.05
Investments,110.35,68.11,58.04,50.05,81.27,3.14,55.07,117.75,99.87,5.86
Other Assets,382.54,470.98,696.57,869.51,1049.94,1172.7,1268.08,1343.32,1619.61,1618.91
Total,518.84,591.46,816.81,986,1205.11,1421.84,1686.93,1975.44,2552.94,2477.2
Receivables,199.39,245.23,412.07,520.04,518.27,535.63,485.6,488.9,652.49,701.9
Inventory,,,,,,,,1.43,0.41,
Cash & Bank,102.1,83.63,50.18,66.03,69.95,99.53,197.77,134.33,126.23,71.07
No. of Equity Shares,61277860,61277860,69455044,71141924,71447684,71537256,71670340,71871618,71977030,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,26.78,-47.9,-34.18,11.94,94.95,85.38,293.69,190.98,119.4,226.86
Cash from Investing Activity,-164.78,1.02,-3.44,0.06,-94.69,35.51,-107.97,-139.85,-310.02,-54.29
Cash from Financing Activity,102.92,18.41,4.17,3.85,-11.34,-76.31,-87.49,-117.46,182.94,-276.12
Net Cash Flow,-35.08,-28.47,-33.45,15.85,-11.08,44.58,98.23,-66.33,-7.68,-103.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,484.8,526.4,226.65,579.75,504.6,354.3,408.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,5.95,5.95,6.8,7.11,7.14,7.15,7.17,7.19,7.2,7.2
