COMPANY NAME,IFB INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1392.6,,,,,,,,,
Market Capitalization,5639.92,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,1758.44,2220.45,2657.07,2636.97,2800.8,3415.38,4194.99
Raw Material Cost,,,,1034.79,1312.77,1614.46,1428.29,1587.68,2129.51,2593.35
Change in Inventory,,,,15.52,60.46,48.5,-65.44,23.07,67.07,35.15
Power and Fuel,,,,21.88,28.03,31.56,31.92,32.52,38.48,44.03
Other Mfr. Exp,,,,179.42,219.93,261.01,273.24,168.58,227.65,261.76
Employee Cost,,,,162.84,216.58,264.06,299.23,307.53,373.05,405.9
Selling and admin,,,,685.63,851.18,1035.27,1080.56,1061.02,1376.96,1598.88
Other Expenses,,,,-412.26,-507.62,-628.93,-664.54,-546.06,-711.85,-833.78
Other Income,,,,13.42,15.67,32.01,13.98,22.36,27.89,26.89
Depreciation,,,,44.23,53.81,57.55,91.95,102.42,115.45,121.5
Interest,,,,6.2,6.76,8.48,18.11,33.63,34.75,33.21
Profit before tax,,,,64.65,115.14,94.12,26.75,98.91,-73.66,32.18
Tax,,,,13.1,35.86,23.04,0.98,34.8,-25.5,17.24
Net profit,,,,53.27,80.97,72.95,27.41,64.11,-48.16,14.94
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,989.78,953.12,900.44,1067.4,1118.28,999.16,1010.15,1085.91,1100.9,1160.83
Expenses,919.49,926.06,910.77,1032.67,1048.76,969.46,983.73,1055.42,1038.33,1103.05
Other Income,4.93,4.99,4.42,4.33,5.09,4.04,9.29,7.78,6.08,7.07
Depreciation,30.46,29.26,29.37,28.62,29.03,30.04,33.81,30.24,30.35,31.8
Interest,7.94,8.1,8.16,7.31,7.4,7.05,7.68,7.47,6.92,6.77
Profit before tax,36.82,-5.31,-43.44,3.13,38.18,-3.35,-5.78,0.56,31.38,26.28
Tax,12.23,-2.1,-15.15,1.23,14.06,-2.21,4.16,1.18,9.85,8.83
Net profit,24.59,-3.21,-28.29,1.9,24.12,-1.14,-9.94,-0.62,21.53,17.45
Operating Profit,70.29,27.06,-10.33,34.73,69.52,29.7,26.42,30.49,62.57,57.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,41.28,41.28,41.28,41.28,41.28,41.28,41.28
Reserves,,,,428.34,506.65,577.11,604.96,654.6,606.98,626.19
Borrowings,,,,40.19,31.53,30.64,356.86,292.76,363.05,352.96
Other Liabilities,,,,397.26,538.19,619.3,661.57,902.77,1019.15,1086.36
Total,,,,907.07,1117.65,1268.33,1664.67,1891.41,2030.46,2106.79
Net Block,,,,329.26,338.66,357.62,624.6,653.68,697.63,694.81
Capital Work in Progress,,,,14.32,7.18,24.29,9.83,21.15,15.13,20.88
Investments,,,,54.14,92.67,27.26,152.8,260.47,229.47,185.99
Other Assets,,,,509.35,679.14,859.16,877.44,956.11,1088.23,1205.11
Total,,,,907.07,1117.65,1268.33,1664.67,1891.41,2030.46,2106.79
Receivables,,,,144.56,187.49,248.29,204.54,265.69,310.31,413.37
Inventory,,,,242.48,319.07,403.91,383.38,462.28,576.82,573.09
Cash & Bank,,,,46.8,67.81,96.7,125.1,122.48,92.87,97.05
No. of Equity Shares,,,,43568796,43568796,43568796,43568796,43568796,40518796,40518796
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,84.78,124.49,44.64,184.48,291.92,50.56,105.53
Cash from Investing Activity,,,,-95.2,-91.58,-33.48,-373.8,-186.73,-27.05,-5.72
Cash from Financing Activity,,,,8.52,-12.88,-5.22,222.55,-111.77,-51.45,-94.14
Net Cash Flow,,,,-1.9,20.03,5.94,33.23,-6.58,-27.94,5.67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,647.1,1142.45,977.95,266.4,1111.55,1040.7,737.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,4.05,4.05,4.05,4.05,4.05,4.05,4.05
