COMPANY NAME,RAMKY INFRASTRUCTURE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,508.4,,,,,,,,,
Market Capitalization,3506.65,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2401.7,1644.13,2048.18,1718.6,1578.5,1748.76,1387.08,1056.3,1458.66,1705.13
Raw Material Cost,1.54,0.14,0.21,0.2,0.3,0.12,,,,0.01
Change in Inventory,26.58,-116.82,-225.3,-39.52,-47.26,-58.37,,,,
Power and Fuel,63.43,21.25,50.07,40.21,108.7,82.28,69.27,62.49,29.92,48.27
Other Mfr. Exp,2107.69,1386.17,1558.15,1326.05,1148.98,1110.27,1157.75,747.04,983.58,1155.82
Employee Cost,89.57,55.05,48.42,47.82,50,50.57,50.28,46.56,50.81,71.53
Selling and admin,138.93,97.81,117.01,79.42,44.76,41.68,35.82,35.88,35.46,44.73
Other Expenses,245.92,124.44,118.37,67.33,167.49,228.92,119.22,61.74,153.67,46.71
Other Income,35.2,52.06,502.97,390.69,524.93,252.86,168.63,184.64,322.08,1455.83
Depreciation,68.84,91.85,65.91,59.4,55.44,47.91,45.44,32.02,31.49,41.78
Interest,380.42,514.97,396.59,399.3,369.38,378.39,341.04,324.82,373.28,362.93
Profit before tax,-632.86,-712.31,-28.88,50.04,111.12,3.11,-263.11,-69.61,122.53,1389.18
Tax,-210.16,-229.63,6.39,34.22,45.32,3.17,2.92,-89.08,82.5,236.54
Net profit,-414.85,-482.96,-46.69,-6.04,28.59,15.04,-198.05,19.56,23.62,1140.56
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,258.77,396.51,540.21,371.79,339.94,416.97,576.43,556.8,581.81,440.72
Expenses,347.26,290.63,432.2,283.14,275.01,328.03,480.9,399.78,401.19,363.81
Other Income,180.01,32.97,70.2,37.25,48.01,51.61,1318.97,37.42,40.64,39.65
Depreciation,7.51,7.88,8.94,9.65,9.73,11.11,11.29,11.33,11.96,12.29
Interest,82.6,114.55,93.08,87,91.23,95.39,89.31,40.02,45.72,44.93
Profit before tax,1.41,16.42,76.19,29.25,11.98,34.05,1313.9,143.09,163.58,59.34
Tax,-56.59,14.51,123.9,20.91,-43.32,22.85,236.09,37.8,42.97,21.69
Net profit,48.43,-3.14,-51.63,4.71,51.97,6.8,1077.08,101.34,112.62,36.48
Operating Profit,-88.49,105.88,108.01,88.65,64.93,88.94,95.53,157.02,180.62,76.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,57.2,57.2,57.2,57.2,57.2,59.85,69.2,69.2,69.2,69.2
Reserves,1175.37,744.8,298.69,292.76,322.03,364.9,251.41,270.6,206.88,1342.48
Borrowings,3240.3,3670.78,3220.59,3095.44,2970.43,2721.41,2469.89,2302.86,2123.55,1650.27
Other Liabilities,1956.25,2062.04,1797.68,2130.41,1646.76,1469.83,1517.47,1734.13,2152.83,1578.64
Total,6429.12,6534.82,5374.16,5575.81,4996.42,4615.99,4307.97,4376.79,4552.46,4640.59
Net Block,1465.1,1314.87,353.81,303.43,298.22,280.07,238.75,201.87,265.24,328.95
Capital Work in Progress,27.08,11.08,3.73,3.72,15.89,0.05,0.7,27.64,28.43,60.53
Investments,110.96,104.81,197.85,170.38,137.53,6.07,6.39,6.6,6.78,7.15
Other Assets,4825.98,5104.06,4818.77,5098.28,4544.78,4329.8,4062.13,4140.68,4252.01,4243.96
Total,6429.12,6534.82,5374.16,5575.81,4996.42,4615.99,4307.97,4376.79,4552.46,4640.59
Receivables,996.34,979.21,1008.71,1191.03,943.08,605.59,366.25,331.48,443.13,377
Inventory,1347.43,1040.76,725.61,526.87,520.34,388.85,164.01,146.92,169.27,177.47
Cash & Bank,107.41,125.38,142.76,105.13,80.1,192.72,251.12,255.02,323.7,862.74
No. of Equity Shares,57197800,57197791,57197791,57197791,57197791,59847791,69197791,69197791,69197791,69197791
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-376.28,149.29,-159.69,350.46,421.03,404.07,263.23,222.12,277.66,2610.52
Cash from Investing Activity,-152.93,29.03,75.15,77.97,-20.61,106.28,29.64,1.2,-85.37,-215.36
Cash from Financing Activity,532.72,-157.97,109.59,-490.97,-421.39,-477.43,-195.15,-226.68,-327.13,-1649.81
Net Cash Flow,3.51,20.35,25.05,-62.54,-20.96,32.92,97.72,-3.36,-134.84,745.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,42.35,39.15,58.85,101.55,173.75,107.8,21.2,77.5,176.25,291.65
,,,,,,,,,,
