COMPANY NAME,RATTANINDIA POWER LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,11.29,,,,,,,,,
Market Capitalization,6141.74,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,338.78,625.17,2595.95,1390.52,2054.39,1923.62,1773.88,1559.86,3259.52,3231.16
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,203.61,381.13,1442.25,467.12,1193.47,1067.87,891.85,725.26,2234.29,2218.9
Other Mfr. Exp,23.4,36.42,57.68,53.21,47.4,58.16,68.95,10.1,19.83,23.06
Employee Cost,28.69,92.15,94.17,116.2,126.9,122.71,130.84,79,50.04,56.02
Selling and admin,14.31,42.69,45.65,33.29,99.93,75.68,69.83,101.37,127.14,131.02
Other Expenses,25.97,47.22,2.79,8.52,31.26,47.88,104.07,4.05,25.29,63.85
Other Income,58.74,61.3,81.05,155.09,148.42,-1155.05,2878.12,1074.3,-28.09,328.2
Depreciation,66.53,189.77,236,253.51,399.73,420.14,416.54,415.52,414.45,404.37
Interest,131.52,545.93,1204.06,1237.69,1953.84,2304.1,2804.76,2240.72,2341.83,2511.62
Profit before tax,-96.51,-648.84,-405.6,-623.93,-1649.72,-3327.97,165.16,-941.86,-1981.44,-1849.48
Tax,4.53,15.11,26.07,6.64,13.76,,,0.01,,20.37
Net profit,-101.27,-663.98,-431.44,-630.31,-1663.19,-3320.52,165.3,-941.61,-1981.44,-1869.85
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,757.14,804.79,823.23,842.79,638.07,849.72,900.58,847.27,796.39,806.38
Expenses,599.69,557.01,639.79,623.62,513.99,651.83,703.8,690.52,684.97,634.73
Other Income,71.69,52.36,209.52,79.37,79.2,81.57,88.06,88.71,88.36,81.92
Depreciation,103.98,104.49,102.78,101.55,102.87,102.98,96.97,102.38,104.87,106.12
Interest,589.11,582.34,596.57,586.29,618.01,656.24,650.69,678.15,726.5,719.45
Profit before tax,-463.95,-386.69,-306.39,-389.3,-517.6,-479.76,-462.82,-535.07,-631.59,-572
Tax,,,,,,,20.37,14.29,1.08,14.97
Net profit,-460.02,-386.63,-310.43,-389.3,-517.6,-479.76,-483.19,-549.36,-632.67,-586.97
Operating Profit,157.45,247.78,183.44,219.17,124.08,197.89,196.78,156.75,111.42,171.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,2642.73,2952.93,2845.43,2845.43,2945.43,2952.93,4939.78,5370.11,5370.11,5370.11
Reserves,2729.56,2143.53,1902.32,1223.3,-447.03,-3711.33,-4510.24,-5995.21,-8031.91,-9903.03
Borrowings,10679.12,12216.08,13551.95,14702.28,14633.16,13870.72,11932.47,11650.73,10967.28,10640.86
Other Liabilities,1374.49,1371.56,2224.97,2419.61,4238.41,6328.37,6733.19,7589.84,9352.9,11263.91
Total,17425.9,18684.1,20524.67,21190.62,21369.97,19440.69,19095.2,18615.47,17658.38,17371.85
Net Block,4675.44,8794.83,9267.66,10793.14,15011.29,14592,14409.84,13994.93,13381,13050.58
Capital Work in Progress,9119.96,6673.88,6658.81,6339.08,2282.89,2354.2,1584.09,1574.31,1142.2,1110.03
Investments,20.25,20.25,,70,10.07,193.09,274.85,0.34,3.79,7.99
Other Assets,3610.25,3195.14,4598.2,3988.4,4065.72,2301.4,2826.42,3045.89,3131.39,3203.25
Total,17425.9,18684.1,20524.67,21190.62,21369.97,19440.69,19095.2,18615.47,17658.38,17371.85
Receivables,105.63,206.07,856.99,791.59,1327.15,1249.36,1535.22,1951.34,2508.96,2491.95
Inventory,22.36,83.51,269.65,83.38,153,441.86,653.99,277.4,136.64,136.04
Cash & Bank,294.89,253.65,288.51,310.16,185.66,42.7,125.93,247.77,270.14,233.54
No. of Equity Shares,2642729953,2952933353,2952933353,2952933353,2952933353,2952933353,4939781691,5370105860,5370105860,5370105860
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,41.84,-184.54,10.6,1206.1,214.83,835.62,610.38,736.43,934.09,1015.45
Cash from Investing Activity,-607.17,-236.69,-108.44,-492.85,-107.18,-161.38,-91.03,100.97,58.59,-5.29
Cash from Financing Activity,604.11,371.87,168.92,-722.15,-234.81,-800.89,-475.67,-795.04,-955.76,-976.97
Net Cash Flow,38.78,-49.37,71.08,-8.9,-127.17,-126.65,43.68,42.37,36.92,33.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,7.6,8.95,9.95,8.15,5.15,2.7,1.35,2.55,5.35,2.95
,,,,,,,,,,
