COMPANY NAME,ISGEC HEAVY ENGINEERING  LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,969.6,,,,,,,,,
Market Capitalization,7134.73,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1678.96,3952.47,4506.74,3916.48,3790.01,5049.59,5881.93,5425.57,5499.34,6399.04
Raw Material Cost,1308.81,2496.84,2921.09,2242.54,1894.85,3314.75,3551.66,3186.03,3552.19,3591.01
Change in Inventory,298.16,47.71,83.98,98.83,-253.86,203.79,60.84,-109.24,198.44,-284.01
Power and Fuel,15.39,39.27,39.91,38.12,40.04,42.3,45.98,45.14,48.42,61.95
Other Mfr. Exp,239.06,469.79,631.2,682.04,664.19,827.24,1179.37,962.53,1094.95,1220.91
Employee Cost,137.68,302.57,333.06,355.94,358.48,401.57,446.55,391.94,438.29,469.54
Selling and admin,193.26,356.54,317.09,286.22,249.54,348.52,354.33,233.1,208.25,252.55
Other Expenses,-1.4,61.81,-0.99,3.62,19.72,30.06,19.79,28.15,21.08,46.17
Other Income,29.79,47.38,76.23,93.39,56.42,65.32,31.37,51.62,12.7,12.22
Depreciation,33.59,82.51,75.69,75.29,80.75,82.48,101.19,100.86,101.36,104.3
Interest,22.75,50.66,66.13,58.02,33.94,44.84,60.82,64.39,87.84,90.79
Profit before tax,57.77,187.57,283.77,366.91,251.06,226.94,214.45,355.81,158.1,290.03
Tax,19.07,64.24,93.32,118.58,82.65,82.93,65.32,102.75,43.11,84.49
Net profit,42.22,117.8,184.74,242.09,157.28,142.76,144.51,247.85,108.81,196.49
Dividend Amount,5.14,14.7,14.7,22.05,11.76,47.78,14.7,22.05,14.7,22.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1376.11,1395.58,1596.15,1246.71,1512.53,1597.06,2042.74,1385.76,1473.1,1492.52
Expenses,1329.7,1288.51,1489.65,1174.95,1421.86,1469.31,1878.35,1282.22,1339.52,1369.18
Other Income,3.09,7.03,1.13,3.55,2.56,0.97,5.67,13.07,3.58,5.34
Depreciation,24.35,25.75,27.41,25.47,25.86,26.2,26.77,25.1,25.9,27.04
Interest,11.51,10.63,31.82,19.84,18.22,17.44,17.49,19.25,20.46,12.96
Profit before tax,13.64,77.72,48.4,30,49.15,85.08,125.8,72.26,90.8,88.68
Tax,3.57,25.76,9.21,11.97,20.66,19.22,32.64,19.73,27.1,22.1
Net profit,10.52,47.03,37.64,17.83,29.57,62.96,86.13,50.66,59.79,61.92
Operating Profit,46.41,107.07,106.5,71.76,90.67,127.75,164.39,103.54,133.58,123.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35
Reserves,743.76,837.42,1021.48,1246.29,1373.78,1507.85,1777.25,2014.15,2113.58,2296.96
Borrowings,537.31,524.35,661.31,355.59,174.09,303.7,990.75,982.59,1233.18,1235.3
Other Liabilities,1802.52,2109.83,2433.61,2504.49,2270.83,3302.56,3165.89,3440.95,3386.97,3513.32
Total,3090.94,3478.95,4123.75,4113.72,3826.05,5121.46,5941.24,6445.04,6741.08,7052.93
Net Block,532.23,554.15,615.21,622.72,628.79,748.54,833.19,803.11,977.1,947.42
Capital Work in Progress,40.71,14.31,10.35,19.11,31.55,18.76,706.43,893.06,701.54,804.79
Investments,143.44,348.42,554.5,696.72,371.24,155.47,98.18,60.06,134.62,33.35
Other Assets,2374.56,2562.07,2943.69,2775.17,2794.47,4198.69,4303.44,4688.81,4927.82,5267.37
Total,3090.94,3478.95,4123.75,4113.72,3826.05,5121.46,5941.24,6445.04,6741.08,7052.93
Receivables,796.76,1037.95,1430.08,1133.35,1136,1892.74,1793.09,2145.03,2151.84,2819.51
Inventory,860.22,839.78,895.39,1075.75,839.97,1208.73,1196.1,1152.81,1403.45,1163.84
Cash & Bank,425.78,381.94,310.41,141.73,240.27,140.38,214.36,179.34,136.46,210.52
No. of Equity Shares,7352951,7352951,7352951,7352951,7352951,73529510,73529510,73529510,73529510,73529510
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-192.82,260.95,122.69,236.45,100.73,-237.63,103.53,227.82,-70.3,207.65
Cash from Investing Activity,65.91,-238.97,-260.51,-141.44,276.13,73.08,-327.66,-163.85,-158.72,-43.01
Cash from Financing Activity,149.59,-65.82,66.29,-369.72,-232.88,93.31,295.43,-89.16,175.76,-97.76
Net Cash Flow,22.68,-43.84,-71.52,-274.71,143.98,-71.24,71.29,-25.19,-53.27,66.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
