COMPANY NAME,D B CORP LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,258.4,,,,,,,,,
Market Capitalization,4549.5,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1859.76,2009.57,2049.35,2258.01,2311.17,2462.7,2223.83,1507.7,1768.54,2129.22
Raw Material Cost,632.95,647.57,618.67,660.81,734.15,922.69,766.24,421.4,554.36,850.22
Change in Inventory,0.64,-0.34,0.03,-0.06,3.41,-0.94,-0.18,-0.26,1.09,-0.89
Power and Fuel,35.56,37.2,39.54,41.72,46.55,49.12,45.19,32.73,35.65,38.39
Other Mfr. Exp,135.29,190.91,196.39,161.08,166.45,175.86,170.01,127.16,186.17,237.98
Employee Cost,302.52,345.8,390.91,425.81,436.41,435.07,418.12,379.37,375.1,387.35
Selling and admin,183.48,155.83,185.38,191.61,217.81,243.17,195.71,173.64,246.47,216.9
Other Expenses,69.09,67.97,80.85,132.47,148.35,129.89,144.32,66.11,66.55,73.91
Other Income,22.63,23.97,21.34,14.72,22.65,14.91,9.93,25.42,17.48,37.57
Depreciation,64.25,88.1,85.3,86.29,92.35,98.63,120.72,114.89,109.96,112.02
Interest,7.53,7.56,13.82,7.45,6.7,8.5,25.11,24.31,18.19,21.28
Profit before tax,452.36,492.26,459.86,565.43,488.46,413.74,348.16,193.25,194.66,227.85
Tax,145.74,175.92,167.8,190.67,164.49,139.9,73.18,51.83,52.1,58.77
Net profit,306.65,316.34,292.07,374.76,323.97,273.84,274.98,141.42,142.56,169.09
Dividend Amount,133.03,142.33,202.11,151.72,1.84,174.91,174.96,52.49,88.53,106.79
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,446.8,545.52,471.97,494.1,538.38,565.81,530.96,554.2,586.04,644.71
Expenses,345.83,403.5,413.56,426.55,450.87,473.83,455.7,437.7,434.37,461.66
Other Income,4.46,3.93,7.89,6.22,10.24,8.71,13.68,19.41,15.9,20.05
Depreciation,27.63,27.54,26.97,26.7,28.09,27.59,29.64,27.29,28.95,28.91
Interest,4.75,2.05,5.87,4.99,4.85,5.76,5.67,5,5.66,6.81
Profit before tax,73.05,116.36,33.46,42.08,64.81,67.34,53.63,103.62,132.96,167.38
Tax,19.27,29.84,8.94,11.08,16.03,19.06,12.59,24.87,32.71,43.41
Net profit,53.77,86.52,24.52,31,48.78,48.28,41.03,78.76,100.26,123.98
Operating Profit,100.97,142.02,58.41,67.55,87.51,91.98,75.26,116.5,151.67,183.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,183.49,183.65,183.74,183.9,184.03,174.91,174.96,174.96,177.06,177.98
Reserves,963.25,1104.53,1213.77,1410.5,1745.06,1652.02,1503.47,1647.9,1705.37,1769.89
Borrowings,154.45,123.55,137.28,80.89,44.86,50.81,344.67,247.63,198.94,212.53
Other Liabilities,468.35,492.83,416.59,409,481.49,516.46,462.77,405.47,455.55,418.43
Total,1769.54,1904.56,1951.38,2084.29,2455.44,2394.2,2485.87,2475.96,2536.92,2578.83
Net Block,850.34,815.8,866.98,910.25,1001.63,986.33,1221.42,1202.06,1153.92,1073.39
Capital Work in Progress,2.22,4.49,45.85,21.36,21.29,1.16,0.87,0.44,0.18,0.87
Investments,72.42,68.59,70.67,26.93,35.59,36.59,18.15,14.33,13.82,65.9
Other Assets,844.56,1015.68,967.88,1125.75,1396.93,1370.12,1245.43,1259.13,1369,1438.67
Total,1769.54,1904.56,1951.38,2084.29,2455.44,2394.2,2485.87,2475.96,2536.92,2578.83
Receivables,327.98,344.95,377.34,417.99,553.39,636.93,630.63,496.9,478.95,465.79
Inventory,173.23,140.2,167.47,198.71,159.94,249.55,252.9,233.48,215.13,214.3
Cash & Bank,113.3,177.97,90.02,175.21,321.94,132.87,135.21,312.21,517.02,147.17
No. of Equity Shares,183485501,183649258,183739238,183900000,184030000,174910000,174950000,174960000,177060000,177970000
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,259.04,425.31,341.09,360.15,363.95,235.42,363.1,374.1,370.63,244.19
Cash from Investing Activity,-103.68,-152.86,-183.07,-32.06,-198.42,-20.64,-154.16,-136.54,-223.5,-144.05
Cash from Financing Activity,-164.99,-205.09,-244.92,-243.6,-41.87,-381.12,-306.84,-151.29,-154.55,-132.16
Net Cash Flow,-9.63,67.36,-86.89,84.5,123.66,-166.35,-97.9,86.27,-7.42,-32.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,309.2,366.25,310.3,381.2,311.55,186.95,79.6,89.85,85.1,97.55
,,,,,,,,,,
