COMPANY NAME,SURYA ROSHNI LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,616.6,,,,,,,,,
Market Capitalization,6694.41,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2962.33,2778.31,2964.16,3887.16,4937.81,5980.39,5469.02,5554.37,7730.07,7995.95
Raw Material Cost,2328.48,2016.36,2194.84,2935.99,3861.32,4650.87,4293.22,4285.2,6193.38,6237.13
Change in Inventory,62.45,-4.49,21.57,82.83,84.07,-38.88,96.21,-15.66,39.46,62.31
Power and Fuel,66.35,68.86,65.95,74.91,80.07,87.41,104.95,91.77,116.71,128.23
Other Mfr. Exp,57.39,102.84,23.18,71.8,78.53,82.35,79.93,76.26,91.39,101.65
Employee Cost,151.06,156.37,185.66,235.54,268.86,293.73,303.8,307.12,339.97,372.36
Selling and admin,238.68,284.65,190.64,231.46,302.56,372.81,347.07,323.8,500.74,508.27
Other Expenses,-51.75,-78.78,82.92,107.19,84.61,82.29,82.66,77.6,84.86,96.66
Other Income,2.67,3.3,1.69,0.8,2.66,4.11,3.35,4.67,5.72,5.22
Depreciation,55.64,56.04,61.01,83.61,87.31,88.51,103.47,102.7,108.38,115.41
Interest,114.47,109,96.43,112.72,105.16,115.07,114.11,69.79,63.63,44.84
Profit before tax,67.13,61.78,86.79,117.57,156.12,172.58,139.37,209.14,276.19,458.93
Tax,13.76,7.69,23.69,31.29,48.08,51.7,37.16,52.64,71.62,123.65
Net profit,53.36,54.09,63.1,86.28,108.04,120.88,102.21,156.5,204.57,335.28
Dividend Amount,4.38,4.38,4.38,8.16,10.88,10.88,10.88,16.08,21.33,37.67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1945.57,2030.19,2300.92,1839.47,1984.16,2021.13,2151.19,1875.13,1915.5,1937.51
Expenses,1844.68,1932.43,2149.21,1769.86,1855.01,1858.37,1898.75,1760.68,1778.24,1782.94
Other Income,1.26,1.17,2.29,0.81,2.04,0.87,1.5,1.7,1.48,3.73
Depreciation,27.46,27.87,27.72,27.73,29.01,29.84,28.83,28.78,28.99,30.08
Interest,15.13,16.56,15.05,12.67,11.14,11.15,9.88,6.36,6.41,7.28
Profit before tax,59.56,54.5,111.23,30.02,91.04,122.64,215.23,81.01,103.34,120.94
Tax,15.23,14.02,28.75,7.94,23.02,33,59.69,21.94,27.46,30.91
Net profit,44.33,40.48,82.48,22.08,68.02,89.64,155.54,59.07,75.88,90.03
Operating Profit,100.89,97.76,151.71,69.61,129.15,162.76,252.44,114.45,137.26,154.57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,43.83,43.83,43.83,54.41,54.41,54.41,54.41,53.61,53.33,53.81
Reserves,730.07,767.19,647.63,896.51,992.91,1097.52,1184.54,1311.59,1491.82,1807.14
Borrowings,1037.89,947.64,894.99,1070.9,1097.39,1191.53,1090.36,732.03,593.09,417.77
Other Liabilities,258.94,309.7,390.5,594.38,710.69,685.3,640.84,841.85,973.93,775.7
Total,2070.73,2068.36,1976.95,2616.2,2855.4,3028.76,2970.15,2939.08,3112.17,3054.42
Net Block,911.86,936.47,753.44,1100.79,1071.92,1088.58,1061.12,1029.16,942.87,912.47
Capital Work in Progress,53.71,26.38,18.37,15.55,21.91,24.57,14.99,9.66,52.97,8.47
Investments,50,50,50,,,0.05,3.85,3.85,3.85,3.85
Other Assets,1055.16,1055.51,1155.14,1499.86,1761.57,1915.56,1890.19,1896.41,2112.48,2129.63
Total,2070.73,2068.36,1976.95,2616.2,2855.4,3028.76,2970.15,2939.08,3112.17,3054.42
Receivables,496.58,524.23,525.68,631.81,712.59,837.68,697.81,753.23,885.42,744.57
Inventory,433.13,389.52,469.88,654.95,828.57,843.53,912.81,868.22,987.09,1151.96
Cash & Bank,24.69,26.35,27.26,22.3,24.52,2.06,1.58,0.93,0.79,0.68
No. of Equity Shares,43831250,43831250,43831250,54408974,54408974,54408974,54408974,54408974,54408974,54408974
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,90.3,266.69,208.28,256.26,154.92,120.14,280.26,539.92,284.96,279.31
Cash from Investing Activity,-145.84,-61.73,-51.1,-100.15,-63.37,-105.33,-51.97,-65.88,-53.62,-33.18
Cash from Financing Activity,61.57,-203.3,-156.26,-162.59,-87.79,-37.3,-228.92,-474.79,-231.4,-246.16
Net Cash Flow,6.03,1.67,0.92,-6.48,3.76,-22.49,-0.63,-0.75,-0.06,-0.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
