COMPANY NAME,KIRLOSKAR OIL ENGINES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1054.1,,,,,,,,,
Market Capitalization,15284.93,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,2463.54,2673.61,3055.46,3626.39,3379.45,3296.1,4021.98,5023.8,5898.32
Raw Material Cost,,1560.29,1699.78,1977.14,2306.62,2202.47,1999.54,2630.05,3172.63,3511.99
Change in Inventory,,18.02,11.47,21.8,-22.24,60.25,-50.46,-7.59,54.88,14.76
Power and Fuel,,21.04,19.77,22.74,26.59,26.29,22.28,25.98,32.73,
Other Mfr. Exp,,192.95,206.74,269.25,302.95,317.32,306.54,331.13,377.97,
Employee Cost,,196.82,203.6,224.66,245.46,273.34,260.43,288.52,344.27,429.61
Selling and admin,,238.52,252.86,279.82,318.9,309.56,245.96,303.79,372.71,
Other Expenses,,-4.82,19.22,38.28,27.97,15.97,24.09,22.77,44.19,943.89
Other Income,,48.7,83.07,72.02,63.17,51.54,16.98,27.05,29.3,14.68
Depreciation,,111.32,110.72,123.3,94.4,87.34,83.98,101.29,104.66,118.8
Interest,,9.04,2.81,11.55,12.97,14.21,50.12,106.03,209.89,328.23
Profit before tax,,205.1,252.65,202.54,331.46,244.74,269.68,231.88,448.93,595.24
Tax,,39.68,78.76,66.32,111.84,56.85,72.28,61.01,117.28,155.54
Net profit,,165.42,173.89,139.72,219.17,185.18,194.96,174.52,332.4,441.87
Dividend Amount,,72.3,72.3,72.3,72.3,57.84,57.84,57.84,72.38,86.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1017.76,1181.95,1191.41,1228.12,1220.44,1383.83,1543.37,1304.83,1390.1,1660.02
Expenses,929.99,1038.51,1018.38,1047.58,1028.26,1195.8,1276.88,1103.45,1133.45,1357.33
Other Income,5.28,8.12,5.93,5.71,7.19,10.87,6.78,7.84,-22.67,23.11
Depreciation,24.96,25.34,26.62,26.29,25.63,26.12,26.8,29.89,31.02,31.09
Interest,28.4,35.27,41.91,46.81,57.2,63.97,76.46,74.01,81.38,96.38
Profit before tax,39.69,90.95,110.43,113.15,116.54,108.81,170.01,105.32,121.58,198.33
Tax,10.63,23.12,28.37,30.62,28.39,29.9,44.48,27.35,32.19,51.52
Net profit,30.71,69.33,81.54,83.8,88.15,78.91,125.53,77.97,89.82,148.55
Operating Profit,87.77,143.44,173.03,180.54,192.18,188.03,266.49,201.38,256.65,302.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,28.92,28.92,28.92,28.92,28.92,28.92,28.92,28.95,28.99
Reserves,,1414.91,1588.25,1546.53,1669.66,1716.24,1893.22,2052.75,2274.64,2647.22
Borrowings,,7.17,12.45,141.74,89.81,188.55,848.55,1964.66,3244.25,4141.84
Other Liabilities,,518.89,540.71,782.71,807,825.16,1026.01,974.84,1169.48,1459.82
Total,,1969.89,2170.33,2499.9,2595.39,2758.87,3796.7,5021.17,6717.32,8277.87
Net Block,,475.21,439.79,701.93,663.29,622.78,698.27,721.44,688.56,809.4
Capital Work in Progress,,29.26,14.91,30.18,40.92,77.77,54.85,42.79,68.51,252.06
Investments,,791.03,988.24,675.25,711.22,432.62,833.58,737.91,658.18,489.24
Other Assets,,674.39,727.39,1092.54,1179.96,1625.7,2210,3519.03,5302.07,6727.17
Total,,1969.89,2170.33,2499.9,2595.39,2758.87,3796.7,5021.17,6717.32,8277.87
Receivables,,158.23,201.26,401.65,407.58,412.1,438.57,468.77,527.73,607.04
Inventory,,205.79,226.09,344.57,309.58,405.77,379.47,388.05,544.98,643.63
Cash & Bank,,42.35,19.99,70.32,198.37,142.59,258.18,174.04,290.47,504.75
No. of Equity Shares,,144613861,144614326,144614326,144614326,144613861,144614326,144614326,144743637,
New Bonus Shares,,,,,,,,,,
Face value,,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,99.29,171.38,136.48,191.81,-124.17,-15.94,-1040.69,-920.3,
Cash from Investing Activity,,82.34,-189.81,6.69,-37.85,233.35,-465.3,-2.89,-144.52,
Cash from Financing Activity,,-175.91,2.48,-95.6,-152.75,-42.58,598.95,950.48,1182.17,
Net Cash Flow,,5.72,-15.95,47.57,1.21,66.6,117.71,-93.1,117.35,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,211,388.4,325.2,175.45,86.9,163.6,131.95,396.1,859.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.47,14.5
