COMPANY NAME,POWER MECH PROJECTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,4747.5,,,,,,,,,
Market Capitalization,7502.44,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1200.27,1366.22,1378.21,1338.2,1547.83,2261.3,2164.68,1884.08,2710.49,3601.19
Raw Material Cost,79.02,77,114.48,124.45,196.41,,,,,
Change in Inventory,1.29,-0.76,-0.46,2.9,8.55,-3.13,11.97,-6.21,1.97,16.75
Power and Fuel,5.79,24.98,24.99,28.74,34.28,42.04,43.2,49.47,65.03,77.69
Other Mfr. Exp,818.55,955.03,873.88,764.03,780.29,1499.42,1510.88,1438.3,1904.25,2551.31
Employee Cost,109.2,120.29,155.09,226.65,312.29,393.26,324.9,322.33,423.27,542.95
Selling and admin,23.57,7.87,11.71,9.06,9.97,9.77,4.62,5.79,6.19,4.97
Other Expenses,10.04,13.27,15.62,21.74,21.06,22.63,22.24,22.87,26.81,45.56
Other Income,10.79,5.74,5.79,7.76,6.67,15.39,10.85,15.97,14.13,16.96
Depreciation,32.84,36.78,39,40.93,42.84,45.82,39.43,35.76,36.9,42.91
Interest,26.61,29.43,32.94,32.93,35.87,55.07,74.06,79.27,79.47,89.54
Profit before tax,106.73,106.55,115.83,100.33,130.04,205.55,168.17,-59.95,184.67,279.97
Tax,38.53,34.97,40.55,35.67,39.23,62.37,37.48,-11.34,46.18,72.66
Net profit,68.1,71.4,75.08,64.68,79.44,121.62,131.26,-45.64,138.99,209.11
Dividend Amount,1.64,1.26,1.47,1.47,1.47,1.47,1.47,,2.21,2.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,539.33,645.91,902.4,746.61,771.37,909.11,1174.1,865.13,932.49,1107.5
Expenses,483.48,578.19,807.93,665.35,685.1,808.06,1047.25,765.89,821.6,974.99
Other Income,4.96,4.55,3.55,2.03,2.93,2.95,9.1,5.92,4.44,7.44
Depreciation,9.29,9.09,9.5,9.92,10.03,10.3,12.66,10.16,10.05,11.73
Interest,16.87,19.78,23.63,20.34,21.45,24.23,23.53,20.37,25.01,22.88
Profit before tax,34.65,43.4,64.89,53.03,57.72,69.47,99.76,74.63,80.27,105.34
Tax,7.6,10.64,17.65,13.6,15.02,18.87,25.18,23.67,29,43.29
Net profit,27.08,32.88,47.6,39.49,43.81,50.62,75.2,50.99,51.27,61.52
Operating Profit,55.85,67.72,94.47,81.26,86.27,101.05,126.85,99.24,110.89,132.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,10.94,12.58,14.71,14.71,14.71,14.71,14.71,14.71,14.71,14.91
Reserves,262.67,342.13,540.35,606.54,683.75,804.64,936.44,890.15,1028.6,1260.47
Borrowings,209.02,270.93,251.03,211.21,298.43,379.95,523.46,514.59,530.51,476.82
Other Liabilities,473.36,422.29,499.34,530.28,587.65,727.63,864.73,850.19,1023.04,1301.97
Total,955.99,1047.93,1305.43,1362.74,1584.54,1926.93,2339.34,2269.64,2596.86,3054.17
Net Block,178.06,183.21,197.78,206.46,202.56,189.94,187.79,174.65,180.48,188.78
Capital Work in Progress,6.79,17.03,22,11.93,5.99,3.34,2.61,5.32,2.38,2.73
Investments,0.02,0.02,0.31,0.91,0.13,31.37,32.89,40.94,39.1,36.13
Other Assets,771.12,847.67,1085.34,1143.44,1375.86,1702.28,2116.05,2048.73,2374.9,2826.53
Total,955.99,1047.93,1305.43,1362.74,1584.54,1926.93,2339.34,2269.64,2596.86,3054.17
Receivables,149.24,195.37,272.18,294.87,308.6,389.15,541.72,533.51,666.57,893.51
Inventory,24.3,32.09,31.29,43.69,47.22,92.73,126.33,114.67,137.66,147.34
Cash & Bank,68.84,67.83,43.19,34.75,94.76,88.07,75.08,64.44,150.14,171.53
No. of Equity Shares,10940000,12582764,14710764,14710764,14700000,14700000,14700000,14700000,14700000,14906357
New Bonus Shares,,1080000,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,26.75,3.86,-16.96,119.08,35.76,1.45,-47.66,122.21,174.65,182.26
Cash from Investing Activity,-41.6,-45.24,-62.92,-39.68,-41.79,-62.83,2.7,-46.8,-51.76,-91
Cash from Financing Activity,16.3,41.94,70.76,-73.26,49.58,24.82,59.05,-91.3,-63.15,-120.28
Net Cash Flow,1.45,0.55,-9.12,6.14,43.55,-36.56,14.09,-15.89,59.74,-29.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,559.1,534.25,846.65,931.7,323.75,583.9,835.75,2469.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
