COMPANY NAME,BHANSALI ENGINEERING POLYMERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,94.65,,,,,,,,,
Market Capitalization,2356.66,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,600.73,530.68,626.02,1031.67,1224.72,1104.33,1291.94,1393.94,1362.56,1221.74
Raw Material Cost,495.12,417.85,583.64,692.07,1024.92,911.47,671.52,781.49,951.49,842.17
Change in Inventory,-9.95,7.1,43.59,-51.98,9.03,18.13,-13.59,32.89,-34,10.26
Power and Fuel,22.54,22.73,27.73,32.81,31.19,32.9,27.21,30.03,37.65,
Other Mfr. Exp,8.27,8.78,-57.05,11.35,11.93,10.92,14.43,17.39,17.57,
Employee Cost,21.04,22.82,25.31,37.53,32.54,28.78,68.06,72.74,46.95,54.74
Selling and admin,12.44,16.91,21.51,30.2,39.83,44.29,39.51,43.52,53.09,
Other Expenses,5.98,11.22,4.95,21.29,14.32,7.76,10.92,18.46,44.84,123.07
Other Income,1.88,2.54,8.43,13.69,6.9,5.9,10.09,19.02,28.91,40.64
Depreciation,5.01,5.54,5.42,6.07,7.34,9.52,10.19,9.96,9.92,9.7
Interest,13.58,11.08,9.8,7.74,1.21,0.11,0.63,0.17,1.17,0.2
Profit before tax,8.68,23.39,56.73,154.32,77.37,82.61,445.97,472.09,194.79,242.76
Tax,3.28,6.7,21.11,54.68,30.85,15.79,112.57,122.64,58.86,63.03
Net profit,5.4,16.69,35.63,99.64,46.53,66.82,333.41,349.45,135.93,179.73
Dividend Amount,1.66,1.66,3.32,4.98,8.3,8.3,16.59,49.77,282.03,99.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,341.52,445.67,337.41,358.28,338.97,327.9,294.48,314.24,291.84,321.18
Expenses,243.82,344.64,277.11,305.08,297.59,305.82,237.92,256.69,244.99,270.11
Other Income,6.2,4.47,6.84,7.27,6.98,7.83,12.53,9.46,9.51,9.14
Depreciation,2.5,2.46,2.45,2.51,2.51,2.44,2.45,2.46,2.43,2.36
Interest,0.03,0.04,0.09,0.86,0.13,0.09,0.05,0.06,0.05,0.05
Profit before tax,101.37,103,64.6,57.1,45.72,27.38,66.59,64.49,53.88,57.8
Tax,25.72,29.89,17.07,16.08,12.4,13.3,16.26,16.48,13.83,16.45
Net profit,75.65,73.12,47.53,41.01,33.32,14.07,50.32,48,40.06,41.35
Operating Profit,97.7,101.03,60.3,53.2,41.38,22.08,56.56,57.55,46.85,51.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,16.59,16.59,16.59,16.59,16.59,16.59,16.59,16.59,16.59,24.89
Reserves,169.06,111.05,146.12,241.54,282.31,339.61,664.26,963.81,1049.67,896.49
Borrowings,41.57,31.82,137.1,,,,,,,
Other Liabilities,169.17,190.67,121.18,165.76,229.83,296.87,95.84,126.87,99.07,132.99
Total,396.39,350.13,420.99,423.89,528.73,653.07,776.69,1107.27,1165.33,1054.37
Net Block,122.17,81.85,93,107.41,143.5,149.62,140.82,144.53,139.58,132.57
Capital Work in Progress,,,,6.07,,1.52,,,0.4,18.94
Investments,1,1.5,1.5,1.5,1.5,1.5,1.5,1.13,1.13,1.13
Other Assets,273.22,266.78,326.49,308.91,383.73,500.43,634.37,961.61,1024.22,901.73
Total,396.39,350.13,420.99,423.89,528.73,653.07,776.69,1107.27,1165.33,1054.37
Receivables,146.56,131.9,136.71,185.42,223.8,153.74,290.74,282.41,237.96,229.93
Inventory,75.03,83.04,139.25,80.02,100.13,208.35,112.87,197.42,170.81,135.83
Cash & Bank,14.43,14.75,17.16,32.41,23.98,63.27,153.1,208.66,279.5,207.32
No. of Equity Shares,165905640,165905640,165905640,165905640,165905640,165905640,165905640,165905640,165905640,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,35.65,56.49,78.14,191.98,53.47,88.12,103.34,297.76,140.11,229.88
Cash from Investing Activity,-5.77,-35.22,-11.66,-16.06,-54.56,-42.86,-20.72,-300.19,-15.32,45.12
Cash from Financing Activity,-32.53,-22.88,-64.98,-148.85,-7.21,-10.11,-8.81,-49.77,-49.77,-323.52
Net Cash Flow,-2.66,-1.61,1.5,27.07,-8.31,35.15,73.81,-52.2,75.02,-48.53
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,14.67,11.93,23.13,113.73,48.7,19.23,93.43,84.6,65.33,89.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89
