COMPANY NAME,STYLAM INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,1592.95,,,,,,,,,
Market Capitalization,2699.21,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,184.93,214.17,264.26,294.35,339.08,460.62,462.15,479.53,659.35,952.13
Raw Material Cost,117.98,131.26,145.48,153.79,186.09,260.76,241.92,251.48,390.83,554.16
Change in Inventory,1.83,1.24,3.69,0.29,3.44,0.77,-7.14,4.93,15.32,23.16
Power and Fuel,8.62,10.51,12.31,14.06,19.85,29.16,33,23.63,37.16,52.72
Other Mfr. Exp,14.02,17.81,19.42,14.79,23.27,23.18,24.11,28.16,27.2,38.94
Employee Cost,11.04,13.11,18.67,26.61,30.17,30.3,37.54,38.25,54.78,68.75
Selling and admin,16.11,19.04,42.69,36.61,30.06,34.47,35.25,41.33,57.39,100.33
Other Expenses,0.99,0.93,-0.81,2.95,3.55,3.35,3.47,2.5,3.67,5.58
Other Income,1.93,0.29,0.6,1.06,2.06,1.34,-14.33,1.03,7.92,1.4
Depreciation,3.26,4.2,4.65,5.7,10.83,18.21,20.98,23.15,23.26,19.99
Interest,6.68,4.93,6.46,10.02,7.7,11.41,10.9,6.02,7.83,8.19
Profit before tax,9.99,13.91,19.68,31.17,33.06,51.89,33.51,70.97,80.47,128.03
Tax,3.17,4.52,7.53,11.53,13.01,13.07,14.6,15.67,19.46,32.08
Net profit,6.83,9.39,12.15,19.64,20.06,38.82,18.91,55.3,61.01,95.95
Dividend Amount,,,,,,,,,4.24,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,171.95,176.87,179.69,234.99,246.34,233.98,236.83,225.68,233.94,214.58
Expenses,147.47,143.79,159.89,199.66,206.75,194.62,196.3,183.91,186.68,166.78
Other Income,4.21,-3.58,7,0.24,0.25,0.21,0.7,0.51,1.89,1.95
Depreciation,5.94,5.99,5.64,5.77,6.01,3.8,4.41,5.12,5.26,5.56
Interest,1.91,2.02,2.13,2.2,1.34,4.08,0.57,0.71,0.61,0.71
Profit before tax,20.84,21.49,19.03,27.6,32.49,31.69,36.25,36.45,43.28,43.48
Tax,5.8,5.87,2.56,6.66,8.29,7.68,9.46,8.69,11.53,12.17
Net profit,15.05,15.63,16.46,20.94,24.21,24.01,26.79,27.77,31.74,31.32
Operating Profit,24.48,33.08,19.8,35.33,39.59,39.36,40.53,41.77,47.26,47.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,7.32,7.32,7.32,7.32,8.17,8.17,8.47,8.47,8.47,8.47
Reserves,27.34,36.73,48.88,69.21,137.47,177.35,195.79,251.21,307.97,403.92
Borrowings,73.29,81.73,116.78,184,126.8,189.05,118.48,59.15,79.42,46.93
Other Liabilities,23.31,23.66,38.12,42.63,55.76,63.58,72.56,88.55,93.41,79.09
Total,131.26,149.44,211.1,303.16,328.2,438.15,395.3,407.38,489.27,538.41
Net Block,50.7,48.64,56.29,79.68,185.67,233.47,194.95,187.82,178.72,171.79
Capital Work in Progress,20.36,30.73,56.05,108.71,,12.68,11.19,,,12.83
Investments,,,,,,1.14,1.5,1.5,2.5,2.5
Other Assets,60.2,70.07,98.76,114.77,142.53,190.86,187.66,218.06,308.05,351.29
Total,131.26,149.44,211.1,303.16,328.2,438.15,395.3,407.38,489.27,538.41
Receivables,26.28,33.57,40.1,46.91,57.21,78.93,87.39,98.64,118.77,125.85
Inventory,24.64,25.45,43.19,53.94,58.72,66.23,66.73,71.85,132.9,159.82
Cash & Bank,3.56,1.93,1.66,1.36,0.86,2.21,6.12,15.14,7.67,25.69
No. of Equity Shares,7316200,7316200,7316200,7316200,8166200,8166200,8474030,8474030,16948600,16948600
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,19.88,5.72,11.07,26.24,19.35,28.46,65.9,78.94,5.87,66.21
Cash from Investing Activity,-20.75,-12.33,-37.55,-77.31,-8.09,-52.54,19.05,-5.5,-30.48,-12.36
Cash from Financing Activity,3.2,4.98,26.21,50.96,-11.19,22.46,-80.42,-64.42,17.14,-35.83
Net Cash Flow,2.33,-1.63,-0.27,-0.11,0.07,-1.63,4.53,9.02,-7.46,18.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,10.55,57.3,97.1,287.33,341.35,392.68,128.85,697.98,1021.05,971.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.46,1.46,1.46,1.46,1.63,1.63,1.69,1.69,1.69,1.69
