COMPANY NAME,VEDANT FASHIONS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,957.5,,,,,,,,,
Market Capitalization,23265.6,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,758.08,800.74,915.55,564.82,1040.84,1354.93,1367.53
Raw Material Cost,,,,232.13,210.95,261.1,126.25,285.85,371.74,334.92
Change in Inventory,,,,-0.27,0.38,24.52,-10,36.6,38.86,-28.6
Power and Fuel,,,,2.23,1.15,1.66,1.2,1.03,1.23,
Other Mfr. Exp,,,,68.52,70.26,81.2,52.88,97.21,110.87,
Employee Cost,,,,48.96,47.21,53.3,38.11,58.04,57.83,56.78
Selling and admin,,,,165.44,184,130.33,75.44,120.12,156.23,
Other Expenses,,,,8.87,13.93,18.56,17.87,19.32,25.05,289.14
Other Income,,,,10.51,19.06,32.27,60.2,49.93,40.24,69.67
Depreciation,,,,9.67,8.58,88.73,95.53,94.36,103.79,134.85
Interest,,,,6.04,4.35,25.61,25.82,28.43,31.46,44.5
Profit before tax,,,,226.46,279.75,311.85,181.92,423.01,575.83,548.41
Tax,,,,78.57,97.58,75.2,49.01,108.1,146.73,134.23
Net profit,,,,147.89,182.16,236.64,132.9,314.91,429.11,414.17
Dividend Amount,,,,,,50.1,,121.35,218.52,206.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,384.75,296.25,324.95,246.92,441.43,341.63,311.62,218.3,474.46,363.16
Expenses,193.27,152.24,161.9,131.49,216.95,173.74,163.46,125.49,232.41,188.07
Other Income,11.38,11.1,7.11,9.71,9.98,13.44,14.98,15.11,15.47,24.11
Depreciation,24.36,26.89,26.4,24.89,25.05,27.44,29.91,32.46,34.43,38.06
Interest,7.55,8.64,7.84,7.73,7.46,8.44,9.42,10.69,11.18,13.22
Profit before tax,170.95,119.58,135.92,92.52,201.95,145.45,123.81,64.77,211.91,147.92
Tax,43.15,30.89,35.05,23.5,51.6,36.59,31.87,16.06,54.2,32.13
Net profit,127.8,88.7,100.87,69.02,150.35,108.87,91.95,48.72,157.71,115.79
Operating Profit,191.48,144.01,163.05,115.43,224.48,167.89,148.16,92.81,242.05,175.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,23.12,25.05,25.05,24.79,24.27,24.28,24.29
Reserves,,,,681.87,863.46,1040.97,1066.62,1058.47,1375.6,1577.59
Borrowings,,,,12.69,,316.42,210.37,278.7,293.38,444.42
Other Liabilities,,,,220.85,257.26,208.51,322.31,407.02,472.02,462.46
Total,,,,938.53,1145.77,1590.95,1624.09,1768.46,2165.28,2508.76
Net Block,,,,316.27,253.06,506.62,458.92,514.6,520.44,663.49
Capital Work in Progress,,,,0.67,2.48,0.25,0.39,0.1,2.19,
Investments,,,,138.2,194.41,400.98,535.57,512.42,787.13,959.22
Other Assets,,,,483.39,695.82,683.1,629.21,741.34,855.52,886.05
Total,,,,938.53,1145.77,1590.95,1624.09,1768.46,2165.28,2508.76
Receivables,,,,316.59,332.74,372.06,361.24,396.74,473.44,564.52
Inventory,,,,89.39,90.95,120.86,101.24,143,173.65,138.63
Cash & Bank,,,,5.02,119.39,19.9,7.11,3.87,10.01,21.71
No. of Equity Shares,,,,115585170,125227420,125227420,123933299,242703089,242779990,
New Bonus Shares,,,,,,,,,,
Face value,,,,2,2,2,2,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,52.39,176.71,243.45,252.62,351.02,469.81,483.08
Cash from Investing Activity,,,,-279.41,-162.89,-95.74,-88.42,56.46,-231.93,-109.52
Cash from Financing Activity,,,,223.55,-12.86,-140.98,-166.46,-410.48,-231.75,-361.6
Net Cash Flow,,,,-3.46,0.96,6.73,-2.26,-3,6.14,11.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,966.95,1139.15,926.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,12.51,12.52,12.52,12.39,24.27,24.28,24.29
