COMPANY NAME,CCL PRODUCTS (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,576.85,,,,,,,,,
Market Capitalization,7710.55,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,716.83,880.57,932.13,976.49,1138,1081.42,1139.15,1242.48,1462.03,2071.22
Raw Material Cost,419.98,555.33,546.29,544.06,719.51,601.7,591.91,579.51,785.64,1140.47
Change in Inventory,-5.08,11.37,-0.44,-7.86,28.94,4.41,32.5,-10.71,62.71,10.89
Power and Fuel,38.34,41.61,41.83,35.72,43.26,45,64.69,56.93,82.26,135.02
Other Mfr. Exp,54.28,53.29,62.49,69.74,63.05,67.14,87.75,115.61,118.03,157.15
Employee Cost,26.18,28.52,33.66,41.79,48.35,59.77,71.32,80.59,98.98,115.34
Selling and admin,18.47,31.14,32,37.88,46.83,55.84,71.89,98.48,107.81,140.23
Other Expenses,11.37,10.82,10.68,7.34,7.04,10.9,-1.86,2.9,0.95,-5.95
Other Income,2.6,3.02,1.22,1.23,4.84,3.34,4.44,3.39,4.09,3.26
Depreciation,29.1,26.82,28.38,33.25,34.09,31.72,47.11,49.41,57.46,63.7
Interest,17.06,13.61,10.82,11.17,7.83,8.46,17.96,16.95,16.36,34.4
Profit before tax,99.57,133.82,166.76,188.91,201.82,208.64,225.32,234.78,261.34,305.01
Tax,35.15,39.84,44.64,54.35,53.7,53.75,59.38,52.52,56.98,36.13
Net profit,64.42,93.98,122.12,134.56,148.13,154.89,165.94,182.26,204.35,268.88
Dividend Amount,15.97,19.96,33.26,33.26,33.26,46.57,66.52,53.22,66.52,73.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,336.63,423.05,376.23,509.28,506.56,535.3,520.08,654.93,607.57,664.48
Expenses,254.33,330.55,291.95,420.75,409.03,434.58,407.01,548.61,497.66,553.54
Other Income,0.2,0.54,3.25,0.23,0.27,0.35,2.4,0.35,0.73,1.13
Depreciation,13.69,14.55,15.64,17.04,17.47,19.04,10.15,22.38,22.58,22.17
Interest,4.03,3.81,3.75,5.09,7.21,11.49,10.61,14.86,18.36,23.2
Profit before tax,64.78,74.68,68.14,66.63,73.12,70.54,94.71,69.43,69.7,66.7
Tax,15.44,16.22,15.44,13.9,15.33,-2.51,9.42,8.71,8.84,3.41
Net profit,49.34,58.47,52.7,52.74,57.79,73.06,85.29,60.71,60.86,63.29
Operating Profit,82.3,92.5,84.28,88.53,97.53,100.72,113.07,106.32,109.91,110.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,26.61,26.61,26.61,26.61,26.61,26.61,26.61,26.61,26.61,26.61
Reserves,326.18,394.97,483.19,601.7,713.33,812.31,901.79,1060.69,1224.09,1455.6
Borrowings,292.07,229.18,210.31,142,310.96,416.38,468.94,559.17,655.05,919.6
Other Liabilities,80.17,110.96,81.16,77.87,82.65,166.31,112.03,141.71,164.18,195.12
Total,725.03,761.72,801.27,848.18,1133.55,1421.61,1509.37,1788.18,2069.93,2596.93
Net Block,361.13,339.97,417.31,393.28,371.13,383,723.64,798.38,882.24,1256.95
Capital Work in Progress,38.88,53.43,,0.16,226.39,424.13,100.18,148.95,159.99,54.01
Investments,1.5,1.5,1.5,1.51,1.48,1.48,1.48,,,
Other Assets,323.52,366.82,382.46,453.23,534.55,613,684.07,840.85,1027.7,1285.97
Total,725.03,761.72,801.27,848.18,1133.55,1421.61,1509.37,1788.18,2069.93,2596.93
Receivables,106.75,113.22,128.14,162.74,182.03,235.18,268.11,298.55,319.55,441.41
Inventory,137.95,173.53,148.6,182.76,183.16,201.95,260.42,319.69,519.14,578.29
Cash & Bank,34.38,26.63,18.68,16.79,44.21,96.51,38.69,120.35,53.7,83.43
No. of Equity Shares,133027920,133027920,133027920,133027920,133027920,133027920,133027920,133027920,133027920,133027920
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,124.79,104.71,160.98,101.78,145.15,161.57,90.66,170.91,116.26,198.33
Cash from Investing Activity,-58.25,-19.17,-86.97,-19.6,-246.71,-174.74,-88.43,-152.71,-191.66,-332.15
Cash from Financing Activity,-41.51,-93.29,-81.96,-84.32,128.93,42.12,-37.24,63.63,8.7,163.64
Net Cash Flow,25.03,-7.75,-7.95,-2.14,27.37,28.95,-35.01,81.82,-66.7,29.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,50.85,178.8,193.2,343.9,278.5,285,177.4,233.95,403.7,567.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
