COMPANY NAME,RELIANCE INFRASTRUCTURE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,161.2,,,,,,,,,
Market Capitalization,6395.22,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,19151.16,16185.08,26952.41,25229.18,18728.22,19730.95,19989.73,17734.99,19689.29,22302.88
Raw Material Cost,,,,,,,,,,
Change in Inventory,2.54,29.83,,,,,,,,
Power and Fuel,9839.41,9353.76,14248.32,14028.5,10476.56,11412.59,12020.28,10321.08,11130.56,14271.01
Other Mfr. Exp,4298.01,2569.85,3210.44,2557.79,1222.76,1298.25,1537.54,1810.69,1793.33,1206.98
Employee Cost,1067.58,1215.93,1694.65,1705.2,1157.15,1094.17,1047.43,1091.73,1086.74,1082.59
Selling and admin,352.38,545.92,1124.83,1094.17,1150.34,2673.16,3285.99,3394.02,2925.82,3466.72
Other Expenses,785.64,733.64,2156.59,1069.13,1538.01,7763.88,715.4,853.75,895.39,944.4
Other Income,1260.24,2767.97,2562.77,3438.02,4281,7206.06,3221.17,6753.78,830.11,45.11
Depreciation,534.08,832.83,1543.89,1688.21,1254.25,1291.84,1389.1,1352.1,1283.43,1448.5
Interest,1696.07,2347.32,5025.81,5581,5203.94,2581.06,2400.46,2726.74,2060.42,2393.46
Profit before tax,1840.77,1383.63,510.65,943.2,1006.21,-1177.94,814.7,2938.66,-656.29,-2465.67
Tax,274.33,69.97,224.62,-142.18,-151.47,-238.14,-50.88,-167.1,22.55,7.37
Net profit,1913.67,1800.18,759.63,1425.18,1255.5,-2426.82,771.17,1125.25,-998.88,-3221.18
Dividend Amount,196.94,210.42,223.58,236.73,249.88,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,5713.25,4201.99,4159.84,6171.96,6229.38,4110.96,4159.27,5564.6,7170.6,4657.33
Expenses,5166.66,3994.36,4051.25,5837.64,5462.96,3816.46,4348.61,5430.87,6494.82,4112.55
Other Income,47.07,724.25,307.77,651.75,212.8,673.31,-1367.47,312.92,202.89,404.81
Depreciation,307.63,329.92,330.8,350.18,365.04,367.72,365.56,370.8,386.97,378.52
Interest,515.66,504.38,527.07,526.6,567.09,656.69,643.08,570.73,610,577.64
Profit before tax,-229.63,97.58,-441.51,109.29,47.09,-56.6,-2565.45,-494.88,-118.3,-6.57
Tax,10.89,5.69,1.2,3.57,-2.73,7.8,-1.27,-0.05,5.43,15.01
Net profit,-306.04,-125.56,-472.14,-86.26,-162.15,-267.46,-2705.31,-672.86,-294.06,-421.17
Operating Profit,546.59,207.63,108.59,334.32,766.42,294.5,-189.34,133.73,675.78,544.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,262.58,263.03,263.03,263.03,263.03,263.03,263.03,263.03,263.03,351.83
Reserves,26328.36,26711.44,21389.3,23084.49,23417.08,13912.71,9529.34,10597.41,12006.69,8941.82
Borrowings,24289.09,25769.79,30549.85,25813.86,25440.95,17771.57,17147.1,13907.22,12717.84,11509.73
Other Liabilities,18047.66,18102.9,48566.88,49120.81,50710.91,36246.54,37921.19,37226.48,37415.09,40095.79
Total,68927.69,70847.16,100769.06,98282.19,99831.97,68193.85,64860.66,61994.14,62402.65,60899.17
Net Block,10301.01,17696.83,32886.66,36567.43,39393.16,24948.43,23253.4,19504.51,19001.74,19755.59
Capital Work in Progress,10789.27,5081.36,4971.23,2359.97,3004.62,2592.42,2529.42,2024.78,2198.12,1015
Investments,18280.43,17617.98,13199.65,13142.54,13092.09,6742.46,1394.46,1769.09,4699.75,4337.86
Other Assets,29556.98,30450.99,49711.52,46212.25,44342.1,33910.54,37683.38,38695.76,36503.04,35790.72
Total,68927.69,70847.16,100769.06,98282.19,99831.97,68193.85,64860.66,61994.14,62402.65,60899.17
Receivables,4993.94,5484.07,5616.06,5642.86,5423.39,4467.52,4954.04,3925.57,4113.57,2559.99
Inventory,518.69,608.38,553.8,411.93,394.49,62.05,64.34,72.66,66.26,80.52
Cash & Bank,650.35,535.07,480.92,676.73,1145.28,894.33,1460.18,925.87,1241.37,1376.42
No. of Equity Shares,262894500,263344479,263344479,263344479,263344479,263344479,263344479,263344479,263344479,352144479
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,4411.55,3290.31,10295.68,8678.2,8153.22,684.08,2874.82,1436.22,3799.31,3458.29
Cash from Investing Activity,-5936.06,-1726.22,-5690.11,-74.62,-805.06,2759.18,-808.31,17.51,-501.65,-1333.11
Cash from Financing Activity,1721.05,-1707.45,-4704,-8451.63,-7428.32,-3334.08,-1979.02,-1531.08,-2941.55,-2241.69
