COMPANY NAME,ASTRAZENECA PHARMA INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,5132.85,,,,,,,,,
Market Capitalization,12839.74,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,473.87,517.07,563.73,543.71,571,728.29,831.81,813.56,805.6,1002.97
Raw Material Cost,186.15,194.06,193.65,155.96,231.52,232.51,344.44,292,297.49,408.84
Change in Inventory,20.03,-6.01,-5.42,-17.98,51,1.38,39.21,-2.95,-14.47,48.86
Power and Fuel,8.69,8.51,7.43,7.68,8.3,8.27,7.72,7.37,8.1,5.54
Other Mfr. Exp,14.61,11.85,10.41,7.47,7.88,9.83,9.04,9.11,8.05,8.44
Employee Cost,160.46,159.84,169.35,162.04,150.39,197.4,216.7,219.54,230.21,259.1
Selling and admin,132.5,141.54,154.91,144.27,168.54,198.14,157.18,129.72,145.09,191.64
Other Expenses,4.47,6.67,6.14,10.94,9.08,12.22,15.24,17.4,16.01,13.15
Other Income,23.1,5.85,6.77,13.96,12.25,16.29,12.99,12.84,14.76,-14.13
Depreciation,10.12,15.28,17.43,15.83,14.74,14.92,18.58,20.13,16.95,16.26
Interest,,,,,,,1.14,1.09,0.95,0.63
Profit before tax,,-20.84,5.76,35.5,43.8,72.67,113.97,127.09,83.04,134.1
Tax,0.51,,0.5,15.45,17.89,18.22,41.76,33.79,21.44,34.81
Net profit,-0.51,-20.84,5.26,20.05,25.91,54.45,72.21,93.3,61.6,99.29
Dividend Amount,,,,,,,2.5,5,25,40
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,197.71,200.53,231.96,232.33,236.13,249.81,284.7,295.46,311.07,305.79
Expenses,179.79,185.86,193.99,204.36,195.4,213.22,224.85,228.21,258.31,290.74
Other Income,2.84,5.33,3.68,4.11,6.79,7.2,-32.23,8.1,24.8,9.66
Depreciation,4.28,3.51,4.41,4.59,3.29,4.13,4.25,3.8,3.67,3.7
Interest,0.25,0.23,0.21,0.19,0.16,0.2,0.09,0.15,0.5,0.61
Profit before tax,16.23,16.26,37.03,27.3,44.07,39.46,23.28,71.4,73.39,20.4
Tax,4.29,4.85,9.04,7.15,11.51,10.16,6.01,17.54,21.01,4.59
Net profit,11.95,11.42,27.98,20.15,32.56,29.3,17.27,53.86,52.37,15.8
Operating Profit,17.92,14.67,37.97,27.97,40.73,36.59,59.85,67.25,52.76,15.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,5,5,5,5,5,5,5,5,5,5
Reserves,166.6,145.76,151.01,217.87,241.93,295.8,359.44,451.17,506.39,583.69
Borrowings,,,,,,,11.84,12.14,8.63,7.21
Other Liabilities,243.98,260.83,246.98,192.62,213.61,261,330.08,306.4,336.54,388.97
Total,415.58,411.59,402.99,415.49,460.54,561.8,706.36,774.71,856.56,984.87
Net Block,94.22,100.99,97.36,86.84,75.46,74.83,71.53,80.96,74.49,68.86
Capital Work in Progress,9.31,12.21,6.31,4.81,3.57,6.9,24.24,4.02,2.2,1.33
Investments,,,,,,,,,,
Other Assets,312.05,298.39,299.32,323.84,381.51,480.07,610.59,689.73,779.87,914.68
Total,415.58,411.59,402.99,415.49,460.54,561.8,706.36,774.71,856.56,984.87
Receivables,52.93,42.77,83.14,43,54.63,79.75,83.21,85.19,85.89,107.52
Inventory,95.76,86.13,76.73,57.71,113.15,118.1,165.15,159.8,140.22,190.21
Cash & Bank,89.07,25.08,76.83,115.58,125.92,173.3,252.52,352.35,448.46,500.48
No. of Equity Shares,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-0.8,-45.7,56.99,38.1,8.79,54.98,87.42,104.78,100.8,58.29
Cash from Investing Activity,-14.57,-18.64,-3.61,0.25,-9.36,4.28,-170.8,173.03,4.74,18.11
Cash from Financing Activity,86.22,,-0.51,,,,-6.36,-8.97,-9.46,-24.48
Net Cash Flow,70.85,-64.34,52.87,38.35,-0.57,59.26,-89.74,268.84,96.08,51.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,1104.85,920.9,1154.75,935.25,927.55,1988.65,2403.85,3009.3,2551.85,3252.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
