COMPANY NAME,CHOLAMANDALAM FINANCIAL HOLDINGS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1086.2,,,,,,,,,
Market Capitalization,20420.71,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,8806.75,9696.41,8004.38,2687.85,8909.28,10925.63,13134.7,13900.15,14643.55,18154.38
Raw Material Cost,2338.9,2623.08,2560.61,,,,,,,
Change in Inventory,17.42,60.56,-0.7,,,,,,,
Power and Fuel,171.91,168.08,155.72,4.08,,,,,,
Other Mfr. Exp,541.76,534.23,463.18,19,4.57,2348.17,2578.55,2386.61,2364,2917.73
Employee Cost,678.47,795.18,682.44,127.9,668.79,759.92,838.81,1191.34,1356.56,1850.43
Selling and admin,594.33,693.36,704.47,497.59,3129.75,1163.05,1197.77,1175.11,1898.63,2070.92
Other Expenses,1683.43,1788.69,2461.91,1728.25,686.86,876.02,1972.77,2054.01,1590.32,1757.75
Other Income,28.81,122.68,1538.03,1.3,0.48,21.1,1.03,60.49,91.55,220.95
Depreciation,158.7,170.78,162.95,17.28,70.37,77.91,149.81,145.47,154.16,176.06
Interest,1896.11,2102.97,976.25,0.31,2654.88,3586.87,4592.4,4607.82,4327.87,5778.04
Profit before tax,789.37,1003.28,1374.18,294.74,1694.54,2134.79,1805.62,2400.28,3043.56,3824.4
Tax,271.84,319.64,367.07,89.43,568.73,721.07,641.84,636.38,801.33,1006.09
Net profit,311.31,424.36,1038.91,454.57,549.91,696.7,550.85,824.64,1023.07,1290.23
Dividend Amount,37.38,37.43,93.68,2.34,23.44,23.46,12.2,10.32,10.32,10.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3583.13,3726.38,3742.57,3936.68,4298.42,4724.7,5186.07,5625.66,6299.71,6794.67
Expenses,1588.53,1921.11,1719.45,1998.53,2153.07,2212.17,2243.67,2588.04,2898.08,2978.44
Other Income,1.18,18.2,51.67,26.04,56.91,52.05,96.51,88.93,72.52,47.86
Depreciation,36.78,37.61,41.66,40.66,41.82,44.08,49.5,51.9,52.1,55.24
Interest,1085.4,1054.13,1079.05,1137.29,1346.95,1550.89,1742.91,2012.7,2209.43,2445.43
Profit before tax,873.6,731.73,954.08,786.24,813.49,969.61,1246.5,1061.95,1212.62,1363.42
Tax,221.66,188.27,267.35,203.77,207.14,249.45,345.73,270.17,324.59,336.42
Net profit,303.09,248.93,304.65,267.49,282.89,332.08,407.9,371.43,420.9,467.13
Operating Profit,1994.6,1805.27,2023.12,1938.15,2145.35,2512.53,2942.4,3037.62,3401.63,3816.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,37.38,37.43,37.47,18.75,18.75,18.77,18.77,18.77,18.77,18.78
Reserves,1913.65,2290.33,3286.7,2744.92,3290.84,3924.83,4571.81,5367.17,6426.92,7641.8
Borrowings,19463.63,20931.11,1440.88,,38199.97,50447.28,55117.47,63797.15,69228.58,97191.03
Other Liabilities,5886.93,7078.92,4900.22,5128.75,11897.05,13546.33,16146.61,19432.47,22096.53,26181.22
Total,27301.59,30337.79,9665.27,7892.42,53406.61,67937.21,75854.66,88615.56,97770.8,131032.83
Net Block,1318.12,1520.78,1336.29,102,311,305.94,479.37,446.76,464.48,623.15
Capital Work in Progress,200.69,40,56.42,,3.8,13.97,10.6,9.91,40.45,60.5
Investments,2115.83,2665.4,5141.2,6536.02,6210.6,7552.27,8892.68,11678.02,13282.09,17536.05
Other Assets,23666.95,26111.61,3131.36,1254.4,46881.21,60065.03,66472.01,76480.87,83983.78,112813.13
Total,27301.59,30337.79,9665.27,7892.42,53406.61,67937.21,75854.66,88615.56,97770.8,131032.83
Receivables,613.94,669.81,684.95,236.49,68.85,41.28,30.19,56.6,71.31,99.13
Inventory,494.95,613.74,603.23,,,,,,,
Cash & Bank,1229.66,1060.26,1318.01,397.19,1208.86,3945.47,7314.18,6203.88,5448,3163.71
No. of Equity Shares,186892800,187131664,187346537,187447871,187533696,187692234,187716030,187722982,187742892,187777462
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-1872.04,-1685.19,-499.99,594.13,-6302.18,-9274.22,-1914.18,-9719.16,-5738.48,-29328.73
Cash from Investing Activity,-498.85,-461.37,192.92,-1262.74,-1825.2,-93.67,-96.49,-62.07,-135.48,-257.03
Cash from Financing Activity,2642.9,1703.65,747.95,-69.21,8287.29,12170.62,2427.2,7688.02,7072.9,27839.78
Net Cash Flow,272.01,-442.91,440.88,-737.82,159.91,2802.73,416.53,-2093.21,1198.94,-1745.98
,,,,,,,,,,
,,,,,,,,,,
