COMPANY NAME,PRAJ INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,517.6,,,,,,,,,
Market Capitalization,9507.92,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,985.84,1012.2,1023.61,914.99,916.59,1141.11,1102.37,1304.67,2343.27,3528.04
Raw Material Cost,480.17,484.41,467.19,477.01,471.2,601.33,567.02,730.97,1491.09,2229.19
Change in Inventory,2.34,-21.55,0.22,9.87,1.92,-8.2,14.65,-5.15,27.38,27.76
Power and Fuel,9.29,7.45,6.64,5.54,6.41,5.73,6.15,5.85,7.29,11.62
Other Mfr. Exp,125.7,99.9,106.19,99.82,103.87,130.76,152.91,152.54,267.6,448.92
Employee Cost,123.96,133.12,154.37,148.04,149.47,161.29,164.7,173.01,218.52,258.67
Selling and admin,125.04,128.02,126.79,86.59,93.77,103.72,94.53,84.62,139.96,221.76
Other Expenses,44.82,44.73,48.55,39.18,42.26,50.75,53.65,40.1,52.4,77.5
Other Income,22.95,33.66,18.36,22.28,26.72,32.3,30.02,25.66,36.19,45.46
Depreciation,23.76,37.83,25.02,22.12,24.09,22.95,21.85,22.12,22.59,30.25
Interest,1.44,2.47,2.03,1.31,1.14,0.76,3.1,2.86,2.51,4.63
Profit before tax,76.95,86.38,105.41,67.53,53.02,87.92,83.13,113.11,204.88,318.72
Tax,20.44,8.15,22.94,22.92,13.53,19.72,12.7,32.04,54.63,78.91
Net profit,54.63,76.27,82.46,44.6,39.49,68.2,70.43,81.05,150.24,239.79
Dividend Amount,39.39,28.75,28.83,29.07,29.31,38.72,49.45,39.58,77.13,82.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,532.41,585.64,830.96,731.97,880.62,911.47,1003.98,736.72,882.37,828.62
Expenses,486.28,534.61,752.93,676.07,813.01,825.3,895.65,661.23,798.35,731.07
Other Income,6.59,4.99,7.48,5.47,6.17,7.76,16.2,12.12,10.89,9.06
Depreciation,5.38,5.23,6.65,6.39,7.19,7.19,9.48,8.81,9.07,10.85
Interest,0.57,0.54,0.8,0.74,0.82,0.83,2.24,1.1,1.03,3.84
Profit before tax,46.77,50.25,78.06,54.24,65.77,85.91,112.81,77.7,84.81,91.92
Tax,13.43,13.2,20.41,12.97,17.65,23.59,24.69,19.02,22.44,21.5
Net profit,33.33,37.05,57.65,41.26,48.13,62.3,88.11,58.65,62.36,70.41
Operating Profit,46.13,51.03,78.03,55.9,67.61,86.17,108.33,75.49,84.02,97.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,35.49,35.49,35.59,35.89,36.19,36.53,36.63,36.65,36.73,36.74
Reserves,547.03,586.67,619.69,673.75,689.95,708.49,682.62,765.18,878.98,1041.26
Borrowings,21.33,17.27,16.07,4.38,6.02,0.04,,17.66,21.09,42.14
Other Liabilities,670.19,504.26,485.41,473.39,401.2,501.9,442.4,774.34,1280.96,1498.53
Total,1274.04,1143.69,1156.76,1187.41,1133.36,1246.96,1161.65,1593.83,2217.76,2618.67
Net Block,322.55,301.89,272.33,269.86,297.12,290.02,293.83,283.57,286.06,316.82
Capital Work in Progress,1.56,1.39,0.83,31.46,4.17,2.23,2.08,0.61,2.09,6.95
Investments,91.03,157.94,145.36,134.34,200.87,210.51,163.52,334.81,463.1,542.89
Other Assets,858.9,682.47,738.24,751.75,631.2,744.2,702.22,974.84,1466.51,1752.01
Total,1274.04,1143.69,1156.76,1187.41,1133.36,1246.96,1161.65,1593.83,2217.76,2618.67
Receivables,320.27,280.48,367.1,294.88,262.5,305.29,330.14,453.44,511.79,794.83
Inventory,222.05,227.15,100.81,104.53,80.79,126.38,111.14,128.91,345.03,333.62
Cash & Bank,57.24,99.95,81.85,73.57,80.25,87.96,49.31,132.45,155.08,144.82
No. of Equity Shares,177465080,177465000,177972409,179444188,180932415,182647850,183160060,183228904,183673088,183713088
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-3.46,149.65,51.1,20.19,101.4,32.99,14.67,225.09,187.66,162.13
Cash from Investing Activity,19.16,-76.69,1.63,-7.63,-68.62,-3.22,65.64,-163.54,-136.96,-77.61
Cash from Financing Activity,-40.09,-40.16,-67.75,-3.86,-24.74,-43.44,-98.03,-6.29,-44.35,-93.4
Net Cash Flow,-24.39,32.81,-15.02,8.71,8.04,-13.67,-17.72,55.27,6.35,-8.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,52.5,62.4,89.2,80.05,80.3,155.1,55.05,194.85,398.45,341
,,,,,,,,,,
