COMPANY NAME,SOUTH INDIAN BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,27.15,,,,,,,,,
Market Capitalization,7100,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,5286.22,5557.2,5847.08,6192.81,6876.52,7763.8,7305.44,6586.54,7233.18,8612.8
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,21.7,16.57,19.97,24.54,37.87,52.21,51.66,50.79,64.74,
Employee Cost,634.46,693.34,677.64,714.26,823.04,942.92,1236.28,1199.87,1302.66,1692.85
Selling and admin,196.4,213.08,229.31,249.23,284.14,300.44,311.96,327.31,379.41,
Other Expenses,543.93,527.43,798.47,1251.11,1150.72,1840.43,1866.86,1528.29,882.21,1625.97
Other Income,497.07,517.42,715.56,837.24,726.21,1045.75,1229.17,1034.1,812.63,1515.52
Depreciation,-1.11,67.03,65.38,63.73,69.64,77.7,82.65,84.02,87.48,
Interest,3919.99,4047.5,4171.65,4227.29,4856.82,5446.3,4898.54,4346.78,4221.1,5280.75
Profit before tax,467.92,509.67,600.22,499.89,380.5,149.55,86.66,83.58,1108.21,1528.75
Tax,160.71,176.4,207.72,165,132.97,44.96,24.75,38.6,333.12,458.67
Net profit,307.2,333.27,392.5,334.89,247.53,104.59,61.91,44.98,775.09,1070.08
Dividend Amount,81.01,67.52,72.11,72.35,45.24,,,,62.78,78.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1671.13,1635.43,1621.81,1740.14,1898.27,1972.96,2025.04,2129,2184.09,2274.67
Expenses,861.27,591.46,672.31,735.04,629.16,679.99,877.34,777.16,836.54,827.78
Other Income,221.98,203.95,246.34,255.1,-34.18,345.37,361.31,355.77,452.41,346.03
Depreciation,,,,,,,,,,
Interest,1098.26,1037.69,1018.43,1013.77,1073.12,1115.78,1217.27,1298.42,1365.06,1400
Profit before tax,-66.42,210.23,177.41,246.43,161.81,522.56,291.74,409.19,434.9,392.92
Tax,-16.11,-61.81,62.06,23.33,59.06,188.67,89.39,134.38,129.54,105.36
Net profit,-50.31,272.04,115.35,223.1,102.75,333.89,202.35,274.81,305.36,287.56
Operating Profit,809.86,1043.97,949.5,1005.1,1269.11,1292.97,1147.7,1351.84,1347.55,1446.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,135.02,135.03,180.28,180.88,180.97,180.97,209.27,209.27,209.27,
Reserves,3456.77,3710.55,4668.21,5062.29,5156.11,5296.38,5599.97,5645.15,6465.42,
Borrowings,54144.96,58335.69,68075.25,76072.97,85323.32,89927.12,86818.82,92436.6,98645.2,
Other Liabilities,1379.57,1293.61,1388.41,1369.74,1618.82,1628.43,1521.12,1761.4,2378.29,
Total,59116.32,63474.88,74312.15,82685.88,92279.22,97032.9,94149.18,100052.42,107698.18,
Net Block,469.22,466.83,618.13,642.22,676.79,775.81,754.66,752.01,753.92,
Capital Work in Progress,9.83,20.16,37.97,38.56,31.87,24.24,40.5,59.05,124,
Investments,14086.14,14743.93,19429.67,18363.08,19081.38,20625.27,20321.08,21445.01,24641.8,
Other Assets,44551.13,48243.96,54226.38,63642.02,72489.18,75607.58,73032.94,77796.35,82178.46,
Total,59116.32,63474.88,74312.15,82685.88,92279.22,97032.9,94149.18,100052.42,107698.18,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,3595.08,3274.47,3887.72,4221.05,4822.75,4189.76,8767.88,11203.43,7080.49,
No. of Equity Shares,1350152036,1350309041,1802835959,1808831080,1809682151,1809722151,2092741018,2092741018,2092741018,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,686.98,109.36,1956.58,792.86,1677.92,656,5808.41,5165.32,-7260.82,7075.2
Cash from Investing Activity,-172.6,-1397.87,-1841.53,-823.77,-1174.53,-1577.49,-1092.2,-1740.58,-386.06,-1985.9
Cash from Financing Activity,-137.23,167.9,498.2,364.25,98.31,288.5,-138.09,-989.19,3523.93,-2147.61
Net Cash Flow,377.15,-1120.61,613.25,333.33,601.71,-632.99,4578.12,2435.55,-4122.94,2941.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,20.95,14.67,19.61,20.94,15.16,5.24,7.58,6.89,13.46,27.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,225.03,225.05,225.35,226.1,226.21,226.22,261.59,261.59,261.59,261.59
