COMPANY NAME,TEJAS NETWORKS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1079.7,,,,,,,,,
Market Capitalization,18436.3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,386.82,627.45,874.63,749.8,900.32,390.54,526.6,550.59,919.57,2470.92
Raw Material Cost,198.98,355.73,514.05,389.95,463.7,203.58,268.74,314.43,565.69,1605.92
Change in Inventory,,,,,,,,3.65,4.99,20.82
Power and Fuel,2.97,3.42,3.6,4.16,5.02,5.07,4.56,5.09,5.82,
Other Mfr. Exp,9.21,16.96,19.54,37.31,37.22,21.95,20.13,37.82,72.35,
Employee Cost,81.7,100.38,124.14,140.84,186.59,176.59,182.42,214.84,395.27,351.49
Selling and admin,32.09,49.86,60.22,57.55,62.57,45.13,44.94,47.39,61.77,
Other Expenses,-6.2,-11.95,-10.65,-32.89,-51.02,25.67,-47.68,15.13,-190.38,268.4
Other Income,9.59,3.52,-21.81,27.83,36.66,33.65,24.85,43.3,81.01,64.66
Depreciation,48.57,38.24,56.42,61.27,65.88,77.05,52.12,76.78,122.5,182.45
Interest,46.96,49.32,31.81,13.4,17,7.72,3.7,3.19,15.2,47.92
Profit before tax,-17.87,29.01,53.69,106.04,150.02,-138.57,22.52,-117.13,-42.65,100.22
Tax,,,-39.29,-0.48,2.78,98.55,-15.02,-54.42,-6.24,37.24
Net profit,-17.87,29.01,92.98,106.52,147.24,-237.12,37.54,-62.71,-36.41,62.98
Dividend Amount,,,,,9.5,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,107.06,126.5,125.76,219.94,274.55,299.32,187.89,395.95,559.96,1326.88
Expenses,135.36,214.61,133.08,198.4,266.54,307.51,234.16,382.98,567.47,1020.38
Other Income,16.39,14.36,18.69,20.05,21,21.27,19.48,17.97,15.16,12.29
Depreciation,20.22,21.89,23.37,30.05,33.62,35.47,34.42,41.68,48.17,58.18
Interest,0.78,0.25,0.94,4.87,4.74,4.65,4.67,7,8.25,28
Profit before tax,-32.91,-95.89,-12.94,6.67,-9.35,-27.04,-65.88,-17.74,-48.77,232.61
Tax,-8.61,-46.27,-6.3,9.83,5.8,-15.57,-39.59,-5.1,-3.9,85.83
Net profit,-24.3,-49.62,-6.64,-3.16,-15.15,-11.47,-26.29,-12.64,-44.87,146.78
Operating Profit,-28.3,-88.11,-7.32,21.54,8.01,-8.19,-46.27,12.97,-7.51,306.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,61.55,66.52,74.01,94.09,94.99,95.48,96.51,117.82,171.64,173.98
Reserves,205.63,294.01,518.93,1057.99,1225.25,985.46,1037.69,1474.93,2801.32,2975.51
Borrowings,250.49,259,281.48,2.27,1.19,27.88,21.9,19.76,49.82,1884.32
Other Liabilities,210.39,218.78,160.04,175.42,263.85,132.33,155.78,497.61,579.25,3168.72
Total,728.06,838.31,1034.46,1329.77,1585.28,1241.15,1311.88,2110.12,3602.03,8202.53
Net Block,50.88,94.3,92.08,74.73,99.12,78.65,111.01,137.85,646.82,1180.92
Capital Work in Progress,87.8,51.81,18.62,46.85,41.38,26.99,24.49,39.61,153.58,15.03
Investments,,,,76.52,86.55,50.97,37.37,401.78,262.24,333.71
Other Assets,589.38,692.2,923.76,1131.67,1358.23,1084.54,1139.01,1530.88,2539.39,6672.87
Total,728.06,838.31,1034.46,1329.77,1585.28,1241.15,1311.88,2110.12,3602.03,8202.53
Receivables,207.62,254.24,382.87,275.71,622.12,375.63,341.03,285.09,498.93,1410.15
Inventory,220.91,231.68,181.72,190.89,181.39,251.99,213.65,278.02,646.86,3737.74
Cash & Bank,49.95,69.38,71.02,235.95,123.05,143.19,217.52,347.24,741.81,301.9
No. of Equity Shares,91001377,95978151,74010000,94090000,94989579,95480835,125968274,147277838,201098783,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,75.78,127.43,149.69,239.49,-81.59,0.61,157.65,-17.33,-380.14,-2036.48
Cash from Investing Activity,-28.58,-50.38,-139.74,-212.92,-104.39,71.28,-167.26,-827.97,-580.88,430.54
Cash from Financing Activity,-39.56,-40.54,-28.18,156.56,-11.31,-22.31,-3.44,839.43,998.85,1713.41
Net Cash Flow,7.64,36.51,-18.23,183.13,-197.29,49.58,-13.05,-5.87,37.83,107.47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,365.65,169.85,31.9,158.95,426.75,580.8,656.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
