COMPANY NAME,POONAWALLA FINCORP LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,452.2,,,,,,,,,
Market Capitalization,35059.33,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2534.32,2655.97,2524.19,2290.37,2456.99,2513.43,2318.9,1540.01,2176.97,3109.01
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,6.91,6.56,6.96,7.17,8.59,7.37,4.61,3.75,7.03,
Other Mfr. Exp,185.33,191.75,178.63,18.22,25.98,48.21,36.09,47.27,107.22,
Employee Cost,363.4,319.08,293.64,369.07,439.24,448.92,383.2,412.2,516.46,444.42
Selling and admin,237.1,233.62,216.14,114.29,121.18,95.48,48.15,70.59,102.15,
Other Expenses,275.36,395.85,645.66,363.43,285.33,512.5,1477.64,89.5,104.95,375.65
Other Income,24.78,27.8,43.43,39.37,38.38,49.44,38.72,109.34,183.75,886.39
Depreciation,34.57,39.48,48.5,49.22,50.46,74.79,56.25,49.49,61.41,59.31
Interest,1232.94,1191.6,1131.3,1117.49,1122.23,1293.82,1100.45,508.64,595.28,950.3
Profit before tax,223.49,305.83,46.79,290.85,442.36,81.78,-748.77,467.91,866.22,2165.72
Tax,36.22,92.34,34.06,53.96,138.35,54.73,-189.81,92.49,181.19,482.66
Net profit,180.67,211.38,20.45,236.89,304.01,27.05,-558.96,375.13,683.97,1682.75
Dividend Amount,15.24,18.95,18.96,18.96,21.54,,,30.6,153.59,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,507.96,383.84,408.15,455.21,498.46,576.73,693.48,738.65,762.61,915
Expenses,189.67,157.62,163.89,148.56,143.19,152.33,194.44,206.95,178.14,241.27
Other Income,7.84,44.47,59.31,58.35,52.14,22.52,39.75,828.76,11.15,6.73
Depreciation,14.23,13.7,12.31,13.93,15.82,19.35,15.49,14.74,15.15,13.93
Interest,181.44,110.44,118.73,144.08,159.29,173.18,230.02,215.51,223.71,281.06
Profit before tax,130.46,146.55,172.53,206.99,232.3,254.39,293.28,1130.21,356.76,385.47
Tax,33.99,27.65,31.61,43.87,49.86,55.84,67.29,269.98,91.62,53.77
Net profit,96.47,118.67,140.68,162.81,182.11,198.37,225.74,860.17,265.14,331.7
Operating Profit,318.29,226.22,244.26,306.65,355.27,424.4,499.04,531.7,584.47,673.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,38.09,47.37,47.39,47.41,53.86,53.9,53.92,152.98,153.59,154.11
Reserves,1616.83,2103.93,2124.74,1924.61,2690.02,2694.1,2140.38,5902.97,6707.81,8012.97
Borrowings,11623.37,11845.53,10075.31,12126.65,13133.11,12047.2,10474.88,9973.42,11209.16,15215.72
Other Liabilities,1604.2,1527.69,1374.79,795.68,912.29,444.52,543,413.34,5150.05,704.1
Total,14882.49,15524.52,13622.23,14894.35,16789.28,15239.72,13212.18,16442.71,23220.61,24086.9
Net Block,211.81,265.42,277.72,206.59,199.14,241.84,195.8,214.29,221.51,194.46
Capital Work in Progress,8.75,13.04,7.53,1.08,3.85,6.62,0.18,0.46,4.56,
Investments,413.78,399.68,546.49,140.26,141.15,150.6,177.37,,310.91,878.33
Other Assets,14248.15,14846.38,12790.49,14546.42,16445.14,14840.66,12838.83,16227.96,22683.63,23014.11
Total,14882.49,15524.52,13622.23,14894.35,16789.28,15239.72,13212.18,16442.71,23220.61,24086.9
Receivables,7.55,7.05,6.75,2.16,8.68,7.99,10.17,10.18,18.64,22.39
Inventory,,,,,,,,,,
Cash & Bank,626.83,408.38,353.31,406.7,956.85,708.28,774.69,596.97,657.43,268.54
No. of Equity Shares,190425875,236828672,236959672,237028672,269324236,269515312,269616712,764923539,767947592,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-304.75,732.81,2948.65,389.52,-923.27,998.24,1644.3,-2873.22,-5236.54,-7556.49
Cash from Investing Activity,-36.04,-254.13,-185.65,-35.62,-97.85,-280.7,81.35,-32.85,-110.45,2969.35
Cash from Financing Activity,171.36,-498.27,-2844.32,-386.99,1490.5,-1082.56,-1573.78,2902.96,5748.47,4330.67
Net Cash Flow,-169.43,-19.58,-81.32,-33.09,469.38,-365.02,151.86,-3.11,401.48,-256.47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,94.9,74.8,106.05,151.5,117.8,17,110.1,271.85,292.5,465.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,19.04,23.68,23.7,23.7,26.93,26.95,26.96,76.49,76.79,77.46
