COMPANY NAME,IDFC FIRST BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,75.85,,,,,,,,,
Market Capitalization,53677.36,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,8578.28,9098.47,12204.02,16240.32,15968.15,17172.69,22727.81,30325.11
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,30.8,32.73,99.41,193.05,129.76,129.84,153.25,
Employee Cost,,,616.16,787.84,1280.36,1797,2304.02,3102.44,4282.73,5633.66
Selling and admin,,,178.48,231.91,386.05,648.69,693.31,849.21,1168.33,
Other Expenses,,,606.8,736.52,2936.37,7121.6,5605.87,8241.35,7733.75,12895.72
Other Income,,,1019.1,1119.87,824.3,1722.41,2211.43,3172.59,4467.28,5931.73
Depreciation,,,135.93,168.21,2820.32,320.01,342.51,382.41,434.99,
Interest,,,6515.47,7125.96,8743.24,10228.27,8585.13,7465.07,10090.64,13870.3
Profit before tax,,,1513.74,1135.17,-3237.43,-2345.89,518.98,174.96,3331.4,3857.16
Tax,,,450.99,179.69,-1329.55,497.5,35.8,42.66,846.47,914.81
Net profit,,,1018.68,879.91,-1907.88,-2843.39,483.18,132.31,2484.93,2942.35
Dividend Amount,,,254.93,255.31,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,4429.16,4553.64,4921.74,5469.76,5911.89,6424.42,6868.86,7356.27,7879.5,8220.48
Expenses,2958.35,3030.63,2956.81,3303.71,3611.75,3900.78,4113.89,4377.38,4873.97,5164.14
Other Income,769.42,831.19,855.63,1061.4,1152.44,1397.81,1363.61,1409.54,1516.56,1642.02
Depreciation,,,,,,,,,,
Interest,1848.96,1884.15,2170.38,2467.3,2625.9,2827.06,3122.36,3405.61,3592.35,3749.98
Profit before tax,391.27,470.05,650.18,760.15,826.68,1094.39,996.22,982.82,929.74,948.38
Tax,101.06,117.74,165.17,192.96,210.07,278.27,264.71,235.97,197.65,216.48
Net profit,290.21,352.31,485.01,567.19,616.61,816.12,731.51,746.85,732.09,731.9
Operating Profit,1470.81,1523.01,1964.93,2166.05,2300.14,2523.64,2754.97,2978.89,3005.53,3056.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,3399.01,3404.07,4781.68,4809.9,5675.85,6217.71,6618.12,
Reserves,,,11278.32,11870.03,13417.69,10593.62,12223.87,14864.41,19229.43,
Borrowings,,,90360.02,105326.51,140336.98,122476.13,134322.33,158502.23,201681.59,
Other Liabilities,,,7026.96,5781.38,8562.58,11278.9,10849.47,10561.39,12352.91,
Total,,,112064.31,126381.99,167098.93,149158.55,163071.52,190145.74,239882.05,
Net Block,,,932.62,796.87,939.93,998.77,1370.33,1447.6,2054.16,
Capital Work in Progress,,,5.92,3.39,34.11,74.46,65.27,79.41,218.58,
Investments,,,50164.11,60904.42,58245.23,45174.42,45181.59,45934.56,60913.28,
Other Assets,,,60961.66,64677.31,107879.66,102910.9,116454.33,142684.17,176696.03,
Total,,,112064.31,126381.99,167098.93,149158.55,163071.52,190145.74,239882.05,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,,,5140.13,4876.82,9526.15,4162.84,5773.12,15702.37,13778.68,
No. of Equity Shares,,,3399006184,3404074905,4781676412,4809903016,5675849855,6217708310,6618121816,
New Bonus Shares,,,,,,,,,,
Face value,,,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,14128.15,-5977.82,17363.78,10965.54,14041.71,2679.13,3563,11542.89
Cash from Investing Activity,,,-4917.9,-1027.28,-494.12,-3790.19,-2833.25,-2960.47,-11995.74,-9886.7
Cash from Financing Activity,,,-6974.02,6741.79,-12220.31,-12538.66,-9598.18,10210.59,6509.04,-2953.71
Net Cash Flow,,,2236.22,-263.31,4649.34,-5363.31,1610.28,9929.25,-1923.69,-1297.52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,59.3,47.35,55.5,21.1,55.7,39.7,55.05,75.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,339.9,340.41,478.17,480.99,567.58,621.77,661.81,706.99
