COMPANY NAME,APOLLO TYRES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,478.3,,,,,,,,,
Market Capitalization,30367.38,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,13411.98,12815.43,11848.56,13180.04,14842.85,17548.84,16350.2,17397,20947.58,24568.13
Raw Material Cost,7803.21,7012.06,5959.97,7125.7,8542.95,10608.65,8883.94,9074.64,13161.46,14940.23
Change in Inventory,31.14,-63.36,5.18,235.64,147.45,470.39,-191.65,-319.87,775.96,303.18
Power and Fuel,378.52,351.35,329,326.72,379.16,488.86,428.25,469.3,632.58,778.95
Other Mfr. Exp,512.22,483.89,407.99,511.8,588.37,510.35,503.66,496.56,589.37,632.5
Employee Cost,1584.63,1616.38,1576.59,1933.72,2163.92,2436.61,2487.01,2518.45,2578.45,2625.35
Selling and admin,1128.63,1256.3,1452.01,1716.88,1761.33,1805.6,1629.55,1428.83,1930.62,2272.96
Other Expenses,148.22,93,119.89,-66.13,-113.47,192.97,268.09,271.75,236.22,288.28
Other Income,48.1,-31.08,110.19,147.99,114.21,-76.76,23.68,-478.34,117.67,63.91
Depreciation,410.85,388.29,426.79,461.81,592.55,812.67,1138.12,1314.95,1399.67,1419.14
Interest,293.01,188.89,101.04,117.62,177.36,198.63,300.17,463.09,465.16,550.62
Profit before tax,1231.93,1330.83,1590.65,1435.55,1012.34,888.13,543.44,561.22,847.68,1427.19
Tax,226.87,353.22,467.69,336.55,288.45,208.29,67.05,211.01,209.08,322.55
Net profit,1005.06,977.61,1122.96,1099,723.88,679.84,476.4,350.21,638.6,1104.64
Dividend Amount,37.81,101.82,101.8,152.7,171.63,185.93,171.63,222.28,206.41,285.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,5077.32,5707.47,5578.32,5942,5956.05,6422.75,6247.33,6244.58,6279.57,6595.37
Expenses,4439.31,4964.52,4952.02,5252.18,5244.03,5509.38,5248.87,5193.13,5119.75,5387.28
Other Income,24.54,16.5,37.18,10.63,6.95,6.76,39.56,22.39,13.26,3.35
Depreciation,339.68,344.29,375.34,343.74,348.53,354.44,372.43,361.97,360.27,367.62
Interest,103.61,108.29,127.95,118.25,132,141.96,139.03,135.46,132.8,123.04
Profit before tax,219.26,306.87,160.19,238.46,238.44,423.73,526.56,576.41,680.01,720.78
Tax,45.45,83.32,46.74,47.78,59.05,131.63,99.16,179.49,205.76,224.16
Net profit,173.82,223.54,113.45,190.68,179.39,292.11,427.4,396.91,474.25,496.63
Operating Profit,638.01,742.95,626.3,689.82,712.02,913.37,998.46,1051.45,1159.82,1208.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,50.41,50.91,50.9,50.9,57.21,57.21,57.21,63.51,63.51,63.51
Reserves,4513.44,4991.39,6553.71,7239.05,9719.47,9982.61,9872.81,11379.62,11688.62,12814.27
Borrowings,1613.44,1106.22,1546.67,3436.55,4661.15,5110.76,6763.89,7333.51,7060.91,6420.53
Other Liabilities,2856.59,2451.26,3442.33,4506.7,5619.84,5000.31,6511.57,7039.78,8228.24,7989
Total,9033.88,8599.78,11593.61,15233.2,20057.67,20150.89,23205.48,25816.42,27041.28,27287.31
Net Block,4593.31,4382.05,5213.61,6691.5,10403.08,11754.02,15448.4,16419.57,17591.32,17652.94
Capital Work in Progress,46.48,218.21,993.64,2915.09,2304.07,1539.3,1641.98,1106.51,618.23,252.56
Investments,63.72,100.72,505.95,396.19,1342.5,6.02,19.42,109.61,481.26,435.77
Other Assets,4330.37,3898.8,4880.41,5230.42,6008.02,6851.55,6095.68,8180.73,8350.47,8946.04
Total,9033.88,8599.78,11593.61,15233.2,20057.67,20150.89,23205.48,25816.42,27041.28,27287.31
Receivables,1042.67,958.94,1084.35,1127.5,1435.03,1314.36,939.88,1380.82,2051.29,2488.53
Inventory,2066.42,1778.21,1939.09,2645.53,2945.35,3484.09,3206.92,3318.53,4155.39,4428.46
Cash & Bank,654.05,594.59,594.2,336.92,599.19,562.65,749.6,2145.79,1080.66,846.23
No. of Equity Shares,504038340,509094770,509024770,509024770,572049980,572049980,572049980,635100946,635100946,635100946
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1645.46,1411.97,2122.5,902.27,1719.67,1071.12,2517.36,2446.87,2153.56,2134.39
Cash from Investing Activity,-118.68,-796.19,-2225.94,-3367.71,-3890.83,-1027.32,-2817.32,-2341.98,-1172.16,-476.14
Cash from Financing Activity,-1207.51,-683.59,-254.66,1894.63,2320.88,-62.21,472.47,152.15,-1081.4,-1691.82
