COMPANY NAME,LLOYDS METALS & ENERGY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,663.75,,,,,,,,,
Market Capitalization,33496.66,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,638.91,376.87,368.94,402.62,472.82,370.15,251.35,691.65,3353.1,6521.65
Raw Material Cost,605.18,340.84,303.9,334.06,387.39,297.65,217.43,373.27,504.35,906.85
Change in Inventory,-9.14,24.44,7.74,6.99,3.16,9.77,14.45,60.4,-35.78,14.89
Power and Fuel,9.17,8.46,10.1,1.58,2.62,2.46,2.25,3.64,5.48,
Other Mfr. Exp,13.12,3.47,16.24,19.82,22.3,16.86,10.17,126.51,1117.94,
Employee Cost,15.78,13.43,15.36,16.11,21.75,22.73,14.71,18.39,54.29,117.76
Selling and admin,12.84,17.33,12.07,16.13,26.64,18,10.61,85.34,848.02,
Other Expenses,0.01,4.58,4.21,5.47,-0.56,1.09,-0.24,-0.73,-26.72,3783.62
Other Income,22.38,7.87,13.91,24.68,30.76,25.62,19.9,-21.71,-1123.6,52.92
Depreciation,10.67,10.65,12.97,13.68,15.08,17.55,13.83,17.98,23,48.88
Interest,6.2,9.7,10.16,10.41,10.89,16.1,16.82,18.14,65.04,5.64
Profit before tax,-20.82,0.72,5.58,17.03,20.63,13.1,0.12,87.8,-397.68,1726.71
Tax,,,,,,-18.73,,-9.5,-109.14,483.56
Net profit,-20.82,0.72,5.57,17.03,20.63,31.83,0.13,97.3,-288.54,1243.15
Dividend Amount,,,,,,,,18.52,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,168.27,333.21,842.68,673.76,999.62,876.25,1965.52,1091.31,1910.53,1554.29
Expenses,136.19,221.07,580.81,516.84,772.66,711.7,1429.65,804.99,1462.84,1095.87
Other Income,-48.28,10.4,-1181.79,12.6,29.78,19.46,11.86,19.92,13.08,8.06
Depreciation,4.57,4.34,5.02,5.46,5.69,6.83,7.57,10.2,14.65,16.46
Interest,5.42,4.34,5.39,21.35,21.02,17.28,0.51,0.99,1.86,2.28
Profit before tax,-26.19,113.86,-930.33,142.71,230.03,159.9,539.65,295.05,444.26,447.74
Tax,,-9.51,,,,-109.14,136.4,63.79,112.69,170.68
Net profit,-26.19,123.37,-930.33,142.71,230.03,269.04,403.25,231.26,331.57,277.06
Operating Profit,32.08,112.14,261.87,156.92,226.96,164.55,535.87,286.32,447.69,458.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,22.43,22.43,22.43,22.43,22.43,22.69,25.35,37.04,50.48,50.53
Reserves,38.82,39.54,45.19,62,85.82,121.72,141.14,444.54,1478.42,2760.41
Borrowings,23.1,12.19,26.03,29.51,92.51,123.67,154.95,96.06,4.37,32.2
Other Liabilities,345.18,389.1,409.04,442.18,390.13,374.03,398.81,246.09,492.53,1093.23
Total,429.53,463.26,502.69,556.12,590.89,642.11,720.25,823.73,2025.8,3936.37
Net Block,271.02,292.66,319.89,348.24,358.18,373.93,361.67,399.66,532.37,1233.77
Capital Work in Progress,5.4,7.26,8.46,22.99,36.2,42.37,84.71,85.88,373.1,1268.15
Investments,0.08,0.13,0.13,0.13,0.13,0.13,0.14,0.14,36.93,29.27
Other Assets,153.03,163.21,174.21,184.76,196.38,225.68,273.73,338.05,1083.4,1405.18
Total,429.53,463.26,502.69,556.12,590.89,642.11,720.25,823.73,2025.8,3936.37
Receivables,22.43,21.72,10.95,15.54,23.1,7.89,6.91,23.74,24.51,79.91
Inventory,30.71,56.54,68.14,67.86,73.64,84.12,115.71,166.84,269.75,231.09
Cash & Bank,10.16,7.47,8.16,7.13,8.45,18.6,8.04,21.87,264.54,286.95
No. of Equity Shares,111689165,111689165,222980455,222980455,222980455,225576275,252147875,369117095,504800000,
New Bonus Shares,,,,,,,,,,
Face value,2,2,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,18.84,45.88,-5.54,30.2,-38.26,51.57,-14.94,-78.21,-516.43,1700.92
Cash from Investing Activity,-6.44,-33.51,-40.72,-54.58,-37.88,-34.25,-62.18,-57.35,-612.27,-1725.49
Cash from Financing Activity,-12.1,-15.06,45.96,24.5,75.97,-5.69,65.7,148.89,1142.53,-0.58
Net Cash Flow,0.3,-2.69,-0.29,0.12,-0.16,11.63,-11.42,13.33,13.83,-25.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,3.2,10.1,15.3,15.3,12.46,5.76,11,132.65,284.7,602
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,22.26,22.26,22.26,22.26,22.26,22.52,25.17,36.87,50.48,50.53
