COMPANY NAME,PATANJALI FOODS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1353.4,,,,,,,,,
Market Capitalization,49224.45,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,24381.02,28307.96,27692.39,18526.9,11994.13,12729.23,13117.79,16318.63,24205.38,31524.66
Raw Material Cost,21654.79,25781.95,25285.92,15773.27,10172.91,10864.59,11198.73,14052.65,20864.12,27446.62
Change in Inventory,-231.56,-148.14,-299.88,-240.7,-5.64,-78.8,76.01,347.63,325.42,299.22
Power and Fuel,235.95,255.83,217.41,146.59,173.8,200.42,195.44,170.81,232.6,324.74
Other Mfr. Exp,331.15,318.14,291.04,706.2,663.96,694.65,693.08,725.54,1037.88,1396.91
Employee Cost,176.92,201.49,210.39,186.67,157.41,151.19,152.75,139.97,186.6,278.61
Selling and admin,746.55,812.76,880.86,631.28,508.19,456.45,430.47,416.06,618.47,856.7
Other Expenses,442.98,207.56,428.17,1517.32,5359.63,156.63,117.66,204.66,100.53,226.78
Other Income,230.39,168.58,114.06,138.39,34.12,95.87,7500.78,63.67,79.01,289.81
Depreciation,164.49,148.01,160.22,156.06,140.37,138.24,135.77,133.25,136.73,159.63
Interest,577.31,522.04,1296.66,937.64,856.59,7.41,112.65,372.59,358.5,244.74
Profit before tax,49.71,80.62,-1264.1,-1630.44,-6010.25,76.72,7658.03,514.4,1074.38,1178.96
Tax,36.3,19.7,-202.53,-373.23,-436.96,,-14,-166.37,268.07,292.52
Net profit,13.42,60.93,-1061.58,-1257.2,-5573.28,76.72,7672.02,680.77,806.31,886.44
Dividend Amount,5.34,5.34,,,,,,,147.88,217.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,5995.03,6280.46,6663.72,7210.97,8514.12,7926.64,7872.92,7767.1,7821.89,7910.7
Expenses,5665.32,5860.3,6257.64,6819.28,8319.52,7558.6,7546.61,7598.51,7426.59,7566.67
Other Income,15.96,20.74,12.47,159.11,10.55,37.11,90.03,43.4,23.9,46.6
Depreciation,33.68,33.14,37.21,32.75,40.8,42.75,43.33,67.66,60.1,59.7
Interest,91.52,88.15,85.65,185.58,10.72,18.94,23.62,24.82,24.02,25.15
Profit before tax,220.47,319.61,295.69,332.47,153.63,343.46,349.39,119.51,335.08,305.78
Tax,56.2,85.53,61.26,91.21,41.34,74.28,85.68,31.75,80.54,89.25
Net profit,164.27,234.07,234.43,241.26,112.29,269.19,263.71,87.75,254.54,216.54
Operating Profit,329.71,420.16,406.08,391.69,194.6,368.04,326.31,168.59,395.3,344.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,66.81,66.81,65.29,65.29,65.29,65.29,59.15,59.15,59.15,72.38
Reserves,2269.64,2138.81,2408.11,958.41,-4613.89,-4543.49,3311.75,4003.26,6111.68,9774.18
Borrowings,2933.04,3643.59,5251.93,5206.37,7225.9,7913.88,3466.73,3497.8,3517.72,1376.27
Other Liabilities,7040.88,8014.14,8726.81,7025.85,5043.27,4501.18,1029.98,1448.61,1791.65,2020.75
Total,12310.37,13863.35,16452.14,13255.92,7720.57,7936.86,7867.61,9008.82,11480.2,13243.58
Net Block,2496.16,2380.53,5636.81,5502.09,5358.02,5223.97,5070,4954.45,4900.42,5148.1
Capital Work in Progress,143.36,100.17,42.02,29.16,28.12,26.91,25.2,26.83,27.97,79.59
Investments,334.39,282.3,145.71,88.87,50.51,31.3,20.19,30.39,41.71,37.54
Other Assets,9336.46,11100.35,10627.6,7635.8,2283.92,2654.68,2752.22,3997.15,6510.1,7978.35
Total,12310.37,13863.35,16452.14,13255.92,7720.57,7936.86,7867.61,9008.82,11480.2,13243.58
Receivables,4566.58,5981.17,6376.82,5075.28,249.61,262.24,273.99,438.42,796.22,1597.64
Inventory,3445.68,3059.46,2358.15,1238.86,1191.06,1260.85,1354.61,2363.36,2905.33,4069.98
Cash & Bank,378.96,524.03,141.03,143.56,176.43,430.04,455.26,386.69,2016.29,1140.52
No. of Equity Shares,334046422,334060422,334100722,334100722,334100722,334100722,295841007,295841007,295841007,361994853
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,3451.19,-507.92,-90.34,577.04,881.5,239.79,-60.88,240.88,724.21,-339.34
Cash from Investing Activity,19.44,23.07,25.36,105.99,-70.32,-111.79,-25.77,-41.57,-1562.45,526.12
Cash from Financing Activity,-3421.31,452.95,77.23,-671.12,-855.73,-6.99,82.42,-306.84,1166.92,241.36
Net Cash Flow,49.32,-31.91,12.25,11.91,-44.55,121.01,-4.22,-107.53,328.69,428.14
,,,,,,,,,,
