COMPANY NAME,3M INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,28834.65,,,,,,,,,
Market Capitalization,32472.17,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1742.34,1840.3,2139.6,2362.98,2556.14,2808.76,2764.88,2420.36,3078.3,3733.44
Raw Material Cost,1068.57,1101.08,1212.23,1326.63,1351.34,1500.57,1620.14,1473.56,1922.78,2378.91
Change in Inventory,5.06,31.87,10.42,8.72,19.99,13.88,8.22,-20.87,8.53,39.14
Power and Fuel,12.22,11.76,13.51,13.06,15.09,16.79,16.04,12.59,14,20.4
Other Mfr. Exp,46.62,47.46,17.45,17.74,19.47,20.43,18.49,19.19,20.35,19.37
Employee Cost,247.65,246.23,250.46,280.11,324.08,301.15,297.92,337.41,350.25,366.37
Selling and admin,207.23,220.74,264.16,326.72,333.69,402.7,326.37,266.49,332.53,352.63
Other Expenses,53.05,40.8,55.55,38.6,52.56,73.39,154.31,52.57,65.03,75.11
Other Income,19.36,14.09,17.62,49.4,43.53,32.82,41.56,26.87,34.72,64.22
Depreciation,47.6,49.6,48.93,46.75,41.8,41.88,57.38,59.68,53.28,56.12
Interest,14.75,4.02,2.25,2.27,1.94,1.09,3.61,2.43,3.64,7.1
Profit before tax,69.07,164.57,303.1,369.22,479.69,497.46,320.4,202.44,359.69,560.79
Tax,26.08,56.22,108.34,128.47,169.15,174.47,101.43,53.14,93.52,144.66
Net profit,42.99,108.34,194.76,240.76,310.54,322.99,218.97,149.3,266.18,416.14
Dividend Amount,,,,,,,,,,957.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,776.89,763.69,849.18,889.77,924.98,932.22,986.47,976.85,975.42,941.77
Expenses,684.21,664.84,699.73,778.61,810.35,777.74,806.96,818.53,797.3,775.04
Other Income,8.33,6.06,8.75,10.97,34.02,11.19,8.04,12.84,14.73,13.91
Depreciation,12.84,13.22,12.94,13.88,14.25,13.88,14.1,13.66,12.61,12.85
Interest,0.69,0.49,1.88,0.53,0.38,0.56,5.63,0.96,0.74,0.76
Profit before tax,87.48,91.2,143.38,107.72,134.02,151.23,167.82,156.54,179.5,167.03
Tax,22.59,23.46,37.8,27.47,34.17,38.46,44.55,39.87,45.7,42.46
Net profit,64.88,67.74,105.59,80.25,99.86,112.77,123.27,116.67,133.8,124.57
Operating Profit,92.68,98.85,149.45,111.16,114.63,154.48,179.51,158.32,178.12,166.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27
Reserves,688.16,796.45,976.81,1215.13,1525.4,1848.27,2063.5,2210.24,2477.52,1936.57
Borrowings,120.94,14.31,11.16,9.78,9.46,13.5,41.77,22.88,24.44,26.73
Other Liabilities,267.37,306.07,429.56,695.35,589.22,620.64,536.7,672.24,744.15,939.85
Total,1087.74,1128.1,1428.8,1931.53,2135.35,2493.68,2653.24,2916.63,3257.38,2914.42
Net Block,418.28,387.75,349.22,315.16,285.22,269.48,286.65,248.23,290.79,322.42
Capital Work in Progress,7.02,1.3,1.21,2.43,5.75,10.19,6.64,23.5,22.6,24.57
Investments,,,,,,584.7,504.8,504.8,504.8,504.8
Other Assets,662.44,739.05,1078.37,1613.94,1844.38,1629.31,1855.15,2140.1,2439.19,2062.63
Total,1087.74,1128.1,1428.8,1931.53,2135.35,2493.68,2653.24,2916.63,3257.38,2914.42
Receivables,265.18,249.12,317.15,407.92,529.64,546.14,506.59,460.51,488.58,595.1
Inventory,258.24,295.57,292.38,331.78,347.29,379.18,411.04,430.27,453.48,567.6
Cash & Bank,59.7,113.91,370.88,744.16,789.31,470.39,665.77,937.15,1206.54,634.43
No. of Equity Shares,11265070,11265070,11265070,11265070,11265070,11265070,11265070,11265070,11265070,11265070
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,120.38,177.37,260.9,364.93,29.42,267.32,218.33,312.05,333.65,424.65
Cash from Investing Activity,-47.22,-4.31,1.39,12.01,17.99,-589.83,1.42,-15.9,-43.2,-19.68
Cash from Financing Activity,-73.05,-118.85,-5.33,-3.65,-2.26,3.59,-24.37,-24.77,-21.06,-979.52
Net Cash Flow,0.11,54.21,256.97,373.28,45.15,-318.92,195.38,271.39,269.39,-574.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,3527.55,7935.3,10724.95,11567.55,19412.85,24260.85,18827.95,30436.65,19697.3,22963.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
