COMPANY NAME,RATTANINDIA ENTERPRISES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,70.05,,,,,,,,,
Market Capitalization,9689.5,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2012-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,,0.1,13.99,4123.79
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,38.37,1021.85
Power and Fuel,,,,,,,,,,94.24
Other Mfr. Exp,,0.09,,,,,,,48.02,4369.6
Employee Cost,,32.62,5.01,4.81,1.39,0.75,0.09,0.99,6.44,73.86
Selling and admin,,9.08,1.26,0.57,0.55,0.5,0.44,0.77,6.33,551.86
Other Expenses,,0.48,0.01,272.66,661.29,1307.4,152.68,0.01,13.41,15.64
Other Income,,167.82,-155.07,0.22,0.04,0.49,1.57,1.72,579,-254.64
Depreciation,,1.19,,,,,,,1.27,9.88
Interest,,4.39,,,,0.04,1.4,0.04,1.82,49.26
Profit before tax,,119.97,-161.35,-277.82,-663.19,-1308.2,-153.04,0.01,554.07,-273.34
Tax,,36.08,-0.09,-0.05,,,,,0.2,12.75
Net profit,,42.59,-161.26,-277.77,-663.19,-1308.2,-153.04,0.01,553.86,-284.57
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,0.54,0.67,11.79,689.47,1175.76,1152.8,1105.77,1267.6,1394.24,1653.5
Expenses,5.05,6.14,22.68,901.32,1165.35,1166.56,1220.31,1266.1,1392.76,1630.11
Other Income,0.03,0.03,578.72,2.78,105.5,4.1,3.12,204.72,173.84,227.04
Depreciation,,0.1,1.15,1.68,2.21,2.19,3.81,3.89,4.34,5.05
Interest,,0.03,1.79,4.07,7.96,15.85,21.38,23.64,28.75,32.46
Profit before tax,-4.48,-5.57,564.89,-214.82,105.74,-27.7,-136.61,178.69,142.23,212.92
Tax,,-0.05,0.2,1.47,2.93,6.93,1.42,0.56,1.75,25.58
Net profit,-4.48,-5.52,564.68,-216.04,103.48,-34.25,-137.8,178.78,140.89,187.78
Operating Profit,-4.51,-5.47,-10.89,-211.85,10.41,-13.76,-114.54,1.5,1.48,23.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2012-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,254.59,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45
Reserves,,2238.07,2221.24,1944.03,1271.82,-38.81,-191.85,-191.89,422.34,133.16
Borrowings,,1962.78,,,,,,,158.92,972.54
Other Liabilities,,6614.95,1.56,0.63,0.57,0.22,0.14,0.63,50.76,803.82
Total,,11070.39,2499.25,2221.11,1548.84,237.86,84.74,85.19,908.47,2185.97
Net Block,,204.8,0.06,0.06,0.05,0.05,0.05,0.05,40.31,269.14
Capital Work in Progress,,7034.59,,,,,,,,5.9
Investments,,243.75,2405.42,2132.93,1463.03,152.66,,84.35,811.86,315.22
Other Assets,,3587.25,93.77,88.12,85.76,85.15,84.69,0.79,56.3,1595.71
Total,,11070.39,2499.25,2221.11,1548.84,237.86,84.74,85.19,908.47,2185.97
Receivables,,,,,,,,,1.83,48.4
Inventory,,,,,,,,,38.38,1071.66
Cash & Bank,,417.77,1.8,0.28,0.07,15.33,15.6,0.04,1.93,134.62
No. of Equity Shares,,1272956680,1382269592,1382269592,1382269592,1382269592,1382269592,1382269592,1382269592,1382269592
New Bonus Shares,,,,,,,,,,
Face value,,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2012-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,-57.72,-96.33,-1.55,0.19,14.5,-16.96,67.09,-13.51,-679.13
Cash from Investing Activity,,-741.78,6.76,0.02,-0.39,-14.56,18.23,-67.1,-102.08,-20.65
Cash from Financing Activity,,957.37,31.79,,,,-1.23,,117.36,730.11
Net Cash Flow,,157.87,-57.78,-1.53,-0.2,-0.06,0.04,-0.01,1.76,30.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,3.5,3.9,5.55,2.7,2.05,5.1,46.15,35.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,127.3,138.23,138.23,138.23,138.23,138.23,138.23,138.23,138.23
