COMPANY NAME,H.G. INFRA ENGINEERING LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1141.8,,,,,,,,,
Market Capitalization,7434.97,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,740.88,1056.03,1392.73,2014.5,2217.07,2609.72,3751.43,4622.01,5378.48
Raw Material Cost,,283.09,408.87,546.24,,892.64,1185.65,1791.91,2143.5,2263.29
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,1.01,1.73,0.99,2.2,5.56,6.95,
Other Mfr. Exp,,334.03,472.26,549.05,1560.11,818.06,799.31,1080.16,1313.39,
Employee Cost,,29.96,40.79,76.14,119.42,112.27,110.79,129.88,198.18,289.07
Selling and admin,,2.84,4.73,9.71,17.37,16.62,18.33,23.51,32.92,
Other Expenses,,12.8,4.94,2.51,11.29,23.79,9.03,9.22,31.7,1764.33
Other Income,,2.37,3.42,4.67,14.31,13.65,6.18,6.23,19.36,36.15
Depreciation,,18.34,25.6,53.92,75.45,75.64,84.43,85.1,96.38,141.17
Interest,,15.99,18.88,40.06,49.03,59.77,94.16,117.7,153.77,216.85
Profit before tax,,46.2,83.38,118.76,194.41,230.94,312,514.62,664.58,739.92
Tax,,16.02,29.96,34.49,67.06,64.33,75.34,134.59,171.39,201.33
Net profit,,30.18,53.42,84.26,127.34,166.61,236.65,380.04,493.19,538.59
Dividend Amount,,,,3.26,3.26,,5.21,6.52,8.15,9.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,958.32,1064.69,1105.9,795.7,1184.97,1535.43,1351.16,954.53,1364.53,1708.26
Expenses,773.24,872.19,906.89,634.63,946.67,1238.46,1070.43,734.36,1136.23,1375.7
Other Income,1.94,2.57,3.52,4.34,4.23,7.27,5.58,3.14,21.73,5.73
Depreciation,21.65,21.86,20.15,24.12,26.02,26.1,31.06,35.4,36.72,38
Interest,29.64,34.46,33.93,33.49,39.5,46.84,52.31,58.78,57.4,48.36
Profit before tax,135.73,138.75,148.45,107.8,177.01,231.3,202.94,129.13,155.91,251.93
Tax,35.16,34.8,39.02,25.87,46.13,60.38,52.56,33.01,53.87,61.9
Net profit,100.56,103.95,109.45,81.93,130.89,170.93,150.39,96.12,102.05,190.03
Operating Profit,185.08,192.5,199.01,161.07,238.3,296.97,280.73,220.17,228.3,332.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,18.02,18.02,65.17,65.17,65.17,65.17,65.17,65.17,65.17
Reserves,,104.53,158.12,475.69,597.81,761.1,997.4,1370.8,1856.7,2389.86
Borrowings,,122.72,203.66,408.41,380.38,520.13,767.67,1184.47,1910.21,1513.16
Other Liabilities,,152.99,192.35,535.16,529.26,869.17,850.02,659.93,1073.61,1466.19
Total,,398.26,572.15,1484.43,1572.62,2215.57,2680.26,3280.37,4905.69,5434.38
Net Block,,116.17,204.38,411.9,462.17,482.69,483.62,459.47,634.83,742.02
Capital Work in Progress,,4.83,0.69,8.57,,11.14,1.81,2.15,71.95,13.68
Investments,,,,,2.85,,,,10.13,10.49
Other Assets,,277.26,367.08,1063.96,1107.6,1721.74,2194.83,2818.75,4188.78,4668.19
Total,,398.26,572.15,1484.43,1572.62,2215.57,2680.26,3280.37,4905.69,5434.38
Receivables,,92.66,180.92,429.43,614.57,684.91,581.74,635.4,728.15,672.92
Inventory,,43.53,49.2,106.75,116.1,105.53,168.01,183.55,235.33,296.7
Cash & Bank,,4.35,48.26,228.93,100.24,115.03,262.61,164.5,270.46,207.21
No. of Equity Shares,,18020000,18020000,65171110,65171110,65171110,65171110,65171111,65171111,
New Bonus Shares,,,,,,,,,,
Face value,,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,64.39,-7.78,65.57,35.7,70.55,-321.8,-139.32,
Cash from Investing Activity,,,-113.73,-446.2,9.33,-85.36,-102.58,-65.64,-377.98,
Cash from Financing Activity,,,62.01,443.36,-78.2,71.12,151.59,292.53,561.54,
Net Cash Flow,,,12.68,-10.61,-3.3,21.46,119.57,-94.91,44.24,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,300.5,283.15,173.55,298.1,557.95,782.7,908.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,1.8,1.8,6.52,6.52,6.52,6.52,6.52,6.52,6.52
