COMPANY NAME,NEWGEN SOFTWARE TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,945.8,,,,,,,,,
Market Capitalization,13251.49,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,278.52,312.81,383.11,459.52,552.04,577.4,610.39,710.79,887.8,1136.12
Raw Material Cost,0.17,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,2.63,3.14,3.08,3.3,3.54,4.19,3.56,3.11,4.05,
Other Mfr. Exp,2.83,4.73,11.22,14.11,27.49,37.87,59.36,71.56,111.44,
Employee Cost,130.58,163.47,186.33,222.86,248.73,292.72,279.26,348.9,427.19,539.31
Selling and admin,82.94,95.11,96.02,113.91,134.32,128.28,62.74,84.52,123.85,
Other Expenses,6.66,8.01,21.4,11.07,18.77,20.69,25.94,21.32,24.2,328
Other Income,8.82,2.91,8.27,7.55,20.14,20.71,14.03,29.68,33.14,45.5
Depreciation,4.3,4.32,4.82,5.68,5.8,18.08,18.51,15.32,19.17,25.85
Interest,2.14,3.43,5.26,5.21,8.41,10.7,5.35,3.18,3.87,4.11
Profit before tax,55.09,33.51,63.25,90.93,125.12,85.58,169.7,192.56,207.17,284.35
Tax,12.29,5.86,15.33,20.31,29.29,19.67,52.1,36.56,37.28,47.02
Net profit,42.8,27.65,47.92,70.63,95.83,65.91,117.59,155.99,169.89,237.34
Dividend Amount,6.6,8.1,9.35,13.58,20.54,13.82,24.26,31.29,34.83,55.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,186.2,210.57,167.7,201.76,234.9,283.44,223.6,263.96,298.88,349.68
Expenses,131.2,146.91,150.12,168.98,178.97,191.47,195.97,212.07,227.18,231.81
Other Income,6.94,5.68,9.64,7.05,9.22,7.05,11.89,8.41,11.48,13.72
Depreciation,3.87,3.92,4.31,5.6,5.64,6.25,6.3,6.32,6.37,6.86
Interest,0.63,1.43,0.77,1.08,0.99,1.06,1.11,0.8,1.29,1.18
Profit before tax,57.44,63.99,22.14,33.15,58.52,91.71,32.11,53.18,75.52,123.55
Tax,11.73,7.86,3.29,6.19,12.74,14.54,4.92,9.54,10.24,22.32
Net profit,45.71,56.14,18.84,26.97,45.79,77.17,27.18,43.64,65.29,101.23
Operating Profit,55,63.66,17.58,32.78,55.93,91.97,27.63,51.89,71.7,117.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,52.77,52.8,62.31,67.88,68.46,69.09,69.31,69.54,69.66,139.78
Reserves,148.39,164.77,185.38,331.83,415.52,457.84,564.18,699.41,850.82,1007.8
Borrowings,44.58,58.83,68.44,62.63,67.73,108,15.67,23.44,36.58,41.69
Other Liabilities,72.49,102.76,98.27,125.13,157.48,170.92,193.81,215.12,259.01,323.85
Total,318.23,379.16,414.4,587.47,709.19,805.85,842.97,1007.51,1216.07,1513.12
Net Block,22.41,56.32,61.15,67.54,68.07,126.67,199.86,205.97,222.17,240.69
Capital Work in Progress,4.76,6.05,11.08,16.59,83.21,90.73,,,,2.8
Investments,67.37,52.1,57.74,59.4,60.88,90.28,97.38,120.24,168.37,393.57
Other Assets,223.69,264.69,284.43,443.94,497.03,498.17,545.73,681.3,825.53,876.06
Total,318.23,379.16,414.4,587.47,709.19,805.85,842.97,1007.51,1216.07,1513.12
Receivables,172.92,194.38,185.88,203.93,236.85,238.13,175.41,188.64,312.11,315.36
Inventory,,,,,,,,,,
Cash & Bank,15.4,20.1,28.19,135.21,154.95,122.75,198.73,226.16,143.56,250.14
No. of Equity Shares,52768920,52799872,62313000,67884100,69585701,69955701,69306005,69540191,69655676,
New Bonus Shares,43974100,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,11.03,10.86,33.4,57.09,88.69,77.78,214.89,136.94,92.94,263.87
Cash from Investing Activity,-9.15,-5.66,-5.29,-17.57,-85.22,-108.39,-142.96,-81.57,-58.32,-215.85
Cash from Financing Activity,-5.46,-0.5,-20.76,67.5,-5.12,-45.36,-100.83,-30.27,-42.15,-45.33
Net Cash Flow,-3.58,4.7,7.35,107.02,-1.65,-75.97,-28.89,25.1,-7.53,2.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,115.9,164.33,52.98,141.53,232.83,225.35,795.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,10.8,10.8,12.86,13.85,13.92,13.99,14,14,14,14.03
