COMPANY NAME,CREDITACCESS GRAMEEN LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1420.3,,,,,,,,,
Market Capitalization,22648.99,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,278.18,464.46,708.18,870.58,1282.26,1683.49,2027.79,2668.6,3487.03,5166.67
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.42,0.71,1.04,1.43,1.96,2.81,2.99,4.23,5.43,
Other Mfr. Exp,1.36,2.73,3.81,4.42,4.79,8.15,10.16,21.36,24.25,
Employee Cost,43.7,70.79,104.88,130.68,187.11,260.22,300.39,438.98,517.34,669.43
Selling and admin,19.65,30.21,40.41,51.87,80.37,112.95,93.06,153.33,207.09,
Other Expenses,10.41,21.88,113.85,-4.65,86.34,254.88,662.15,616.71,425.3,780.45
Other Income,3.25,2.26,1.08,0.95,1.06,0.87,3.35,81.46,63.73,5.98
Depreciation,1.92,2.61,4.43,5.17,7.79,19.64,23.43,47.23,49.84,51.15
Interest,129.05,208.25,316.54,354.39,417.22,574.82,744.67,987.42,1216.12,1732.44
Profit before tax,74.92,129.54,124.3,328.22,497.74,450.89,194.29,480.8,1105.39,1939.18
Tax,26.19,46.31,44,115.74,175.98,123.39,51.9,127.72,279.36,493.25
Net profit,48.73,83.24,80.3,212.48,321.76,327.5,142.39,353.08,826.03,1445.93
Dividend Amount,,,,,,,,,,159.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,575.71,693.66,620.76,812.22,907.89,1065.41,1170.03,1246.94,1292.2,1457.49
Expenses,206.02,267,209.44,299.25,292.87,310.56,308.54,342.5,365.02,433.83
Other Income,0.97,0.21,0.5,2.09,1.82,0.81,0.69,0.65,3.03,1.61
Depreciation,6.31,7.34,6.84,12.82,12.61,12.49,12.06,12.28,13.06,13.75
Interest,192.5,216.54,225.64,273.23,314.21,345.64,384.92,423.87,441.5,482.15
Profit before tax,171.85,202.99,179.34,229.01,290.02,397.53,465.2,468.94,475.65,529.37
Tax,42.64,51.62,46.76,53.86,74.26,100.98,118.91,119.73,122.23,132.38
Net profit,129.21,151.37,132.58,175.15,215.76,296.55,346.29,349.21,353.42,396.99
Operating Profit,369.69,426.66,411.32,512.97,615.02,754.85,861.49,904.44,927.18,1023.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,72.95,72.95,85.68,128.43,143.55,143.99,155.58,155.87,158.91,159.38
Reserves,303.44,386.92,605.12,1309.05,2221.51,2525.09,3479.23,4011.04,4948.03,6410.57
Borrowings,1290.53,2233.32,2668.24,3623.46,4866.57,7822.56,8780.72,12920.69,16312.26,21841.01
Other Liabilities,59.89,114.78,205.03,52.63,125.51,170.02,281.26,394.12,438.86,435.05
Total,1726.81,2807.97,3564.07,5113.57,7357.14,10661.66,12696.79,17481.72,21858.06,28846.01
Net Block,3.72,11.34,12.26,16.16,24.75,86.62,100.76,628.87,599.01,613.6
Capital Work in Progress,2.49,,3.03,1.06,2.36,2.84,0.62,3.07,3.94,
Investments,0.2,0.2,0.2,0.2,0.2,661.44,662.93,0.55,454.53,1438.91
Other Assets,1720.4,2796.43,3548.58,5096.15,7329.83,9910.76,11932.48,16849.23,20800.58,26793.5
Total,1726.81,2807.97,3564.07,5113.57,7357.14,10661.66,12696.79,17481.72,21858.06,28846.01
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,279.77,254.92,363.69,143.06,615.55,580.44,1945.97,1761.35,1436.41,1313.77
No. of Equity Shares,72953433,72953433,85681343,128427337,143552261,143985459,155582040,155866346,158906443,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,-931.09,-424.79,-1725.58,-1378.09,-2301.95,-364.32,-2713.47,-3289.76,-4733.89
Cash from Investing Activity,,-3.95,-4.89,53.64,-7.14,-635.82,-31.67,-32.95,-314.42,-994.2
Cash from Financing Activity,,934.36,579.1,1469.7,1828.93,2928.66,1705.96,1966.89,3365.07,5493.86
Net Cash Flow,,-0.68,149.43,-202.24,443.7,-9.11,1309.97,-779.53,-239.11,-234.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,504,337.35,670.75,849.7,915.2,1441.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,7.3,7.3,8.57,12.84,14.36,14.4,15.56,15.59,15.62,15.94
