COMPANY NAME,BLUE STAR LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1387.5,,,,,,,,,
Market Capitalization,28546.96,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,3181.94,3797.96,4385.24,4638.95,5234.84,5360.19,4263.59,6064.08,7977.32,9685.36
Raw Material Cost,2238.38,1938.42,2266.2,2672.98,2489.42,2745.78,2223.72,3395.75,4418.38,7308.28
Change in Inventory,24.05,64.88,16.94,224.26,-170.44,7.95,-30.81,50.94,185.33,-83.69
Power and Fuel,14.89,17.02,16.64,17.23,17.22,17.59,13.85,17.54,27.5,
Other Mfr. Exp,196.35,931.64,1108.08,1046.71,1307.91,1318.35,1047.82,1429.28,2012.86,
Employee Cost,273.76,417.86,339.63,397.72,421.49,484.51,381.81,508.55,591.44,749.48
Selling and admin,242.2,326.68,405.23,397.86,417.34,429.04,267.17,349.18,492.94,
Other Expenses,72.33,64.45,43.28,64.21,62.87,89.9,58.6,67.6,119.8,878.97
Other Income,-33.75,65.94,33.87,21.62,25.76,40.48,64.95,36.16,195.13,47.91
Depreciation,43.15,57.09,60.58,63.81,74.9,87.99,92.29,85.98,84.78,97.61
Interest,48.53,43.15,37.78,28.74,47.87,29.47,64.72,46.4,54.7,58.08
Profit before tax,42.65,132.47,158.63,195.57,251.14,205.99,147.75,250.9,555.38,557.16
Tax,-7.89,27.7,36.67,49.42,41.99,65.32,47.09,82.9,154.69,142.85
Net profit,54.18,104.78,123.05,143.96,190.06,143.25,100.35,167.71,400.46,414.95
Dividend Amount,44.98,58.47,71.66,96,96.3,96.3,38.52,96.3,115.56,143.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1506.22,2254.21,1977.03,1582.29,1794.17,2623.83,2226,1890.4,2241.19,3327.77
Expenses,1415.63,2111.26,1854.19,1496.75,1689.81,2444.66,2081,1767.71,2085.84,3085.87
Other Income,13.74,6.94,10.51,8.55,5.16,178.73,9.4,13,12.77,12.74
Depreciation,22.45,23.05,22.04,24.47,15.55,22.72,22.79,23.01,23.49,28.32
Interest,11.56,12.93,10.62,12.09,13.92,18.07,18,17.65,10.24,12.19
Profit before tax,70.32,113.91,100.69,57.53,80.05,317.11,113.61,95.03,134.39,214.13
Tax,22.75,37.64,26.34,14.89,21.64,91.82,30.24,24.26,33.93,54.42
Net profit,47.5,76.16,74.25,42.55,58.41,225.25,83.35,70.67,100.39,160.54
Operating Profit,90.59,142.95,122.84,85.54,104.36,179.17,145,122.69,155.35,241.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,17.99,17.99,19.11,19.2,19.26,19.26,19.26,19.26,19.26,41.12
Reserves,437.58,612.43,738.02,773.53,853.8,763.11,865.92,998.32,1311.39,2568.96
Borrowings,397.73,364.73,221.12,375.62,347.56,520.16,510.13,553.7,661.95,242.93
Other Liabilities,1321.67,1529.56,1671.93,2067.87,2130.34,2136.73,2154.14,2741.36,3406.46,3765.24
Total,2174.97,2524.71,2650.18,3236.22,3350.96,3439.26,3549.45,4312.64,5399.06,6618.25
Net Block,256.59,259.45,356.11,392,400.2,443.79,383.56,432.8,858.89,1183.54
Capital Work in Progress,22.43,16.35,33.6,25.35,41.22,67.36,71.53,152.29,83.32,108.06
Investments,36.35,241.57,10.97,13.24,14.63,16.87,294.97,162.34,148.1,266.8
Other Assets,1859.6,2007.34,2249.5,2805.63,2894.91,2911.24,2799.39,3565.21,4308.75,5059.85
Total,2174.97,2524.71,2650.18,3236.22,3350.96,3439.26,3549.45,4312.64,5399.06,6618.25
Receivables,717.84,790.72,938.98,950.42,1112.05,837.67,810.98,1189.74,1548.82,1952.56
Inventory,478.54,534.76,595.58,1017.08,869.32,869.82,882.42,1144.24,1433.39,1407.18
Cash & Bank,44.32,45.5,96.57,80.88,100.94,293.94,332.16,269.66,247.27,377.37
No. of Equity Shares,89936105,89951105,95570388,95999788,96313888,96313888,96313888,96313888,96313888,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,214.93,256.74,158.52,18.87,258.41,449.95,349.81,87.4,247.38,289.22
Cash from Investing Activity,-48.72,-48.5,69.44,-88.32,-64.87,-80.75,-238.46,-67.31,-178.62,-524.62
Cash from Financing Activity,-190.34,-194.9,-203.05,51.39,-180.79,-166.91,-69.57,-82.37,-91.08,364.83
Net Cash Flow,-24.13,13.34,24.91,-18.06,12.75,202.29,41.78,-62.28,-22.32,129.43
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
