COMPANY NAME,SAPPHIRE FOODS INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1368.9,,,,,,,,,
Market Capitalization,8721.74,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,957.16,1193.82,1340.41,1019.62,1721.57,2265.57
Raw Material Cost,,,,,321.1,394.64,431.67,309.93,527.8,740.68
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,71.94,87.78,98.17,67.65,98.21,148.71
Other Mfr. Exp,,,,,29.54,40.11,68.44,57.9,77.72,96.03
Employee Cost,,,,,181.25,207.59,228.81,195.6,273.99,292.9
Selling and admin,,,,,298.52,376.16,271.52,230.36,399.57,511.29
Other Expenses,,,,,39.55,48.68,56.21,32.85,39.26,46.04
Other Income,,,,,2.23,9.46,-83.07,60.69,37.98,29.57
Depreciation,,,,,55.07,74.35,191.31,209.15,213.52,264.17
Interest,,,,,2.39,17.52,72.19,75.57,78.09,86.89
Profit before tax,,,,,-39.97,-43.55,-160.98,-98.7,51.39,108.43
Tax,,,,,1.28,1.1,-1.74,1.2,5.4,-124.76
Net profit,,,,,-41.07,-44.67,-157.54,-98.46,46.46,233.36
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,414.15,507.54,496.83,546.27,562.77,596.13,560.41,654.38,642.64,665.56
Expenses,357.53,393.02,397.05,435.88,459.58,479.45,462.26,532.93,527.51,543.81
Other Income,9.48,7.85,9.78,5.9,7.14,6.67,11.39,7.5,7.51,6.02
Depreciation,51.18,51.34,57.65,60.94,62.82,68.06,72.35,72.73,76.77,87.39
Interest,19.03,18.48,23.33,19.72,20.57,21.71,24.9,22.6,24.47,26.33
Profit before tax,-4.11,52.55,28.58,35.63,26.94,33.58,12.29,33.62,21.4,14.05
Tax,1.01,1.55,2.09,-2.51,0.07,0.88,-123.2,8.75,6.19,4.21
Net profit,-5,51.04,26.51,38.27,26.89,32.61,135.59,24.94,15.34,10.14
Operating Profit,56.62,114.52,99.78,110.39,103.19,116.68,98.15,121.45,115.13,121.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,41.68,43.11,50.24,52.79,63.54,63.54
Reserves,,,,,435.71,428.91,474.23,427.11,943.6,1192.4
Borrowings,,,,,30.71,95.9,645.57,644.88,789.27,962.78
Other Liabilities,,,,,325.72,527.43,213.61,224.56,368.22,372
Total,,,,,833.82,1095.35,1383.65,1349.34,2164.63,2590.72
Net Block,,,,,628.12,719.18,1160.85,1084.37,1389.78,1788.91
Capital Work in Progress,,,,,16.07,21.01,21.47,30.44,32.65,56.48
Investments,,,,,,,15.52,26.74,152.52,65.94
Other Assets,,,,,189.63,355.16,185.81,207.79,589.68,679.39
Total,,,,,833.82,1095.35,1383.65,1349.34,2164.63,2590.72
Receivables,,,,,6.53,22.45,4.61,7.78,14.07,17.95
Inventory,,,,,33.98,38.24,47.37,47.8,65.87,99.54
Cash & Bank,,,,,35.31,186.45,39.16,50.02,254.62,220.42
No. of Equity Shares,,,,,41675367,43107074,50243960,52790409,63542541,63542541
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,3.12,46.63,213.05,154.07,394.89,381.82
Cash from Investing Activity,,,,,-53.79,-335.12,-2.05,-77.92,-691.61,-203.55
Cash from Financing Activity,,,,,18.54,281.14,-208.14,-51.53,312.95,-194.85
Net Cash Flow,,,,,-32.13,-7.36,2.86,24.62,16.23,-16.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,1482.2,1218.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,4.17,4.31,5.02,5.28,6.35,6.35
