COMPANY NAME,ADANI ENERGY SOLUTIONS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,980.05,,,,,,,,,
Market Capitalization,109608.77,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,130.52,2193.78,2875.71,3944.48,7305.45,11415.96,9926.33,11257.52,13292.72,16607.36
Raw Material Cost,,,,,,,,,,1028.95
Change in Inventory,,,,,,,,,,
Power and Fuel,0.01,,8.36,,2291.12,3697.36,2887.07,3844.87,5224.16,5459.39
Other Mfr. Exp,1.78,188.04,782.46,993.74,1109.64,1763.76,1741.96,1855.82,1828.61,
Employee Cost,16.21,30.76,46.02,42.25,586.92,973.24,930.76,885.07,986.65,951.7
Selling and admin,15.01,47.79,38.77,58.95,454.48,302.64,291.35,324.94,381.5,
Other Expenses,-3.75,0.65,17.01,23.53,85.38,420.52,124.83,140.6,353.99,3456.12
Other Income,3.29,70.38,22.1,110.71,335.51,260.75,1115.41,1286.37,1583.12,610.95
Depreciation,37.07,559.65,569.25,579.41,882.15,1174.02,1328.88,1427.15,1607.74,1776.08
Interest,72.53,957.29,904.01,885.63,1391.03,2238.49,2116.99,2364.95,2781.47,2766.51
Profit before tax,-5.05,479.98,531.93,1471.68,840.24,1106.68,1619.9,1700.49,1711.72,1779.56
Tax,1.7,112.04,115.5,328.74,281.04,400.19,330.33,464.74,431.12,583.95
Net profit,-6.75,367.94,416.43,1142.94,559.2,741.82,1224.04,1204.61,1256.33,1137.28
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2911.7,2974.73,3131.88,3251.48,3551.7,3357.66,3663.91,3673.87,4562.73,4706.85
Expenses,2010.82,2029.42,2458.63,2087.86,2074.16,2154.46,2394.61,2323.73,3092.09,3141.33
Other Income,424.01,436.46,652.54,198.08,230.24,502.46,108.34,92.59,261.69,203.93
Depreciation,362.74,369.53,383.98,397.84,410.37,415.55,418.88,432.05,457.64,467.51
Interest,560.24,650.01,739.98,713.91,697.09,630.49,615.67,640.81,760.04,749.99
Profit before tax,401.91,362.23,201.83,249.95,600.32,659.62,343.09,369.87,514.65,551.95
Tax,125.24,125.23,33.37,55.48,122.25,220.02,161.11,85.78,166.4,170.66
Net profit,267.03,229.59,185.99,206.17,474.72,389.45,175.06,275.88,324.9,361.44
Operating Profit,900.88,945.31,673.25,1163.62,1477.54,1203.2,1269.3,1350.14,1470.64,1565.52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1090,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1099.81,1115.49,1115.49
Reserves,-6.75,1572,1846.72,4956.68,6943.07,7399.15,7819.47,8813.01,10546.95,11526.06
Borrowings,9701.2,8584.95,8974.81,10428.34,20136.99,24245.73,27094.96,29901.79,34270.03,37069.65
Other Liabilities,707.95,488.92,889.72,780.63,4378.59,6966.5,7219.34,7649.5,7999.28,8867.61
Total,11492.4,11745.68,12811.06,17265.46,32558.46,39711.19,43233.58,47464.11,53931.75,58578.81
Net Block,10573.32,10060.42,9853.23,9291.24,24412,24924.2,26986.6,30271.77,32645.14,38919.74
Capital Work in Progress,9.83,258.22,1342.64,2352.79,694.06,2212.24,5255.14,5060.16,6200.44,3002.69
Investments,,19.82,105,,335.78,312.67,442.03,560.52,1369.68,766.48
Other Assets,909.25,1407.22,1510.19,5621.43,7116.62,12262.08,10549.81,11571.66,13716.49,15889.9
Total,11492.4,11745.68,12811.06,17265.46,32558.46,39711.19,43233.58,47464.11,53931.75,58578.81
Receivables,448.76,182.35,189.56,257.83,722.05,1000.26,1013.54,1070.84,1437.59,1564.95
Inventory,20.61,21.76,38.66,35.34,366.18,541.17,233.71,250.11,151.91,255.28
Cash & Bank,15.09,151.38,393.18,665.49,701.56,2296.84,1289.91,1392.87,1704.14,2228.14
No. of Equity Shares,1090000000,1099810083,1099810083,1099810083,1099810083,1099810083,1099810083,1099810083,1115492683,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-34.69,1543.54,2188.75,2198.31,2591.38,5437.2,3784.33,4096.61,3776.99,6037.62
Cash from Investing Activity,-1863.85,-815.85,-1729.98,-3191.76,-3050.26,-5642.86,-4008.99,-3936.38,-4698.62,-4943.03
Cash from Financing Activity,1901.59,-721.66,-454.53,1589.18,38.04,1250.4,-744.65,-234.86,923.22,-543.24
Net Cash Flow,3.05,6.03,4.24,595.73,-420.84,1044.74,-969.31,-74.63,1.59,551.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
