COMPANY NAME,L G BALAKRISHNAN & BROS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1270.15,,,,,,,,,
Market Capitalization,3992.69,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1151.44,1174.89,1257.52,1417.59,1688,1542.83,1608.99,2102.09,2202.98,2346.05
Raw Material Cost,561.31,543.58,559.88,652.1,813.56,697.21,732.14,1023.62,1025.9,1051.63
Change in Inventory,11.35,6.7,-0.5,7.32,43.4,-8.15,-7.87,74.6,0.17,-16.5
Power and Fuel,45.43,50.47,51.6,56.61,69.56,69.38,67.98,83.05,91.87,
Other Mfr. Exp,183.12,191.07,196.46,218.23,268.75,225.03,206.09,272.42,278.96,
Employee Cost,149.89,173.19,189.93,208.34,260.7,259.66,246.26,297.01,319.95,361.6
Selling and admin,91.72,111.11,88.45,90.83,103.73,93.97,92.1,102.63,97.76,
Other Expenses,-10.96,-25.51,8.64,3.18,6.46,2.09,2.78,8.53,4.09,521.8
Other Income,8.8,3.92,9.85,5.23,14.77,22.43,20.59,34.69,42.87,56.23
Depreciation,39.47,45.93,52.82,57.79,68.05,78.66,83.32,83.22,79.47,77.95
Interest,17.7,17.89,15.76,11.88,12.74,16.28,10.93,9.22,7.72,8.08
Profit before tax,93.91,77.78,103.33,131.18,142.62,114.83,180.11,331.68,340.3,364.72
Tax,20.49,12.92,29.17,42.66,45.99,24.71,47.28,85.93,87.98,93.21
Net profit,71.21,63.5,70.98,86.06,99.57,91.63,133.46,245.48,251.93,271.34
Dividend Amount,10.99,9.42,10.99,7.06,15.7,15.7,31.39,47.08,,56.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,573.91,558.89,520.94,577.98,581.03,523.02,538.61,600.11,600.37,606.96
Expenses,458.24,454.01,435.89,475.98,474.05,433.84,450.98,496.41,493.84,505.99
Other Income,2.65,8.35,12.92,6.38,7.46,16.41,6.77,17.15,11.78,16.21
Depreciation,21.16,20.6,19.64,19.74,19.88,20.21,18.41,18.49,19.6,21.45
Interest,2.54,2.64,1.2,1.37,1.72,2.32,1.71,1.71,1.84,2.81
Profit before tax,94.62,89.99,77.13,87.27,92.84,83.06,74.28,100.65,96.87,92.92
Tax,23.48,26.4,18.72,20.08,20.65,28.54,18.83,25.15,24.14,25.1
Net profit,71.08,63.53,58.29,67.1,72.15,54.4,55.44,75.5,72.54,67.86
Operating Profit,115.67,104.88,85.05,102,106.98,89.18,87.63,103.7,106.53,100.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,15.7,15.7,15.7,15.7,31.39,31.39,31.39,31.39,31.39,31.39
Reserves,348.95,400.6,505.1,569.71,634.59,674.75,848,1101.07,1333.94,1609.79
Borrowings,177.29,177.95,134.4,108.4,217.65,133.06,83.53,104.42,104.25,103.92
Other Liabilities,263.73,265.95,292.15,321.49,337.6,292.42,415.18,475.98,403.47,491.56
Total,805.67,860.2,947.35,1015.3,1221.23,1131.62,1378.1,1712.86,1873.05,2236.66
Net Block,316.01,380.56,407.37,424.48,531.57,584.68,552.3,508.48,487.17,572.64
Capital Work in Progress,36.54,10.22,13.95,26.97,36.71,8.89,6.33,14.55,31.67,47.01
Investments,17.6,18.52,59.89,54.25,55.47,19.58,62.94,104.3,133.67,176.25
Other Assets,435.52,450.9,466.14,509.6,597.48,518.47,756.53,1085.53,1220.54,1440.76
Total,805.67,860.2,947.35,1015.3,1221.23,1131.62,1378.1,1712.86,1873.05,2236.66
Receivables,146.55,152.52,175.5,194.05,220.79,174.61,246.65,293.78,272.35,300.49
Inventory,230.55,227.88,230.56,253.33,306.72,289.69,301.28,435.78,400.06,389.14
Cash & Bank,7.33,8.04,18.99,8.9,9.65,5.02,146.44,290.58,347.57,360.04
No. of Equity Shares,15696208,15696208,15696208,15696208,31392400,31392400,31392400,31392416,31392416,
New Bonus Shares,7848104,,,,15696208,15696208,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,118.72,117.36,149.89,127.63,101.6,203.43,211,202.46,166.74,342.75
Cash from Investing Activity,-114,-86.62,-78.5,-86.72,-180.48,-55.06,-121.26,-181.68,-157.3,-299.4
Cash from Financing Activity,-3.87,-32.95,-60.19,-49.76,81.02,-153.57,-33.14,-18.75,-57.79,-40.01
Net Cash Flow,0.85,-2.21,11.2,-8.85,2.15,-5.2,56.6,2.03,-48.36,3.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,276.73,220,310.53,529.5,383.4,162.65,305.55,537.2,742.3,1270.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
