COMPANY NAME,HERO MOTOCORP LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,4762.15,,,,,,,,,
Market Capitalization,94995.03,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,27538.03,28457.12,28610.43,32458.37,33970.82,29253.97,30959.19,29551.28,34158.38,37788.62
Raw Material Cost,19790.4,19357.96,19019.34,21995.94,23503.46,20004.29,21999.18,20891.69,24107.72,25321.09
Change in Inventory,75.1,49.86,-96.74,110.12,59.04,173.34,255.57,-28.67,163.69,-188.35
Power and Fuel,158.49,122.2,112.84,139.84,158.12,132.96,113.89,109.72,114.56,
Other Mfr. Exp,245.73,210.21,205.67,241.07,251.2,231.91,217.64,227.08,239.17,
Employee Cost,1178.72,1339.46,1432.49,1583.71,1778.03,1889.32,1951.02,1995.78,2250.05,2471.55
Selling and admin,1942.73,2083.71,2097.44,2180.62,2183.54,1787.87,1699.6,1835.46,2007.04,
Other Expenses,777.49,969.64,1060.86,1092.98,1130.61,1311.38,1175.81,1206.93,1504.93,4578.25
Other Income,324.54,421.06,829.88,563.55,741.02,1433.9,553.23,544.78,567.29,694.55
Depreciation,540.45,443.25,502.25,574.98,624.44,845.76,715.12,689.52,697.39,757.36
Interest,11.7,14.61,27.28,30.8,37.18,46.64,46.41,53.1,104.88,76.37
Profit before tax,3291.96,4387,4885.4,5292.1,5104.3,4611.08,3849.32,3058.11,3863.62,5090.2
Tax,943.45,1274.71,1339.1,1569.93,1637.95,951.67,913.27,729.06,1063.72,1348.04
Net profit,2364.7,3141.98,3584.27,3720.4,3444.09,3638.11,2917.75,2316.88,2809.96,3744.83
Dividend Amount,1198.2,1437.84,1697.45,1897.15,1737.82,1797.75,2097.9,1898.1,1998.5,2798.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,8013.08,7496.55,8447.54,9158.23,8118.33,8434.28,8851.01,9533.07,9787.86,9616.68
Expenses,7029.98,6660.91,7527.29,8095.85,7176.6,7344.79,7733.87,8173.52,8402.98,8297.68
Other Income,139.97,131.44,55.53,93.99,264.98,237.54,65.55,212.62,287.86,177.33
Depreciation,174.39,168.38,172.84,172.83,171.97,179.75,179.74,187.09,193.92,196.61
Interest,12.7,12.97,13.92,47.66,24.19,19.11,21.01,24.98,22.74,7.64
Profit before tax,935.98,785.73,789.02,935.88,1010.55,1128.17,981.94,1360.1,1456.08,1292.08
Tax,231.74,165.17,203.44,253.6,289.31,317.37,281.4,353.06,364.96,348.62
Net profit,703.74,611.34,590.37,688.44,726.03,805.12,710.1,1006.31,1093.41,935.01
Operating Profit,983.1,835.64,920.25,1062.38,941.73,1089.49,1117.14,1359.55,1384.88,1319
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,39.94,39.94,39.94,39.94,39.95,39.95,39.96,39.96,39.97,39.98
Reserves,6500.06,8794.17,10275.57,11931.52,13080.46,14366.33,15376.46,15806.69,16615.6,17658.94
Borrowings,100,232.21,260.61,227.89,311.5,453.25,584.02,605.17,567.54,606.41
Other Liabilities,4014.35,3829.49,4735.88,5197.38,5072.45,4814.54,7095.65,6026.57,6693.92,7847.46
Total,10654.35,12895.81,15312,17396.73,18504.36,19674.07,23096.09,22478.39,23917.03,26152.79
Net Block,2952.28,3783.71,4598.85,4960.96,4952.36,6472.93,6380.39,6193.54,6159.2,6589.1
Capital Work in Progress,719.2,653.37,580.96,355.48,572.82,391.33,495.13,517.22,453.71,127.16
Investments,3118.5,4501.08,6066.37,7669.24,6113.83,8358.64,10581.62,10527.87,10890.93,12751.24
Other Assets,3864.37,3957.65,4065.82,4411.05,6865.35,4451.17,5638.95,5239.76,6413.19,6685.29
Total,10654.35,12895.81,15312,17396.73,18504.36,19674.07,23096.09,22478.39,23917.03,26152.79
Receivables,1371.82,1282.07,1551.75,1426.97,2745.11,1511.91,2274.68,2158.49,2719.47,2630.22
Inventory,861.39,761.99,708.58,962.68,1249.53,1282.32,1789.27,1472.41,1756.39,1755.9
Cash & Bank,215.78,179.09,195.39,237.57,303.9,435.41,396.24,299.74,422.8,696.47
No. of Equity Shares,199687500,199690088,199696838,199696838,199726884,199739368,199780217,199780217,199839718,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,2185.51,3722.37,4007.18,4017.21,1032.28,5518.13,4110.45,2103.7,2613.84,
Cash from Investing Activity,31.38,-2300.18,-1971.95,-1858.21,1297.63,-2819.14,-2289.32,-221.97,-421.33,
Cash from Financing Activity,-2131.13,-1474.73,-2035.86,-2102.45,-2252.4,-2601.8,-1851.82,-1975.33,-2147.23,
