COMPANY NAME,NOCIL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,256.6,,,,,,,,,
Market Capitalization,4278.55,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,596.14,719,715.21,742.21,963.96,1042.9,846.29,924.66,1571.31,1616.57
Raw Material Cost,357.51,437.96,315.58,333.41,447.13,497.85,369.79,480.18,947.96,911.93
Change in Inventory,8.49,49.39,-43.92,-26.17,6.51,31.03,-18.05,-24.45,88.65,24.25
Power and Fuel,63.25,65.81,54.37,51.78,65.74,75.52,72.2,79.43,150.44,187.68
Other Mfr. Exp,33.57,43.97,45.53,46.75,54.47,59.15,57.04,57.45,78.07,84.97
Employee Cost,44.77,50.28,60.77,64.19,71.19,70.51,76.73,70.05,80.81,87.47
Selling and admin,23.84,30.45,30.61,30.42,31.25,37.99,39.12,43.23,69.52,62.78
Other Expenses,19.32,25.46,24.56,29.62,31.79,39.94,35.07,38.25,45.42,53.1
Other Income,8.8,2.78,3.04,8.86,11.05,9.71,9.11,13.91,2.31,6.08
Depreciation,18.74,14.5,14.63,19.73,24.03,24.31,33.74,37.43,48.34,55.68
Interest,17.39,16.51,9.34,2.22,1.22,0.63,1.32,0.97,1.09,1.2
Profit before tax,35.04,86.23,118.94,146.78,254.7,277.74,152.34,107.13,240.62,202.09
Tax,11.19,29.14,40.68,49.67,84.77,92.89,21.67,18.72,64.51,52.94
Net profit,23.85,57.1,78.26,97.11,169.93,184.85,130.67,88.41,176.11,149.15
Dividend Amount,9.65,16.08,19.29,29.44,41.12,41.36,41.4,33.24,49.97,49.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,375.16,388.91,462.74,508.9,389.23,325.72,392.72,396.67,350.88,340.62
Expenses,324.88,338.16,351.32,405.62,327.23,288.14,342.99,341.19,305.59,291.77
Other Income,1.37,0.49,1.21,0.37,0.86,2.21,2.94,4.99,4.63,5.83
Depreciation,10.68,10.82,16.3,13.69,13.95,14.17,13.87,12.93,13.07,13.49
Interest,0.19,0.28,0.39,0.28,0.34,0.31,0.27,0.38,0.32,0.5
Profit before tax,40.78,40.14,95.94,89.68,48.57,25.31,38.53,47.16,36.53,40.69
Tax,10.79,10.35,27.02,23.2,12.84,6.69,10.21,12.86,9.37,10.69
Net profit,29.99,29.79,68.92,66.48,35.73,18.62,28.32,34.3,27.16,30
Operating Profit,50.28,50.75,111.42,103.28,62,37.58,49.73,55.48,45.29,48.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,160.79,160.79,160.79,163.58,164.48,165.42,165.61,166.22,166.57,166.64
Reserves,216.77,254.17,309.14,749.55,882.19,997.59,1019.63,1118.51,1278.64,1385.49
Borrowings,152.22,147.31,25.87,15,5,,6.87,5.61,5.52,9.79
Other Liabilities,202.57,192.79,186.02,232.81,279.45,279.26,250.13,324.25,379.77,295.17
Total,732.35,755.06,681.82,1160.94,1331.12,1442.27,1442.24,1614.59,1830.5,1857.09
Net Block,320.42,310.86,306.6,542.57,527.74,657.05,797.39,917.62,909.38,887.89
Capital Work in Progress,3.11,3.42,6.08,4.47,42.47,131.27,156.34,14.1,8.37,8.57
Investments,22.43,22.43,22.43,176.35,281.2,129.73,54.4,68.43,53.47,218.37
Other Assets,386.39,418.35,346.71,437.55,479.71,524.22,434.11,614.44,859.28,742.26
Total,732.35,755.06,681.82,1160.94,1331.12,1442.27,1442.24,1614.59,1830.5,1857.09
Receivables,147.72,167.19,151.05,166.54,243.36,232.19,203.21,308.56,449.84,345.98
Inventory,160.13,187.73,132.63,114.58,155.27,170.71,136.43,165.66,332.74,284.89
Cash & Bank,15.27,7.55,15.38,122.22,32.04,39.93,13.83,80.41,15.99,57.4
No. of Equity Shares,160786980,160786980,160786980,163583180,164477680,165418830,165605955,166219130,166573855,166642855
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,44.17,30.05,170.37,142.19,102.34,164.06,179.4,93.56,-30.22,281.98
Cash from Investing Activity,-17.94,-5.2,-11.94,-10.51,-141.36,-101.21,-106.27,-58.38,31.14,-216.81
Cash from Financing Activity,-23.21,-32.64,-150.77,-30.58,-42.55,-50.2,-100.77,0.27,-33.6,-53.77
Net Cash Flow,3.02,-7.8,7.67,101.1,-81.57,12.65,-27.64,35.45,-32.68,11.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,15.5,37.5,46.15,93.8,191.85,146.45,65.8,174.75,248.9,206.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
