COMPANY NAME,HCL TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1320.05,,,,,,,,,
Market Capitalization,358244.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,36701.22,31135.94,47568,50569,60427,70676,75379,85651,101456,109913
Raw Material Cost,1306.38,812.73,826,1251,1615,1536,1698,1473,2072,1754
Change in Inventory,35.65,108.75,11,-104,-81,,3,67,67,-43
Power and Fuel,264.88,210.53,307,313,336,307,275,291,328,
Other Mfr. Exp,5860.79,5632.96,9286,9388,10862,12324,12084,14574,17303,
Employee Cost,17726.43,15203.25,22866,24729,29283,34928,38853,46130,55280,62480
Selling and admin,2853.17,2205.52,2988,2810,3519,3050,1681,1866,2687,
Other Expenses,239.15,526.15,916,728,805,1215,743,855,1225,21438
Other Income,1125.97,870.89,1069,1230,943,589,927,1067,1358,1495
Depreciation,403.75,409.86,828,1383,2073,3420,4611,4326,4145,4173
Interest,91.23,73.9,89,69,174,505,511,319,353,553
Profit before tax,9117.06,7040.68,10542,11024,12622,13980,15853,16951,19488,20967
Tax,1815.11,1439,1936,2302,2502,2923,4684,3428,4643,5257
Net profit,7317.07,5602.43,8606,8721,10120,11057,11145,13499,14851,15702
Dividend Amount,4218,2256.64,3420,1668,1084,2715,2715,11403,13032,14118
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,22331,22597,23464,24686,26700,26606,26296,26672,28446,28499
Expenses,16938,17545,18489,19261,20335,20743,20931,20743,21659,22382
Other Income,255,317,409,236,260,453,344,365,370,416
Depreciation,1136,984,983,998,1137,1027,927,1010,1143,1093
Interest,82,65,64,79,116,94,86,156,140,171
Profit before tax,4430,4320,4337,4584,5372,5195,4696,5128,5874,5269
Tax,982,721,1056,1097,1276,1214,1165,1295,1523,1274
Net profit,3442,3593,3283,3489,4096,3983,3534,3832,4350,3986
Operating Profit,5393,5052,4975,5425,6365,5863,5365,5929,6787,6117
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,281.2,282.08,285,278,271,543,543,543,543,543
Reserves,23943.21,27108.69,32664,36108,41095,50724,59370,61371,64862,67720
Borrowings,647.76,1090.36,582,557,4195,7986,6864,6343,4794,5756
Other Liabilities,10372.5,10859.47,12231,11046,12788,23566,19270,20664,23051,25758
Total,35244.67,39340.6,45762,47989,58349,82819,86047,88921,93250,99777
Net Block,8275.27,9716.09,15235,18753,22888,37490,37145,35077,34619,35063
Capital Work in Progress,551.52,610.9,448,320,235,400,312,129,40,108
Investments,869.39,698.38,1306,2660,2305,7066,6862,6351,5495,7137
Other Assets,25548.49,28315.23,28773,26256,32921,37863,41728,47364,53096,57469
Total,35244.67,39340.6,45762,47989,58349,82819,86047,88921,93250,99777
Receivables,6538.69,7721.14,8301,9639,11706,14131,17525,20671,25506,19483
Inventory,157.61,264.48,276,172,91,91,94,161,228,185
Cash & Bank,9786.23,9334.6,9044,4018,7872,4976,8888,12636,14724,20150
No. of Equity Shares,1405978400,1410381314,1426783424,1392246384,1356278868,2713665096,2713665096,2713665096,2713665096,
New Bonus Shares,702848000,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,5539.2,3822.62,8995,8328,8971,13359,19618,16900,18009,22448
Cash from Investing Activity,-2087.57,-2208.43,-3890,-2236,-3256,-12332,-5665,1597,-3573,-6723
Cash from Financing Activity,-3140.34,-2237.09,-4517,-5714,-1471,-3168,-11192,-14508,-15881,-15464
Net Cash Flow,311.29,-622.9,588,378,4244,-2141,2761,3989,-1445,261
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,459.88,407.05,437.38,484.3,543.73,436.4,982.65,1163.75,1085.25,1543.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,281.2,282.08,285.36,278.45,271.26,271.37,271.37,271.37,271.37,271.37
