COMPANY NAME,SHYAM METALICS & ENERGY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,567.05,,,,,,,,,
Market Capitalization,15818.82,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,3747.16,4606.4,4376.35,6297.07,10393.96,12610.18
Raw Material Cost,,,,,2425.07,2811.39,2781.48,3784.32,6493.41,9208.89
Change in Inventory,,,,,54.37,25.12,103.5,-48.98,180.87,242.64
Power and Fuel,,,,,96.74,147.25,247.14,252.17,288.91,641.18
Other Mfr. Exp,,,,,274.47,356.66,390.18,395.76,591.55,710.4
Employee Cost,,,,,106.45,145.03,168.36,188.14,246.56,345.15
Selling and admin,,,,,129.9,142.33,166.99,223.09,327.8,317.83
Other Expenses,,,,,55.35,78.7,59.32,10.84,25.75,143.48
Other Income,,,,,67.74,72.74,11.56,23.99,59.04,112.15
Depreciation,,,,,215.05,194.58,296.68,300.36,272.4,463.08
Interest,,,,,48.86,64.43,85.89,62.46,23.16,93.13
Profit before tax,,,,,517.38,763.89,295.37,1054.94,2364.33,1041.83
Tax,,,,,-10.65,127.12,-44.86,211.4,640.15,193.42
Net profit,,,,,424.37,604.13,340.24,843.34,1724.54,857.6
Dividend Amount,,,,,,,,63.07,126.26,45.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2494.34,2577.82,2856.77,3223.2,3085.2,2921.7,3380.08,3333.03,2940.7,3315.29
Expenses,1870.31,1952.85,2193.66,2616.6,2841.63,2699.44,2966.62,2919.17,2633.59,2907.93
Other Income,20.73,16.63,14.99,21.96,21.7,37.6,30.89,29.82,38.26,39.95
Depreciation,60.55,59.66,90.81,94.76,110.44,132,125.88,158.05,176.54,182.09
Interest,4.59,5.74,6.13,6.84,14.88,32.81,38.6,36.72,35.43,39.58
Profit before tax,579.62,576.2,581.16,526.96,139.95,95.05,279.87,248.91,133.4,225.64
Tax,169.34,153.52,147.98,113.11,29.04,30.28,20.99,47.02,-348.57,99.84
Net profit,414.18,421.49,430.86,414.85,114.3,67.27,261.18,204.08,484.09,127.3
Operating Profit,624.03,624.97,663.11,606.6,243.57,222.26,413.46,413.86,307.11,407.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,46.72,233.61,233.61,233.61,255.08,255.08
Reserves,,,,,1807.27,2256.05,2592.84,3400.41,5579.59,6907.37
Borrowings,,,,,567.52,728.64,1114.34,795.99,543.04,1160.5
Other Liabilities,,,,,1049.13,834.13,1121.38,989.91,2047.31,2865.73
Total,,,,,3470.64,4052.43,5062.17,5419.92,8425.02,11188.68
Net Block,,,,,1746.85,1774.09,2012.47,1802.21,2454.62,2946.05
Capital Work in Progress,,,,,91.38,357.7,235.45,506.4,768.28,2768.92
Investments,,,,,195.39,273.85,144.02,281.82,1035.93,1463.12
Other Assets,,,,,1437.02,1646.79,2670.23,2829.49,4166.19,4010.59
Total,,,,,3470.64,4052.43,5062.17,5419.92,8425.02,11188.68
Receivables,,,,,368.72,212.91,159.02,533.55,376.1,604.23
Inventory,,,,,558.49,732.13,1486.71,1030.23,2057.03,2205.13
Cash & Bank,,,,,53.29,97.84,121.24,323.78,325.88,171.86
No. of Equity Shares,,,,,46722020,233610100,233610100,233610100,255080688,255080688
New Bonus Shares,,,,,,186888080,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,246.95,456.56,-91,1056.17,1561.2,1506.87
Cash from Investing Activity,,,,,-117.58,-566.96,-419.91,-498.64,-1799.94,-1954.95
Cash from Financing Activity,,,,,-162.17,112.18,530.71,-423.39,166.8,430.96
Net Cash Flow,,,,,-32.8,1.77,19.8,134.14,-71.94,-17.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,362.35,262.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,4.67,23.36,23.36,23.36,25.51,25.51
