COMPANY NAME,HEMISPHERE PROPERTIES INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,193.55,,,,,,,,,
Market Capitalization,5514.78,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,,,,2
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,,,,,,,
Employee Cost,,,,,,0.02,0.05,0.11,0.26,0.37
Selling and admin,,,0.01,0.02,0.02,0.02,0.16,8.17,13,9.39
Other Expenses,,,,,,0.08,-0.01,0.85,2.69,0.07
Other Income,,,0.06,0.06,0.04,0.02,0.1,0.37,3.16,6.53
Depreciation,,,,,,,0.68,,0.01,0.02
Interest,,,0.05,0.05,0.05,0.05,0.24,1.32,5.84,6.69
Profit before tax,,,,-0.01,-0.03,-0.15,-1.02,-10.08,-18.64,-8.01
Tax,,,,,,-0.02,-0.26,-2.63,-3.78,-1.54
Net profit,,,,-0.01,-0.03,-0.13,-0.76,-7.45,-14.86,-6.47
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,1.68,,0.09,0.24,0.12,0.13,0.13
Expenses,3.75,1.29,9.27,2.65,2.05,2.21,2.93,2.22,2.31,2.24
Other Income,0.26,1.45,1.15,1.21,1.58,1.87,1.87,1.95,1.93,1.95
Depreciation,,,,,,,,,,
Interest,1.39,1.79,1.45,1.68,1.7,1.71,1.6,1.61,1.63,1.64
Profit before tax,-4.88,-1.63,-9.57,-1.44,-2.17,-1.96,-2.42,-1.76,-1.88,-1.8
Tax,0.51,,-3.78,,,,-1.54,,,
Net profit,-5.4,-1.63,-5.79,-1.45,-2.18,-1.96,-0.89,-1.77,-1.88,-1.81
Operating Profit,-3.75,-1.29,-9.27,-0.97,-2.05,-2.12,-2.69,-2.1,-2.18,-2.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,0.05,0.05,0.05,0.05,285,285,285,285
Reserves,,,-0.04,-0.05,-0.08,-0.21,-0.92,91.63,87.34,80.87
Borrowings,,,1,1,1,1,3.91,41,68.03,64.99
Other Liabilities,,,0.33,0.16,0.39,0.31,1.17,660.95,661.42,645.57
Total,,,1.34,1.16,1.36,1.15,289.16,1078.58,1101.79,1076.43
Net Block,,,,,,,282.1,933.12,943.59,944.26
Capital Work in Progress,,,0.21,0.39,0.71,0.73,0.73,,,
Investments,,,,,,,,,,
Other Assets,,,1.13,0.77,0.65,0.42,6.33,145.46,158.2,132.17
Total,,,1.34,1.16,1.36,1.15,289.16,1078.58,1101.79,1076.43
Receivables,,,,,,,,,,0.18
Inventory,,,,,,,,,,
Cash & Bank,,,1.12,0.75,0.59,0.33,3.2,139.09,148.32,119.4
No. of Equity Shares,,,50000,50000,50000,50000,285000000,285000000,285000000,285000000
New Bonus Shares,,,,,,,,,,
Face value,,,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,0.09,-0.2,0.17,-0.21,-281.37,650.76,-13.74,-22.96
Cash from Investing Activity,,,,-0.18,-0.32,,-0.06,-649.92,-7.32,5.84
Cash from Financing Activity,,,1.01,0.01,-0.01,-0.05,284.31,135.04,30.29,-11.8
Net Cash Flow,,,1.1,-0.37,-0.16,-0.26,2.88,135.89,9.23,-28.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,137.45,114.35,82.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,28.5,28.5,28.5,28.5
