COMPANY NAME,KOTAK MAHINDRA BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,1643.1,,,,,,,,,
Market Capitalization,326585.75,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,13318.89,20401.64,22324.21,25131.08,29831.22,33474.16,32819.83,33740.62,42151.06,56236.63
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,253.21,365.52,425.53,484.15,511.17,581.02,649.54,815.18,1207.17,
Employee Cost,2376.39,3856.02,3985.5,4384.41,4855.11,5760.57,5861.13,7147.42,8487.33,10347.31
Selling and admin,3643.65,2459.24,2639.15,3281.15,6746.62,3804.82,3439.5,2354,3253.12,
Other Expenses,3445.08,4860.57,7781.93,8655.09,7645.46,12431.96,19861.4,20382.88,20537.83,37495.98
Other Income,8152.2,7630.73,11659.56,13682.23,16147.89,16891.58,23587.68,24941.06,25990.97,38037.28
Depreciation,236.89,344.51,362.21,383.43,458.42,464.89,461.05,480.35,599.26,
Interest,6966.1,11122.97,11457.51,12466.85,15186.61,15900.68,12966.55,11553.54,14411.13,22567.24
Profit before tax,4549.77,5023.54,7331.94,9158.23,10575.72,11421.8,13168.34,15948.31,19646.19,23863.38
Tax,1484.69,1592.42,2382.85,3011.09,3456.02,2814.72,3265.44,4016.43,4865.74,5886.55
Net profit,3045.45,3458.85,4940.43,6200.97,7204.13,8593.36,9990.2,12089.39,14925.01,18213.21
Dividend Amount,69.51,91.72,110.45,133.39,152.7,,178.37,218.31,297.98,397.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,8626.41,8838.18,9164.31,9993.83,11011.29,11981.63,12868.93,13716.56,14494.96,15156.18
Expenses,6839.48,8554.61,4878.92,9312.65,9345.01,10548.14,10303.4,10135.66,12484.08,14920.15
Other Income,5542.73,7838.15,2404.78,7440.96,7360.35,8784.88,7854.98,7842.96,9588.19,12751.15
Depreciation,,130.66,,,,,,,,
Interest,2918.94,2903.75,3004.27,3374.76,3802.45,4229.65,4834.08,5535.52,5985.48,6212.16
Profit before tax,4410.72,5087.31,3685.9,4747.38,5224.18,5988.72,5586.43,5888.34,5613.59,6775.02
Tax,1073.1,1228.56,973.51,1167.99,1265.04,1459.2,1477.1,1465.48,1411.2,1532.77
Net profit,3402.74,3891.82,2755.39,3608.18,3995.05,4566.39,4150.19,4461.04,4264.78,5337.2
Operating Profit,1786.93,283.57,4285.39,681.18,1666.28,1433.49,2565.53,3580.9,2010.88,236.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,386.18,917.19,920.45,952.82,954.38,956.52,990.92,992.33,993.28,
Reserves,21770.14,32446.86,37572.26,49535.41,56827.42,65680.47,83347.69,95673.01,110821.12,
Borrowings,104258.34,179678.55,205229.91,249839.77,291263.2,325976.93,326610.31,365246.76,418306.54,
Other Liabilities,22049.09,27760.98,32464.94,37392.47,46126.25,50558.8,67905.3,84585.8,90308.8,
Total,148463.75,240803.58,276187.56,337720.47,395171.25,443172.72,478854.22,546497.9,620429.74,
Net Block,1384.97,1761.02,1758.62,2542.89,2697.46,2674.72,2553.92,2723.38,3074.96,
Capital Work in Progress,,,,,,,,,,
Investments,45588.89,70273.9,68461.54,90976.6,103487.02,111196.91,156945.55,164529.41,195337.97,
Other Assets,101489.89,168768.66,205967.4,244200.98,288986.77,329301.09,319354.75,379245.11,422016.81,
Total,148463.75,240803.58,276187.56,337720.47,395171.25,443172.72,478854.22,546497.9,620429.74,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,6903.44,11599.41,25588.55,24400.63,31264.46,64079.85,47716.62,52665.48,42925.35,
No. of Equity Shares,772352664,1834382158,1840897877,1905648506,1908754827,1913038338,1981835668,1984661760,1986556582,
New Bonus Shares,,912841920,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,2301.72,5024.58,13222.5,-10392.41,1822.38,46618.83,4881.13,8308.36,-1242.43,15685.01
Cash from Investing Activity,-4467.08,-2353.03,-5288.62,-5474.91,-3323.15,-13068.45,-11172.31,-10902.9,-10380.71,-9096.93
Cash from Financing Activity,2425.69,2024.41,6055.26,14679.4,8364.59,-735,-10072.05,7543.4,1883,15515.11
Net Cash Flow,260.33,4695.97,13989.14,-1187.92,6863.83,32815.39,-16363.23,4948.86,-9740.14,22103.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,656.63,680.65,872.2,1047.8,1334.5,1296.05,1753,1753.85,1732.85,1785.5
,,,,,,,,,,
