COMPANY NAME,RAJESH EXPORTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,292.55,,,,,,,,,
Market Capitalization,8634.92,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,29197.2,50462.89,165178.71,242131.98,187686.1,175763.12,195600.17,258305.65,243127.94,339689.51
Raw Material Cost,28169.87,48915.94,163072,240014.67,185349.99,173448.18,193526.42,256754.91,241509.67,337599.9
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,6.17,10.67,10.22,25.48,22.49,39.13,41.6,34.87,37.95,45.78
Employee Cost,20.92,39.93,112.96,156.9,146.8,152.19,160.25,184.3,175.89,215.06
Selling and admin,204.03,213.37,227.21,157.02,248.89,304.14,320.21,204.32,160.2,189.21
Other Expenses,13.31,16.52,29.27,27.75,33.5,23.63,2.4,3.2,64.9,3.8
Other Income,0.73,0.1,41.75,47.68,62,65.82,7.06,2.57,39.84,24.22
Depreciation,16.41,62.22,79.01,64.63,67.99,74.34,72.63,90.43,90.87,100.58
Interest,363.48,478.27,577.67,430.27,536.68,441.67,222.47,142.35,89.97,80.95
Profit before tax,403.74,726.07,1112.12,1302.94,1341.76,1345.66,1261.25,893.84,1038.33,1478.45
Tax,46.28,71.16,43.12,59.3,75.89,53.53,55.42,48.98,29.14,46.17
Net profit,357.45,654.91,1069,1243.63,1265.86,1292.13,1205.83,844.86,1009.18,1432.28
Dividend Amount,29.53,29.53,29.53,32.48,29.53,29.53,29.53,29.53,29.53,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,41245.13,65179.41,85806.38,49497.08,80270.07,94474.32,115448.04,85688.59,38065.91,65476.89
Expenses,40915.94,64861.85,85665.57,49191.8,79852.18,94024.78,115065.94,85354.27,38015.78,65465.02
Other Income,1.32,0.27,38.39,1.06,1.09,0.97,21.1,12.08,13.53,12.04
Depreciation,32.81,13.42,22.65,22.86,24.13,27.37,26.22,31.3,10.68,11.24
Interest,,,,,,,,,,
Profit before tax,297.7,304.41,156.55,283.48,394.85,423.14,376.98,315.1,52.98,12.67
Tax,6.27,4.24,18.02,11.74,21.88,1.58,10.97,5.74,7.66,0.25
Net profit,291.43,300.18,138.53,271.74,372.96,421.56,366.02,309.36,45.31,12.43
Operating Profit,329.19,317.56,140.81,305.28,417.89,449.54,382.1,334.32,50.13,11.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,29.53,29.53,29.53,29.53,29.53,29.53,29.53,29.53,29.53,29.53
Reserves,2712.97,3332.12,4361.51,5605.71,7145.12,8810.52,10504.36,11191.85,12416.21,14694.1
Borrowings,3117.62,3842.49,4593.99,5552.23,8717.19,6198.43,1278.15,1020.96,814.6,723.3
Other Liabilities,5378.01,8876.57,11956.24,12943.45,7643.29,13802.98,18915.58,11230.45,10655.26,7427.73
Total,11238.13,16080.71,20941.27,24130.92,23535.13,28841.46,30727.62,23472.79,23915.6,22874.66
Net Block,168.47,263.72,1286.76,1198.52,1289.21,1452.26,1521.09,1446.9,1449.4,2038.36
Capital Work in Progress,0.36,0.42,62.03,88.36,5.27,1.89,1.01,11.55,5.83,38.18
Investments,13.42,60.25,840.54,919.11,1019.81,1087.6,1141.55,1041.14,1112.72,1240.9
Other Assets,11055.88,15756.32,18751.94,21924.93,21220.84,26299.71,28063.97,20973.2,21347.65,19557.22
Total,11238.13,16080.71,20941.27,24130.92,23535.13,28841.46,30727.62,23472.79,23915.6,22874.66
Receivables,2415.19,2989.84,4889.61,5019.86,3992.57,6147.95,9319.65,10348.99,10708.6,10356.39
Inventory,571.3,567.53,992.61,1162.77,1721.97,3937.09,4774.39,7407.43,7669.02,6048.71
Cash & Bank,7214.16,11406.38,12062.94,14840.2,14469.55,15063.44,12787.63,2052.95,1808.73,2096.35
No. of Equity Shares,295259959,295259959,295259959,295259959,295259959,295259959,295259959,295259959,295259959,295259959
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-2502.29,4185.4,2069.44,2473.76,-2869.59,3482.44,2572.42,-10251.55,-4.38,463.27
Cash from Investing Activity,-125.36,-204.24,-1551.18,-224.48,-96.86,101.42,324.05,-54.06,86.02,10.17
Cash from Financing Activity,-3.99,211.06,138.3,527.98,2595.8,-2989.97,-5172.27,-429.07,-325.86,-185.82
Net Cash Flow,-2631.64,4192.22,656.56,2777.26,-370.65,593.89,-2275.81,-10734.68,-244.22,287.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
