COMPANY NAME,BAJAJ FINSERV LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1564.6,,,,,,,,,
Market Capitalization,249684.69,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,11334.79,20533.28,24507.3,32862.46,42605.4,54351.37,60591.52,68406.28,82071.7,110381.91
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,40.9,9.6,9.08,5.31,0.32,
Other Mfr. Exp,20.07,22.98,27.13,1400.74,19290.57,23739.27,27447.36,31698.37,34692.78,
Employee Cost,580.39,771.22,1003.97,2749.4,3807.61,4763.12,4704.41,6567.43,8775.51,10360.95
Selling and admin,470.74,521.25,661.03,1822.37,2125.92,2841.03,2381.91,3322.4,4848.28,
Other Expenses,4752.29,12479.2,14101.89,16101.84,2303.7,4740.65,6407.47,5357.86,3887.08,59355.47
Other Income,7.52,0.09,0.16,1.49,1.53,0.36,-6.87,7.86,1.46,9.18
Depreciation,38.15,57.72,72.63,159.89,226.09,456.79,498.46,562.73,677.8,900.13
Interest,2229.58,2876.95,3716.28,4531,6657.4,9499.61,9273.62,9629.46,12380.26,18399.51
Profit before tax,3251.09,3804.05,4924.53,6098.71,8154.74,8301.66,9862.34,11270.58,16811.13,21375.03
Tax,841.94,1029.51,1474.82,1922.36,2780.89,2308.06,2494.96,2957.05,4601.59,5779.66
Net profit,1689.79,1863.27,2261.92,2650.26,3219.04,3369.13,4470.46,4556.77,6417.28,8147.79
Dividend Amount,27.85,27.85,27.85,27.85,39.78,79.57,47.74,63.66,127.41,159.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,17586.74,18861.67,15888.26,20803.22,21755.15,23624.61,23279.98,26022.66,29038.43,32040.84
Expenses,11783.02,12768.81,9573.36,13415.9,13924.12,15470.2,13934.7,16072.81,18600.61,21108.3
Other Income,32.9,0.01,0.12,0.11,0.26,2.2,2.8,0.21,1.75,4.42
Depreciation,143.09,149.33,157.27,168.4,171.55,180.58,202.3,208.83,232.09,256.91
Interest,2444.53,2481.34,2563.84,2961.23,3240.78,3435.57,4020.41,4449.06,4776.53,5153.51
Profit before tax,3249,3462.2,3593.91,4257.8,4418.96,4540.46,5125.37,5292.17,5430.95,5526.54
Tax,899.57,928.62,1016.32,1261.2,1118.75,1205.32,1415.95,1536.45,1385.66,1441.61
Net profit,1255.79,1346.08,1309.38,1556.93,1782.02,1768.95,1942.63,1928.96,2157.67,2118.53
Operating Profit,5803.72,6092.86,6314.9,7387.32,7831.03,8154.41,9345.28,9949.85,10437.82,10932.54
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,79.56,79.57,79.57,79.57,79.57,79.57,79.57,79.57,159.26,159.41
Reserves,11009.49,13518.93,16070.76,20403.37,23660.5,31221.68,35750.43,40167.23,46248.08,60169.23
Borrowings,26312.09,36062.09,48282.04,65694.72,99754.35,127212.03,128460.85,161179.18,212264.97,288932.62
Other Liabilities,50827.31,54290.17,64181.29,75336.6,84933.76,92790.87,115553.86,131987.23,146728.84,188668.37
Total,88228.45,103950.76,128613.66,161514.26,208428.18,251304.15,279844.71,333413.21,405401.15,537929.63
Net Block,1260.67,1273.54,1645.4,1791.85,2096.83,3215.62,3182.1,3585.58,4336.01,5593.3
Capital Work in Progress,2.76,10.76,3.54,27.7,65.51,44.69,128.85,112.81,191.27,82.12
Investments,51366.55,53697.8,62658.46,69428.48,81679.06,91821.05,113654.41,119222.08,136175.73,168384.7
Other Assets,35598.47,48968.66,64306.26,90266.23,124586.78,156222.79,162879.35,210492.74,264698.14,363869.51
Total,88228.45,103950.76,128613.66,161514.26,208428.18,251304.15,279844.71,333413.21,405401.15,537929.63
Receivables,541.45,680.77,1253.12,1753.28,2273.08,2657.81,2753.07,3004.81,3458.64,5973.86
Inventory,,,,,,,,,,
Cash & Bank,1408.54,2167.51,1498.67,1606.44,1588.89,2525.23,3410.49,4403.03,5377.22,12386.66
No. of Equity Shares,159125200,159131453,159131780,159135097,159136111,159137290,159137290,159137290,1592815460,
New Bonus Shares,,,,,,,,,796407730,
Face value,5,5,5,5,5,5,5,5,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-10731.11,-9795.15,-10922.24,-19580.16,-27076.37,-23369.03,4547.4,-33669.99,-39479.54,-68674.2
Cash from Investing Activity,3709.28,-885.83,151.3,-921.5,-6903.41,-9948,-3683.8,1445.43,-13945.21,-10959.69
Cash from Financing Activity,6838.77,11601.63,12512.74,19590.17,34534.82,34479.35,1686.95,32325.76,51016.06,82708.71
