COMPANY NAME,ZF COMMERCIAL VEHICLE CONTROL SYSTEM INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,13295,,,,,,,,,
Market Capitalization,25244.43,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1110.06,1347.36,1832.46,2067.49,2573.33,2854.14,1929.56,1863.5,2543.35,3444.59
Raw Material Cost,632.88,790.03,1126.4,1275.67,1551.43,1834.54,1126.36,1135.83,1649.34,2196.76
Change in Inventory,-0.99,-2.91,26.71,37.59,-50.47,12.37,-22.32,1.6,6.02,-0.3
Power and Fuel,19.66,19.92,20.91,19.73,20.73,21.84,17.66,14.8,19.08,24.93
Other Mfr. Exp,57.76,63.58,127.86,125.71,155.91,162.38,114.89,102.01,122.31,143.19
Employee Cost,125.28,143.52,187.91,191.17,229.15,253.7,265.79,290.6,328.78,376.89
Selling and admin,75.61,39.18,79.68,138.49,147.1,157.98,115.53,96.01,156.63,209.95
Other Expenses,31.65,84.87,29.84,27.84,19.69,25.27,13.19,19.86,20.69,22.26
Other Income,27.13,20.3,40.12,36.07,46.29,71.55,61.55,38.66,37.53,67.01
Depreciation,32.15,46.66,56.2,61.63,61.74,71.44,90.11,90.4,92.43,104.76
Interest,0.14,0.36,0.15,0.46,1.62,,1.92,1.99,1.9,5.67
Profit before tax,161.07,176.63,270.34,300.45,381.78,410.91,223.34,152.26,195.74,426.89
Tax,43.59,55.97,66.97,86.97,108.96,128.74,64.53,48.46,53.67,109.22
Net profit,117.48,120.66,203.37,213.48,272.83,282.17,158.81,103.8,142.07,317.67
Dividend Amount,9.48,9.48,11.38,13.27,15.17,17.06,18.96,20.86,22.75,24.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,616.53,652.92,781.98,798.42,792.83,876.06,977.28,960.54,980.83,886.82
Expenses,553.81,594.25,692.94,699.71,685.28,756,833.29,819.34,836.84,755.77
Other Income,7.61,8.89,9.14,11.15,12.21,25.59,18.07,21.41,24.22,30.15
Depreciation,24.94,23.95,20.93,22.67,27.32,28.05,26.73,27.64,27.02,26.15
Interest,0.44,0.39,0.53,1.11,2.14,1.96,0.47,1.32,1.33,1.38
Profit before tax,44.95,43.22,76.72,86.08,90.3,115.64,134.86,133.65,139.86,133.67
Tax,12.7,11.39,20.12,23.68,21.67,30.22,33.64,33.89,35.52,34.05
Net profit,32.25,31.84,56.6,62.4,68.64,85.42,101.21,99.76,104.33,99.62
Operating Profit,62.72,58.67,89.04,98.71,107.55,120.06,143.99,141.2,143.99,131.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48
Reserves,745.7,853.55,1058.3,1256.94,1516.4,1770.49,1885.06,1986.92,2104.59,2399.63
Borrowings,,,,,,,,,,
Other Liabilities,201.75,250.46,455.47,470.66,643.05,555.57,286.17,499.91,522.61,610.7
Total,956.93,1113.49,1523.25,1737.08,2168.93,2335.54,2180.71,2496.31,2636.68,3019.81
Net Block,306.46,323.74,335.09,317.94,358.95,439.96,470.99,432.24,535.66,585.52
Capital Work in Progress,11.1,17.63,37.45,61.66,52.38,19.31,29.96,49.74,20.26,76.83
Investments,50.2,39.2,218.35,298.14,445.65,313.43,542.37,639.97,399.11,101.14
Other Assets,589.17,732.92,932.36,1059.34,1311.95,1562.84,1137.39,1374.36,1681.65,2256.32
Total,956.93,1113.49,1523.25,1737.08,2168.93,2335.54,2180.71,2496.31,2636.68,3019.81
Receivables,231.47,299.15,436.96,517.98,648.34,634,363.54,585.45,666.38,757.86
Inventory,112.44,117.97,175.64,145.34,132.38,151.04,112.57,113.72,144.77,155.21
Cash & Bank,155.41,223.05,213.04,266.83,356.08,549.65,461.19,461.98,669.1,1168.7
No. of Equity Shares,18967584,18967584,18967584,18967584,18967584,18967584,18967584,18967584,18967584,18967584
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,143.03,124.1,242.16,179.58,310.78,149.96,224.3,138.42,138.08,298.75
Cash from Investing Activity,-75.52,-45.06,-240.54,-119.91,-205.2,-428.65,-165.3,-23.8,-178.17,-270.15
Cash from Financing Activity,-11.24,-11.39,-11.62,-14.16,-17.61,-18.29,-47.58,-18.57,-28.45,-31.07
Net Cash Flow,56.27,67.65,-10,45.51,87.98,-296.98,11.42,96.05,-68.54,-2.47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,2033.95,5710.85,6247.9,5826.1,7930.8,6662.05,6141.3,6590.05,7631.7,10408.85
,,,,,,,,,,
