COMPANY NAME,MACROTECH DEVELOPERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1123.65,,,,,,,,,
Market Capitalization,111801.26,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,6235.56,8248.68,7926.46,9677.27,11906.98,12442.59,5448.57,9233.2,9470.4,10316.1
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,4.32,3.92,4.09,12.21,4.87,3.81,0.89,1.6,15.7,
Other Mfr. Exp,3923.61,5176.11,5330.48,6726.26,7486.03,9692.26,3697.11,6183.9,6189,
Employee Cost,554.67,674.38,701.62,837.68,389.9,390.45,286.35,354.4,423.9,471.2
Selling and admin,402.91,454,444.73,721.58,697.8,537.25,319.84,508.8,747.6,
Other Expenses,-116.69,-185.71,-168.17,-302.6,149.16,-97.76,-238.31,-1.7,30.3,7182.1
Other Income,422.64,509.5,583.86,285.11,71.63,118.55,-139.67,293,-1036.6,48.5
Depreciation,127.96,449.85,460.08,395.05,194.45,292.4,73.42,74.8,92.8,203.9
Interest,491.94,987.67,736.4,390.25,567.52,739.71,1136.44,687.9,482,479.8
Profit before tax,1269.48,1197.96,1001.09,1181.95,2488.88,1003.02,33.16,1716.5,452.5,2027.6
Tax,471.48,495.15,417.05,387.9,844.9,261.5,-14.73,508,-37,473.4
Net profit,798.01,702.81,584.03,794.04,1636.15,727.56,40.16,1202.4,486.7,1549.1
Dividend Amount,,,,,,,,,96.36,223.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2059.44,3444.56,2675.8,1765.4,1773.8,3255.4,1617.4,1749.6,2930.6,4018.5
Expenses,1580.62,2538.83,2209.7,1342.9,1370,2486.7,1288.9,1337.5,2054.6,2972.3
Other Income,96.6,37.36,,-1181.6,128.6,16.3,54.4,5.5,-76.8,65.4
Depreciation,18.71,19,19.6,21.9,21.7,29.6,24,29.3,33.3,117.3
Interest,157.25,121.79,119.3,124.9,117.6,117.2,124.1,123.1,116.8,115.8
Profit before tax,399.46,802.3,327.2,-905.9,393.1,638.2,234.8,265.2,649.1,878.5
Tax,113.08,264.28,55.9,27,-11.9,-108,55.6,62.4,143.9,211.5
Net profit,285.59,535.46,270.8,-933,404.6,744.4,178.4,201.9,503.3,665.5
Operating Profit,478.82,905.73,466.1,422.5,403.8,768.7,328.5,412.1,876,1046.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,108.11,108.11,113.11,395.88,395.88,395.88,395.88,481.5,481.8,994.5
Reserves,3185.99,3864.74,3919.88,4756.33,3445.12,4156.44,4203.07,11623.5,12180.8,16474.8
Borrowings,11851.83,13834.69,16182.91,22616.11,25640.56,18423.15,18192.89,11536.7,9050.8,7697.6
Other Liabilities,12751.9,13173.3,13714.88,12483.04,20382.34,17717.04,16516.19,14762.8,17408.3,22058.3
Total,27897.83,30980.84,33930.78,40251.36,49863.9,40692.51,39308.03,38404.5,39121.7,47225.2
Net Block,2289.87,1899.06,1753.35,2197,2138.82,2020.92,1946.29,1922.8,1827.5,1173
Capital Work in Progress,4.48,175.67,109.43,5.92,6.29,6.29,6.29,,,
Investments,595.22,611.05,1179.63,1384.12,1404.96,1552.94,1579.38,574,246,2500.3
Other Assets,25008.26,28295.06,30888.37,36664.32,46313.83,37112.36,35776.07,35907.7,37048.2,43551.9
Total,27897.83,30980.84,33930.78,40251.36,49863.9,40692.51,39308.03,38404.5,39121.7,47225.2
Receivables,1068.18,684.51,604.28,758.66,484.32,794.29,654.53,645.1,739.3,799.9
Inventory,19170.09,21023.23,22208.38,31434.35,41512.41,29031.44,28300.7,27358.3,30116.7,33993
Cash & Bank,434.93,304.71,278.57,522.45,657.54,186.95,366.8,1245.7,1824.2,2634.8
No. of Equity Shares,216216000,216216000,226216000,395878000,395878000,395878000,395878000,481506362,481788874,
New Bonus Shares,,,,,282770000,,,,,
Face value,5,5,5,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,387.31,1469.44,695.57,-463.18,3772.01,2523.95,1998.3,2750,2512.3
Cash from Investing Activity,,-854.18,-1173.63,-650.55,-175.41,182.4,420.22,1139,1789.2,-2947
Cash from Financing Activity,,330.09,-311.66,24.37,735.9,-4188.4,-2835.13,-2887.8,-3705.5,950.9
Net Cash Flow,,-136.78,-15.85,69.39,97.31,-233.99,109.04,249.5,833.7,516.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,563.1,465.15,1135.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
