COMPANY NAME,V I P INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,534.1,,,,,,,,,
Market Capitalization,7581.94,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,942.09,1017.35,1191.52,1251.54,1409.59,1784.66,1714.35,618.56,1289.51,2082.32
Raw Material Cost,562.23,620.34,717.74,670.79,709.12,1048.26,720.47,200.03,756.34,1038.44
Change in Inventory,29.91,47.6,55.03,-5.23,22.55,170.21,-64.16,-153.49,135.56,53.08
Power and Fuel,13.07,13.45,14.27,12.34,13.19,19.17,21.05,9.96,16.68,21.89
Other Mfr. Exp,33.54,30.04,35,39.73,75.72,112.34,122.3,62.5,109.73,151.09
Employee Cost,93.38,111.78,125.94,139.79,159.57,201.19,210.73,137.74,189.06,235.89
Selling and admin,198.55,218.86,241.06,244.65,245.07,306.93,238.61,91.77,168.13,311.2
Other Expenses,-11.22,-8.78,2.59,4.61,33.75,39.89,40.58,27.3,38.41,59.81
Other Income,18.31,6.81,2.57,7.43,9.06,8.32,-36,48.35,35.75,-15.51
Depreciation,17.05,17.52,14.18,13.61,12.85,16.61,86.81,77.94,69.96,73.66
Interest,3.96,3.06,3.23,2.62,2.4,3.86,25.23,30.79,26.35,31.38
Profit before tax,79.75,65.49,95.11,125.6,189.53,214.94,148.41,-124.61,86.16,196.53
Tax,22.11,18.9,28.65,40.39,62.78,69.67,36.68,-27.12,19.23,44.19
Net profit,57.64,46.59,66.46,85.21,126.75,145.27,111.73,-97.49,66.93,152.34
Dividend Amount,24.02,21.2,28.26,33.91,42.39,45.22,45.22,,35.36,63.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,330.06,397.34,355.9,590.61,514.74,526.4,450.57,636.13,546.09,546.42
Expenses,288.27,340.19,323.32,488,443.16,453.44,386.29,555.53,493.21,494.17
Other Income,6.75,9.4,5.83,22.05,5.28,2.58,-42.67,28.42,2.57,2.66
Depreciation,17.48,17.42,17,18.02,17.97,18.05,19.62,20.88,23.82,26.56
Interest,6.5,5.42,5.37,6.54,6.92,6.61,8.41,10.77,12.36,15.16
Profit before tax,24.56,43.71,16.04,100.1,51.97,50.88,-6.42,77.37,19.27,13.19
Tax,6.02,10.24,3.65,31,8.57,6.78,-2.16,19.62,5.99,6.04
Net profit,18.54,33.47,12.39,69.1,43.4,44.1,-4.26,57.75,13.28,7.15
Operating Profit,41.79,57.15,32.58,102.61,71.58,72.96,64.28,80.6,52.88,52.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,28.26,28.26,28.26,28.26,28.26,28.26,28.26,28.26,28.29,28.33
Reserves,258.76,277.49,311.05,379.64,460.83,553.12,581.85,488.92,531.38,613.36
Borrowings,16.08,31.03,14.28,,,86.15,269.37,353.44,298.18,352.26
Other Liabilities,145.94,162.64,231.29,200.83,283.56,403.53,363.77,223.26,371.42,420.91
Total,449.04,499.42,584.88,608.73,772.65,1071.06,1243.25,1093.88,1229.27,1414.86
Net Block,84.87,71.29,66.56,61.05,77.04,116.69,370.59,288.2,264.78,309.19
Capital Work in Progress,0.74,1.09,1.09,0.58,3.2,5.8,2.76,2.28,7.49,15.3
Investments,0.01,0.01,0.01,68.27,71.87,0.77,40.77,140.98,41.71,23.47
Other Assets,363.42,427.03,517.22,478.83,620.54,947.8,829.13,662.42,915.29,1066.9
Total,449.04,499.42,584.88,608.73,772.65,1071.06,1243.25,1093.88,1229.27,1414.86
Receivables,95.01,111.1,149.33,120.96,176.88,298.61,267.44,148.47,218.51,255.37
Inventory,175.62,226.89,287.42,282.63,316.52,527.35,448.15,301.65,518.38,587.11
Cash & Bank,11.09,7.52,8.03,10.61,23.49,14.23,10.76,90.5,20.73,36.49
No. of Equity Shares,141317300,141317315,141317315,141317315,141317315,141317315,141317315,141317315,141473441,141655235
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,50.26,13.59,53.38,126.38,85.19,-55.92,291.97,85.09,-23.68,174.89
Cash from Investing Activity,-1.81,-2.88,-8.35,-72.91,-28.65,15.93,-85,-145.09,146.1,-84.47
Cash from Financing Activity,-49.31,-13.87,-44.7,-51.3,-43.98,30.58,-210.92,73.53,-125.51,-74.57
Net Cash Flow,-0.86,-3.16,0.33,2.17,12.56,-9.41,-3.95,13.53,-3.09,15.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,104.7,93.1,105.2,197.9,318.65,483.35,240.15,354.15,745.65,572.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
