COMPANY NAME,BRIGADE ENTERPRISES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1052.2,,,,,,,,,
Market Capitalization,24272.52,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,946.76,1310.83,2037.92,2024.14,1897.2,2972.78,2632.16,1949.97,2998.78,3444.61
Raw Material Cost,217.59,250.09,479.24,250.07,271.71,1539.7,922.02,917.01,693.89,1168.59
Change in Inventory,196.17,381.25,202.48,-4.66,67.64,678.05,401.52,695.19,426.22,1102.72
Power and Fuel,16.11,25.28,23.12,26.18,32.09,33.68,42.91,32.38,59.37,54.06
Other Mfr. Exp,345.21,735.62,908.26,771.92,671.72,764.46,848.98,864.97,1365.93,1776.29
Employee Cost,91.91,105.32,125.85,144.22,155.32,188.88,216.83,151.6,207.7,270.02
Selling and admin,160,169.62,191.37,203.97,238.76,283.88,286.92,178.64,300.73,369.93
Other Expenses,13.62,23.11,22.4,43.41,38.68,41.4,48.93,24.76,27.25,42.23
Other Income,19.93,20.01,34.04,28.89,36.2,47.09,26.64,-17.16,8.97,160.51
Depreciation,81.76,99.18,105.92,122.55,137.66,140,192.04,236.93,350.54,314.58
Interest,113.07,131.39,199.01,246.48,259.4,278.5,340.34,346.81,443.6,434.15
Profit before tax,123.59,172.48,219.27,239.57,195.7,427.42,161.35,-125.1,-15.04,277.99
Tax,34.64,57.53,80.19,73.16,62.82,145.52,47.35,-28.69,49.72,55.82
Net profit,91.97,95.23,123.94,153.08,139.2,239.91,130.58,-46.32,82.77,291.41
Dividend Amount,22.45,22.55,22.64,28.42,27.21,27.24,40.88,25.31,34.54,46.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,752.66,921.02,942.31,902.49,879.24,820.31,842.57,653.97,1366.58,1173.77
Expenses,560.29,663.51,737.12,669.84,662.78,612.39,640.59,479.16,1041.81,911.73
Other Income,8.45,12.96,2.54,31.61,51.24,38.32,46.54,31.46,41.34,34.41
Depreciation,88.13,87.09,90.8,75.08,77.99,78.13,83.38,68.11,75.73,82.08
Interest,112.8,108.23,109.41,106.09,109.63,118.43,100,108.12,110.03,134.91
Profit before tax,-0.11,75.15,7.52,83.09,80.08,49.68,65.14,30.04,180.35,79.46
Tax,13.54,28.74,19.15,18.44,28.33,7,2.05,8.15,67.85,23.67
Net profit,12.03,78.36,32.47,87.68,77.58,56.9,69.25,38.53,133.5,73.49
Operating Profit,192.37,257.51,205.19,232.65,216.46,207.92,201.98,174.81,324.77,262.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,112.25,112.74,113.18,113.66,136.07,136.18,204.38,210.91,230.26,230.73
Reserves,1167.98,1243.95,1424.63,1581.25,2150.95,2033.22,2048,2136.75,2679.67,3014.28
Borrowings,1021.47,1663.21,2458.7,2576.31,3389.6,3785.38,4521.5,5004.74,4906.1,4634.36
Other Liabilities,1039.61,1278.18,2000.11,2078.73,2133.12,4845.08,5476.97,6461.13,7285.02,8486.05
Total,3341.31,4298.08,5996.62,6349.95,7809.74,10799.86,12250.85,13813.53,15101.05,16365.42
Net Block,1226.63,1361.92,340.13,1430.65,1804.82,2276.67,2997.84,5019.88,4905.14,4681.12
Capital Work in Progress,245.99,485.65,1410.83,1563.68,2129.12,2009.71,2097.47,494.91,540.65,740.47
Investments,82.17,34.47,994.02,54.01,235.85,97.67,72.14,89,508.62,61.7
Other Assets,1786.52,2416.04,3251.64,3301.61,3639.95,6415.81,7083.4,8209.74,9146.64,10882.13
Total,3341.31,4298.08,5996.62,6349.95,7809.74,10799.86,12250.85,13813.53,15101.05,16365.42
Receivables,37.19,14.96,42.94,37.37,176.95,420.82,430.61,527.19,504.17,461.6
Inventory,1123.09,1544.38,2306.69,2263.91,2179.47,4816.06,5209.36,5901.97,6222.8,7327.31
Cash & Bank,38.29,82.93,108.93,136.33,146.58,222.22,304.91,559.42,944.75,1478.08
No. of Equity Shares,112251940,112740000,113180000,113664740,136074611,136181041,204300000,210910000,230260000,230730000
New Bonus Shares,,,,,,,68101581,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,490.34,25.96,338.69,397.83,48.73,467.21,464.89,802.88,1032.08,966.47
Cash from Investing Activity,-233.75,-383.62,-948.02,-334.59,-1084.22,-451.96,-716.58,-748.39,-971.44,-270.6
Cash from Financing Activity,-261.61,373.38,630.73,-57.87,1031.68,44.79,320.98,29.74,33.37,-695.23
Net Cash Flow,-5.02,15.72,21.4,5.37,-3.81,60.04,69.29,84.23,94.01,0.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
