COMPANY NAME,OIL INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,617.35,,,,,,,,,
Market Capitalization,66945.76,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,9689.83,9978.38,9821.13,9566.36,10697.75,13780.45,18612.45,17616.05,25905.59,36097.38
Raw Material Cost,,,,,28.29,208.23,4047.6,3856.39,5653.42,9343.81
Change in Inventory,-7.87,17.36,-25.83,49.19,-20.68,26.17,465.86,245.37,266.5,1246.43
Power and Fuel,32.94,33.27,32.43,29.74,31.34,36.84,174.98,175.08,193.92,309.66
Other Mfr. Exp,846.4,848.11,1015.07,1086.17,1112.12,1301.94,1314.8,1814.4,1843.72,2061.12
Employee Cost,1957.74,2162.97,1927.48,2177.38,2183.14,2037.02,2621.41,2877.65,2567.79,2969.84
Selling and admin,2994.73,3045.35,2821.08,2565.49,2958,3890.88,3496.43,2574.64,4404.18,6042.48
Other Expenses,203.97,273.47,413.57,636.28,436.65,741.19,2107.95,874.73,1008.69,1348.83
Other Income,1588.66,1258.39,1197.55,792.58,1811.87,1250.93,2147.28,1184.71,1254.45,723.64
Depreciation,821.58,864.75,1070.48,1180.38,1326.64,1540.73,1785.71,1844.13,1824.48,1946.94
Interest,70.78,349.09,388.87,440.6,553.68,623.53,646.68,660.47,940.12,900.89
Profit before tax,4342.48,3677.12,3323.87,2292.09,3859.08,4677.19,5030.03,4368.64,8990.22,13143.88
Tax,1420.06,1192.24,1244.31,695.53,1124.46,1439.39,24.7,222.67,2271,3289.49
Net profit,2990.33,2608.4,2079.56,1596.56,2734.62,3237.8,4701.11,3527.84,5621.63,8728.59
Dividend Amount,1292.45,1202.28,961.82,1142.15,1134.9,1111.52,1149.47,542.2,1545.28,2168.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,7254.12,6782.6,8869.71,10677.99,8258.72,9301.98,7851.78,6208.22,7496.51,9614.29
Expenses,4939.71,4584.69,5421.86,5803.79,5555.46,5393.59,4548.82,3931.7,4027.38,6171.05
Other Income,267.15,692.42,424.81,171.33,727.46,131.56,172.55,258.59,-1983.2,635.29
Depreciation,499.21,542.83,310.36,467.85,511.4,529.97,437.72,477.58,499.04,576.08
Interest,225.64,213.49,240.88,244.4,257.58,245.97,152.94,214.18,278.92,236.22
Profit before tax,1856.71,2134.01,3321.42,4333.28,2661.74,3264.01,2884.85,1843.35,707.97,3266.23
Tax,402.43,611.05,794.09,1103.05,545.91,735.42,905.11,443.86,67.61,658.57
Net profit,1151.63,1297.79,2117.69,2805.16,1896.19,2284.41,1742.83,1426.6,420.66,2347.12
Operating Profit,2314.41,2197.91,3447.85,4874.2,2703.26,3908.39,3302.96,2276.52,3469.13,3443.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,601.14,601.14,601.14,801.51,756.6,1084.41,1084.41,1084.41,1084.41,1084.41
Reserves,20080.02,20900.31,24576.69,28717.85,28273.39,27890.06,22126.41,22582.01,29477.5,37397.08
Borrowings,10146.35,9070.14,9721.56,14183.83,12329.31,15113.71,12743.28,19718.42,16720.53,18831.75
Other Liabilities,4570.87,6548.7,5344.22,7600.12,7353.03,8429.63,20981.4,12150.54,13846.46,16865.82
Total,35398.38,37120.29,40243.61,51303.31,48712.33,52517.81,56935.5,55535.38,61128.9,74179.06
Net Block,6475.37,7251.31,2813.29,3827.35,5121.23,5236.49,8294.44,6096.79,6185.43,6884.89
Capital Work in Progress,2815.51,3754.81,1812.5,1893.64,988.08,1267.42,2368.06,3170.66,5899.66,11953.19
Investments,5223.46,5572.82,15052.27,27460.89,26656.73,26450.53,25718.22,24010.06,27099.32,27923.71
Other Assets,20884.04,20541.35,20565.55,18121.43,15946.29,19563.37,20554.78,22257.87,21944.49,27417.27
Total,35398.38,37120.29,40243.61,51303.31,48712.33,52517.81,56935.5,55535.38,61128.9,74179.06
Receivables,480.86,2384.35,1327.89,1011.36,1413.77,1317.74,1501.99,1855.57,1750.48,2400.34
Inventory,1038.88,1106.96,1052.99,1165.49,1156.12,1305.32,3265.4,3462.61,4222.78,5410.46
Cash & Bank,11660.11,8818.95,10020.47,6671.71,3319.97,6415.67,4230.77,1586.64,1550.27,3459.3
No. of Equity Shares,601136000,601135955,601135955,801514607,756602607,1084405194,1084405194,1084405194,1084405194,1084405194
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,2616.08,1753.55,3596.63,3113.94,3933.07,5023.08,6492.55,5235.27,9309.57,11410.41
