COMPANY NAME,CELLO WORLD LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,879.5,,,,,,,,,
Market Capitalization,18688.62,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,,1049.46,1359.18,1796.7
Raw Material Cost,,,,,,,,461.8,642.76,857.87
Change in Inventory,,,,,,,,-12.74,54,63.3
Power and Fuel,,,,,,,,35.92,48.4,56.92
Other Mfr. Exp,,,,,,,,76.51,138.21,157.39
Employee Cost,,,,,,,,96.85,131.92,157.58
Selling and admin,,,,,,,,81.77,107.44,182.95
Other Expenses,,,,,,,,7.13,10.88,26.75
Other Income,,,,,,,,10.13,15.93,16.74
Depreciation,,,,,,,,48.9,47.55,50.33
Interest,,,,,,,,2.28,2.85,1.76
Profit before tax,,,,,,,,235.69,299.1,385.19
Tax,,,,,,,,70.15,79.58,100.13
Net profit,,,,,,,,151.2,204,266.13
Dividend Amount,,,,,,,,,0.01,165.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,,2022-06-30 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,,,432.61,471.78,488.96,527.06
Expenses,,,,,,,335.85,352.61,368.69,394.96
Other Income,,,,,,,3.99,8.11,10.68,4.48
Depreciation,,,,,,,11.71,11.82,12.66,14.72
Interest,,,,,,,0.37,0.56,0.7,0.49
Profit before tax,,,,,,,88.67,114.9,117.59,121.37
Tax,,,,,,,22.62,32.08,31.01,30.71
Net profit,,,,,,,61.88,77.43,79.99,84.87
Operating Profit,,,,,,,96.76,119.17,120.27,132.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,,0.01,0.01,97.5
Reserves,,,,,,,,-106.76,87.64,238.95
Borrowings,,,,,,,,334.07,462.91,335.11
Other Liabilities,,,,,,,,917.07,780.3,875.42
Total,,,,,,,,1144.39,1330.86,1546.98
Net Block,,,,,,,,259.21,258.58,271.71
Capital Work in Progress,,,,,,,,4.27,14.55,25.65
Investments,,,,,,,,119.74,149.95,176.91
Other Assets,,,,,,,,761.17,907.78,1072.71
Total,,,,,,,,1144.39,1330.86,1546.98
Receivables,,,,,,,,371.43,406.72,462.3
Inventory,,,,,,,,306.93,376.55,429.76
Cash & Bank,,,,,,,,32.47,54.68,49.93
No. of Equity Shares,,,,,,,,10000,10000,195000000
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,10,10,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,,193.61,187.27,227.35
Cash from Investing Activity,,,,,,,,-53.24,-261.82,-556.82
Cash from Financing Activity,,,,,,,,-132.81,94.11,323.82
Net Cash Flow,,,,,,,,7.56,19.56,-5.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,,19.5
