COMPANY NAME,OBEROI REALTY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1458.5,,,,,,,,,
Market Capitalization,53049.08,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,798.45,922.67,1416.01,1113.62,1265.4,2582.5,2237.63,2052.58,2693.97,4192.58
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,430.98,490.35,405.25,1151.69,-272.79,373.47,3507.01
Power and Fuel,1.18,4.24,2.03,2.75,3,4.63,6.56,3.86,1.18,1.06
Other Mfr. Exp,293.79,321.86,644.68,870.77,968.93,1667.44,2209.46,633.71,1735.36,5405.9
Employee Cost,82.28,95.41,116,122.19,132.69,136.9,143.37,115.09,146.53,200.35
Selling and admin,24.46,38.17,38.4,46.17,53.6,88.04,70.36,65.91,63.46,64.48
Other Expenses,-38.02,-50.8,-61.41,-68.21,-78.91,-64.78,-88.75,-39.36,-61.14,-83.86
Other Income,57.08,17.49,42.76,49.57,29.01,85.5,53.91,41.08,297.34,321.02
Depreciation,27.15,40.29,49,49.5,49.07,44.04,44.87,41.19,39.78,39.75
Interest,0.31,1.76,6.83,5.57,6.86,19.36,88.47,76.04,86.03,169.05
Profit before tax,464.38,489.23,663.24,565.43,649.52,1177.62,968.89,924.43,1353.58,2223.88
Tax,153.32,172.1,229.28,186.85,190.73,360.69,279.56,185.13,306.48,319.34
Net profit,311.06,317.12,435.56,378.59,458.8,816.93,689.33,739.29,1047.1,1904.55
Dividend Amount,65.65,65.65,67.86,67.91,67.92,72.72,,,109.08,145.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,754.25,832.01,823.46,913.11,688.59,1629.46,961.43,909.97,1217.41,1053.64
Expenses,381.11,500.45,471.69,420.94,378.15,689.09,592.73,436.24,579.2,544.28
Other Income,16.05,249.52,20.28,66.99,123.78,36.48,93.77,25.32,28.48,31.4
Depreciation,10.12,9.9,9.67,9.78,10.05,10.18,9.74,11.3,11.31,11.37
Interest,17.13,19.96,31.6,32.6,36.31,38.09,62.05,61.53,56.49,50.06
Profit before tax,361.94,551.22,330.78,516.78,387.86,928.58,390.68,426.22,598.89,479.33
Tax,95.35,83.69,98.43,113.7,69.24,226.01,-89.61,104.58,142.13,119.18
Net profit,266.59,467.53,232.35,403.08,318.62,702.57,480.29,321.64,456.76,360.15
Operating Profit,373.14,331.56,351.77,492.17,310.44,940.37,368.7,473.73,638.21,509.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,328.23,328.24,339.3,339.54,339.6,363.6,363.6,363.6,363.6,363.6
Reserves,4068.16,4306.05,5001.82,5386.43,5752.77,7665.57,8265.88,9005.54,10052.54,11846.52
Borrowings,76.06,901.56,473.45,868.64,1694.06,1585.84,1518.84,1533.8,2855.47,3944.09
Other Liabilities,1014.58,1584.12,1669.19,1864.81,2401.25,1482.7,1044.67,1115.85,2394.22,2471.32
Total,5487.03,7119.97,7483.76,8459.42,10187.68,11097.71,11192.99,12018.79,15665.83,18625.53
Net Block,931.17,1280.15,246.58,944.95,976.34,1061.59,1046.49,1013.61,979.64,948.83
Capital Work in Progress,433.7,21.77,48.76,109.51,112.63,126.06,305.46,1979.88,3297.53,4031.17
Investments,49.64,0.01,2181.53,1824.3,2420.04,2937.75,2406.25,1619.62,2679.4,702.65
Other Assets,4072.52,5818.04,5006.89,5580.66,6678.67,6972.31,7434.79,7405.68,8709.26,12942.88
Total,5487.03,7119.97,7483.76,8459.42,10187.68,11097.71,11192.99,12018.79,15665.83,18625.53
Receivables,86.2,82.81,112.24,105.79,181.17,109.4,115.25,127.98,124.58,1098.31
Inventory,1649.13,3481.75,3339.24,3766.37,4246.73,4165.47,5317.28,4662.61,5036.08,8543.09
Cash & Bank,499.74,293.68,311.87,345.79,116.72,425.31,108.34,133.08,293.15,512.92
No. of Equity Shares,328233262,328237969,339303845,339535426,339602237,363602237,363602237,363602237,363602237,363602237
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-517.31,-938.23,453.09,173.83,-202.21,145.56,-281.98,696.01,1068.73,-2383.04
Cash from Investing Activity,714.88,-88.1,-120.82,-559.1,-591.87,-645.77,358.42,-590.95,-1389.96,1135.66
Cash from Financing Activity,-0.77,693.61,-204.23,335.28,651,838.95,-309.49,-116.38,1142.21,708.84
Net Cash Flow,196.8,-332.72,128.04,-49.99,-143.08,338.74,-233.04,-11.33,820.98,-538.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
