COMPANY NAME,ASTRA MICROWAVE PRODUCTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,635.1,,,,,,,,,
Market Capitalization,6035.9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,522.81,622.29,405.92,389.79,362.2,293.49,467.22,640.91,750.46,815.52
Raw Material Cost,394.4,450.68,163.19,190.14,141.99,180.08,333.54,486.21,542.1,539.58
Change in Inventory,46.55,27.24,-51.18,2.62,-5.13,17.86,68.27,40.34,14.89,21.3
Power and Fuel,3.07,2.82,2.36,2.81,3.29,3.16,3.62,3.48,3.59,4.49
Other Mfr. Exp,8.67,7.67,10.32,14.69,10.92,11.02,12.01,14.37,18.36,19.22
Employee Cost,38.22,42.03,53.36,60.59,70,65.25,72.01,71.78,81.29,96.43
Selling and admin,30.88,33.79,34.82,16.58,13.54,16.35,18.6,15.63,20.58,23.3
Other Expenses,5.39,-3.21,-10.1,4.17,3.76,4.88,8.21,12.87,12.12,8.7
Other Income,7.57,6.19,8.53,6.03,8.46,24.52,12.16,10.84,6.38,5.47
Depreciation,14.81,22.05,24.04,24.49,27.41,28.9,25.76,23.54,22.04,23.65
Interest,11.87,15.17,14.09,15.24,14.88,12.87,14.76,25.66,21.44,30.97
Profit before tax,69.62,84.72,71.19,69.73,79.74,13.36,59.14,38.55,50.21,95.95
Tax,18.78,21.95,14.82,12.14,18.65,3.6,15.1,9.7,12.34,26.11
Net profit,50.84,62.76,56.26,57.58,61.09,9.76,44.04,28.85,37.87,69.83
Dividend Amount,9,9.82,10.39,8.66,10.39,2.16,10.39,10.39,12.12,13.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,179.86,202.36,239.44,162.08,174.69,220.3,258.44,133.73,190.12,231.02
Expenses,168.18,176.41,214.93,139.96,135.86,169.49,225.54,130.79,148.47,164.88
Other Income,2.51,1.18,1.84,0.81,2.07,1.64,0.96,1.99,9.26,6.13
Depreciation,5.07,5.93,6.2,5.5,5.85,6.03,6.27,5.65,6.27,6.64
Interest,5.26,5.52,4.58,5.68,6.98,8.24,9.63,7.45,6.23,8.14
Profit before tax,3.86,15.68,15.57,11.75,28.07,38.18,17.96,-8.17,38.41,57.49
Tax,0.48,4.27,4.68,3.64,7.56,10.5,4.43,-1.44,8.39,14.12
Net profit,3.38,11.42,10.9,8.1,20.52,27.68,13.52,-6.74,30.02,43.38
Operating Profit,11.68,25.95,24.51,22.12,38.83,50.81,32.9,2.94,41.65,66.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,16.37,16.37,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32
Reserves,224.82,275.46,381.98,432.63,483.71,482.24,522.83,541.38,568.27,625.3
Borrowings,60.81,92.31,69.57,137.8,95.39,16.8,59.62,121.55,70.4,185.46
Other Liabilities,262.63,111.26,82.45,61.41,79.61,98.87,295.6,265.05,312.53,228.93
Total,564.63,495.4,551.32,649.16,676.03,615.23,895.37,945.3,968.52,1057.01
Net Block,126.05,141.6,136.84,149.73,194.48,178.17,160.71,152.72,159.64,166.83
Capital Work in Progress,,,1.25,37.2,0.73,2.43,12.06,,0.08,2.17
Investments,2.26,0.11,,57.3,125.74,34.71,26.23,30.2,13.85,11.03
Other Assets,436.32,353.69,413.23,404.93,355.08,399.92,696.37,762.38,794.95,876.98
Total,564.63,495.4,551.32,649.16,676.03,615.23,895.37,945.3,968.52,1057.01
Receivables,131.31,111.87,177.33,219.56,190.41,192.14,249.36,266.82,205.08,283.65
Inventory,158.47,173.21,122.37,129.56,107.18,139.77,283.55,329.61,419.34,419.06
Cash & Bank,63.67,29.05,87.14,2.38,29.68,27.91,53.23,42.53,77.48,110.86
No. of Equity Shares,81825225,81825225,86611675,86611675,86611675,86611675,86611675,86611675,86611675,86611675
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-25.66,-5.08,58.55,14.39,178.83,1.47,-7.28,-24.6,114.67,-25.47
Cash from Investing Activity,-13.61,-27.84,-18.01,-123.41,-94.35,85.42,-30.22,-0.76,-25.97,-28.19
Cash from Financing Activity,0.45,11.16,21.1,45.91,-64.75,-98.42,36.77,33.79,-78.74,74.78
Net Cash Flow,-38.82,-21.77,61.64,-63.11,19.73,-11.53,-0.73,8.43,9.96,21.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,50.65,147.5,105.75,111,76.7,98.9,51.9,129.65,224.95,224.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
