COMPANY NAME,CESC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,140.05,,,,,,,,,
Market Capitalization,18571.09,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,10110.85,11066.63,12124.19,8363.36,10274.86,10664.14,12158.89,11631.51,12543.88,14246.35
Raw Material Cost,,,,,,,,,,
Change in Inventory,32.01,31.45,20.36,,,,,,-15.24,-13.55
Power and Fuel,2895.28,3236.48,2591.45,3496.83,4898.46,5535.39,6432.57,5911.44,6797.58,9135.2
Other Mfr. Exp,1786.47,1983.21,2066.9,615.51,447.73,468.42,535.56,628.07,749.93,735.91
Employee Cost,3085,3020.94,3264.2,872.77,1130.3,1232.92,1252.55,1193.79,1216.13,1259.54
Selling and admin,554.94,586.08,341.97,66.96,80.41,67.4,58.69,66.33,68.3,72.19
Other Expenses,123.1,292.65,594.91,457.68,678.26,434.35,622.61,538.74,662.04,755.71
Other Income,176.73,153.19,116.44,474.6,454.21,1163.17,842.4,665.1,1013.41,1584.17
Depreciation,471.41,588.94,766.48,714.78,751.47,763.78,847.98,866.65,884.66,877.87
Interest,644.91,1044.87,1592.94,1482.25,1410.97,1432,1483.71,1340.05,1247.93,1241.45
Profit before tax,758.48,498.1,1042.14,1131.18,1331.47,1893.05,1767.62,1751.54,1915.48,1739.1
Tax,185.59,199.21,313.01,320.99,356.22,694.98,458.62,388.73,511.4,341.77
Net profit,491.64,198.51,598.48,690.84,912.6,1183.98,1267.04,1330.93,1358.07,1342.83
Dividend Amount,100.48,119.9,133.22,133.22,159.86,233.14,266.44,599.49,599.49,599.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3494,2826,3011,4102,3913,3129,3102,4310,4352,3244
Expenses,2580,2281,2315,3452,3423,2633,2589,3586,3706,2898
Other Income,66,408,409,191,421,426,547,323,423,617
Depreciation,222,221,223,217,221,219,221,300,303,303
Interest,278,273,298,265,274,289,289,308,305,296
Profit before tax,480,459,584,359,416,414,550,439,461,364
Tax,140,119,139,62,97,78,105,71,98,63
Net profit,335,329,424,286,305,319,433,347,348,281
Operating Profit,914,545,696,650,490,496,513,724,646,346
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,125.6,133.22,133.22,133.22,133.22,133.22,133.22,133.22,133.22,133.22
Reserves,5509.41,5895.81,10470.49,10489.47,8286.95,8840.62,9278.42,9739.56,10263.21,10777.15
Borrowings,11916.39,14202.04,14877.44,15599.38,14577.75,14478.82,13990.86,14277.08,14960.8,14262.84
Other Liabilities,7396.32,7629.29,10946.53,11248.37,9988.34,10017,12054.52,11711.67,12136.24,12538.68
Total,24947.72,27860.36,36427.68,37470.44,32986.26,33469.66,35457.02,35861.53,37493.47,37711.89
Net Block,14511.1,20868.69,26500.44,26626.19,23853.53,23648.54,24739.13,24197.47,23215.63,22825.89
Capital Work in Progress,5311.74,410.16,504.9,391.89,216.63,161.44,167.6,133.56,102.48,140.42
Investments,105.99,669.64,1002.15,1109.5,1173.71,1185.45,179.66,308.37,459.64,76.99
Other Assets,5018.89,5911.87,8420.19,9342.86,7742.39,8474.23,10370.63,11222.13,13715.72,14668.59
Total,24947.72,27860.36,36427.68,37470.44,32986.26,33469.66,35457.02,35861.53,37493.47,37711.89
Receivables,1530.15,1706.55,1413.17,1559.64,1537.4,1738.85,1839.18,2314.98,2095.49,2191.52
Inventory,542.85,667.93,701.98,850.73,582.59,700.45,720.17,597.67,659.42,880.22
Cash & Bank,1209.88,1049.16,1197.01,1606.06,1193.96,1030.67,1978.6,1857.93,3249.46,2588.35
No. of Equity Shares,124935900,133217043,133217043,133217043,133217043,133217043,133217043,133217043,1332170430,1332170430
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,2251.06,889.46,2480.41,2655.16,2468.58,2293.93,3408,2805.92,2499.07,1978.35
Cash from Investing Activity,-3180.27,-2381.05,-1219.59,-1493.18,-1605.71,-686.3,-465.89,-1489.24,-575.03,-544.7
Cash from Financing Activity,822.48,1330.87,-1180.91,-759.91,-1485.44,-1737.24,-2218.92,-1739.49,-610.94,-2457.15
Net Cash Flow,-106.73,-160.72,79.91,402.07,-622.57,-129.61,723.19,-422.81,1313.1,-1023.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,39.54,47.63,37.28,66.34,76.2,73.07,40.86,59.36,75.85,66.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,124.94,132.56,132.56,132.56,132.56,132.56,132.56,132.56,132.56,132.56
