COMPANY NAME,BOROSIL RENEWABLES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,494.35,,,,,,,,,
Market Capitalization,6455.06,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,155.74,325.34,414.87,556.96,632.67,761.69,891.24
Raw Material Cost,,,,90.59,144.35,178.97,215.05,225.21,344.13,210.62
Change in Inventory,,,,0.34,0.97,-1.01,9.27,-11.31,80.93,53.95
Power and Fuel,,,,,24.38,33.33,52.07,55.13,74.62,242.42
Other Mfr. Exp,,,,4.58,22.84,25.5,45.58,64.28,86.47,92.82
Employee Cost,,,,17.78,36.68,47.41,73,73.77,90.33,119.94
Selling and admin,,,,29.51,59.37,73.9,95.67,99.63,124.96,123.16
Other Expenses,,,,4.32,9.18,8.27,23.29,11.75,13.42,12.77
Other Income,,,,36.41,56.42,13.55,134.79,28.18,34.5,19.38
Depreciation,,,,3.72,18.46,20.91,32.45,36.85,45.15,54.01
Interest,,,,0.5,2.16,3.56,7.77,7.05,6.19,7.79
Profit before tax,,,,41.49,65.31,35.56,156.14,75.87,91.85,101.04
Tax,,,,4.51,15.06,6.42,19.26,26.73,31.84,30.41
Net profit,,,,39.29,49.44,24.66,128.16,45.19,54.5,69.63
Dividend Amount,,,,6.02,7.52,5.78,5.78,5.78,6.01,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,172.85,232.07,265.61,169.98,169.26,245.75,309.05,354.5,401.66,330.01
Expenses,155.52,201.7,227.17,121.81,127.36,227.04,274.72,328.03,369.17,309.89
Other Income,6.51,3.38,4.78,3.14,2.11,9.74,4.74,8.21,37.46,3.88
Depreciation,11.96,14.53,17.07,10.6,10.75,12.73,19.93,32.42,30.97,34.74
Interest,1.78,2.62,3.58,0.45,0.44,2.1,4.8,9.01,9.61,7.44
Profit before tax,10.1,16.6,22.57,40.26,32.82,13.62,14.34,-6.75,29.37,-18.18
Tax,2.03,3.48,5.64,10.15,8.63,7.79,3.84,4.78,-1.11,-2.29
Net profit,9.4,15.9,19.11,30.11,24.19,5.24,10.1,-8.32,25.05,-15.56
Operating Profit,17.33,30.37,38.44,48.17,41.9,18.71,34.33,26.47,32.49,20.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,3.01,3.01,2.31,2.31,2.31,9.24,13.05
Reserves,,,,656.46,694.86,614.94,763.15,813.6,839.25,906.37
Borrowings,,,,0.86,34.11,100.34,67.27,50.1,113.58,420.69
Other Liabilities,,,,32.89,84.81,114.5,156.02,199.4,226.55,292.14
Total,,,,693.22,816.79,832.09,988.75,1065.41,1188.62,1632.25
Net Block,,,,172.73,264.49,333.81,308.38,383.16,377.12,976.99
Capital Work in Progress,,,,6.04,8.26,7.53,42.9,15.66,137.16,70.11
Investments,,,,380.9,340.95,226.39,263.57,349.75,230.41,10.98
Other Assets,,,,133.55,203.09,264.36,373.9,316.84,443.93,574.17
Total,,,,693.22,816.79,832.09,988.75,1065.41,1188.62,1632.25
Receivables,,,,29.1,52.9,77.52,93.73,123.33,115.31,93.3
Inventory,,,,30.36,59.98,83.57,94.69,88.55,191.23,264.69
Cash & Bank,,,,6.47,7.31,9.45,10.74,13.9,14.15,132.69
No. of Equity Shares,,,,3006000,3006000,2310000,2310000,23100000,92400000,130498179
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,0.63,24.29,32.45,43.41,103.1,-24.51,-6.37
Cash from Investing Activity,,,,7.88,-3.47,162.29,20.23,-67,-25.72,-116.3
Cash from Financing Activity,,,,-7.54,-21.66,-192.71,-64.15,-30.53,39.84,237.53
Net Cash Flow,,,,0.97,-0.84,2.02,-0.52,5.57,-10.39,114.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,5.87,10.63,17.52,40.48,53.72,54.45,410.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,12,12,9.2,9.2,9.24,9.24,13.05
