COMPANY NAME,REC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,511.3,,,,,,,,,
Market Capitalization,134611.53,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,20544.16,24125.33,24337.82,22658.45,25407.71,29942.17,35556.61,39276.46,39485.99,47504.75
Raw Material Cost,0.44,223.6,273.12,7.95,,,,,,
Change in Inventory,,66.79,-22.76,-0.04,,,,,,
Power and Fuel,1.43,2.3,2.34,,,,,,,
Other Mfr. Exp,44.57,79.34,107.1,148.13,486.71,147.77,447.25,908.34,1207.32,
Employee Cost,136.75,143.19,192.75,184.22,177.61,193.34,163.72,181.05,204.52,238.03
Selling and admin,129.99,172.35,76.41,53.06,136.43,57.25,55.16,46.13,65.23,
Other Expenses,836.24,1126.49,1213.46,2985.71,901.74,3583.09,2625.9,3702.98,381.19,-598.47
Other Income,5.51,3.83,24.4,18.05,32.71,72.33,14.92,61.77,27.53,66.48
Depreciation,8.32,19.67,40.33,6.93,8.29,11.77,10.86,18.24,24.26,23.99
Interest,11839.59,14282.35,13461.59,13332.94,15639.2,18991.3,21489.05,22050.96,23733.33,29947.74
Profit before tax,7552.34,8146.66,8972.36,5957.52,8090.44,7029.98,10779.59,12430.53,13897.67,17959.94
Tax,2207.92,2455.24,2658.99,1507,2349.06,2057.71,2401.35,2394.83,2730.69,3814.48
Net profit,5344.42,5691.42,6313.37,4450.52,5741.38,4972.27,8378.24,10035.7,11166.98,14145.46
Dividend Amount,1056.58,1688.56,1905.8,1807.05,2172.41,2172.41,2510.12,3021.63,3317.86,4213.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,10037.05,9633.36,9497.45,9955.99,9781.76,10243.06,11087.56,11688.24,12051.77,12677.18
Expenses,1064.51,1440.1,1174.55,794.27,45.18,-149.1,316.11,-492.26,240.26,-424.55
Other Income,32.06,22.63,8.61,8.01,13.71,11.57,4.21,13.02,19.77,29.48
Depreciation,5.13,5.5,5.95,5.91,6.12,6.28,5.83,6.14,6,6.02
Interest,5547.87,5353.08,5375.59,5727.58,6133.94,6496.22,7048.67,7349.77,7653.59,7895.71
Profit before tax,3451.6,2857.31,2949.97,3436.24,3610.23,3901.23,3721.16,4837.61,4171.69,5229.48
Tax,678.16,555.98,495.81,704.12,694.9,835.86,753.11,1047.71,863.27,1150.39
Net profit,2773.44,2301.33,2454.16,2732.12,2915.33,3065.37,2968.05,3789.9,3308.42,4079.09
Operating Profit,8972.54,8193.26,8322.9,9161.72,9736.58,10392.16,10771.45,12180.5,11811.51,13101.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,987.46,987.46,1974.92,1974.92,1974.92,1974.92,1974.92,1974.92,2633.22,2633.22
Reserves,24085.12,27905.94,31695.64,30612.69,32571.42,33421.51,41789.01,49339.18,55487.29,66717.03
Borrowings,150979.06,169211.64,167851.64,204366.63,244248.81,286288.56,329723.36,333042.67,380789.76,445567.5
Other Liabilities,7404.27,8839.88,8722.72,5415.52,19658.68,25345.09,27379.58,26503.32,26592.48,33273.34
Total,183455.91,206944.92,210244.92,242369.76,298453.83,347030.08,400866.87,410860.09,465502.75,548191.09
Net Block,109.97,254.08,354.85,131.76,165.19,165.8,266.86,628.32,640.8,631.5
Capital Work in Progress,9.81,78.05,165.59,128.69,198.53,288.39,336.44,6.07,2.72,23.59
Investments,1596.02,2351.55,2616.93,2947.78,2462.76,2385.58,1981.42,2190.44,3170,5352.32
Other Assets,181740.11,204261.24,207107.55,239161.53,295627.35,344190.31,398282.15,408035.26,461689.23,542183.68
Total,183455.91,206944.92,210244.92,242369.76,298453.83,347030.08,400866.87,410860.09,465502.75,548191.09
Receivables,120.28,231.89,438.4,133.76,137.72,110.72,140.07,94.55,113,153.82
Inventory,,66.79,51.18,,,,,,,
Cash & Bank,645.71,1864.08,4650.79,2195.27,2115.07,3975.16,3402.82,2659.95,2395.61,2962.5
No. of Equity Shares,987459000,987459000,1974918000,1974918000,1974918000,1974918000,1974918000,1974918000,2633224000,
New Bonus Shares,,,987459000,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-23898.23,-13278.01,6804.52,-32509.81,-35865.8,-32711.91,-43512.33,-818.53,-37359.77,-57722.65
Cash from Investing Activity,151.09,-755.7,-100.96,45.88,456.77,121.43,860.52,-287.44,-942.95,-1830.96
Cash from Financing Activity,23098.11,15291.17,-3946.81,28243.85,35542.59,33926.2,42113.34,67.72,38122.84,59587.82
Net Cash Flow,-649.03,1257.46,2756.75,-4220.08,133.56,1335.72,-538.47,-1038.25,-179.88,34.21
,,,,,,,,,,
