COMPANY NAME,VA TECH WABAG LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,868.15,,,,,,,,,
Market Capitalization,5396.95,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2238.6,2435.15,2508.25,3207.91,3457.28,2780.96,2557.15,2834.49,2979.3,2960.48
Raw Material Cost,,,,,,,,,,
Change in Inventory,-9.15,15.1,49.32,-56.77,-0.62,-2.71,11.09,2.76,2.59,8.4
Power and Fuel,2.24,2.94,3.25,4.21,3.54,3.59,3.42,2.78,2.96,3.38
Other Mfr. Exp,1696.65,1931.97,1997.49,2492.29,2742.74,2127.57,1956.14,2242.57,2317.16,2288.48
Employee Cost,221.74,200.62,211.33,243.97,263.71,253.77,233.45,198.52,250.66,265.51
Selling and admin,58.14,58.72,59.65,65.52,69.02,68.98,59,43.06,47.2,51.19
Other Expenses,61.59,46.02,70.18,105.79,85.85,130.2,98.94,131.56,130.08,42.5
Other Income,17.33,7.27,7.66,11.23,8.17,7.68,39.61,13.96,32.39,-226.38
Depreciation,15.01,10.92,20.49,19.11,17.84,16.79,15.39,12.13,10.13,8.81
Interest,25.21,39.23,45.74,52.58,57.68,75.32,109.02,90.3,87.7,65.8
Profit before tax,166.2,167.1,157.1,178.9,224.45,109.71,132.49,130.29,168.39,16.83
Tax,52.58,56.64,66.8,66.66,77.4,20.49,48.56,29.47,36.33,5.9
Net profit,113.35,110.1,88.73,102.4,131.51,105.02,90.96,110.11,131.91,12.85
Dividend Amount,21.28,21.72,21.8,21.82,21.86,21.88,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,683.96,745.48,891.86,631.68,750.38,651.56,926.86,552.8,665,704.4
Expenses,627.38,669.94,820.36,608.86,696.64,559.6,818.43,497,578.9,606
Other Income,3.37,5.46,11.1,34.98,25.14,-13.68,-231.95,25.7,15.7,3.7
Depreciation,2.6,2.33,2.54,2.25,2.23,2.18,2.15,1.7,2.1,2.1
Interest,22.16,22.27,23.5,16.4,17.01,16.22,16.17,15.8,16.8,16.7
Profit before tax,35.19,56.4,56.56,39.15,59.64,59.88,-141.84,64,82.9,83.3
Tax,9.26,10.91,10.49,9.27,13.18,13.34,-29.89,14.4,22.8,20.7
Net profit,26.22,44.16,46.3,30.14,46.67,47.14,-111.1,50,60.2,62.9
Operating Profit,56.58,75.54,71.5,22.82,53.74,91.96,108.43,55.8,86.1,98.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,5.32,10.86,10.9,10.91,10.93,10.94,10.94,12.44,12.44,12.44
Reserves,835.85,891.91,909.42,982.23,1117.73,1057.97,1163.5,1397.33,1526.68,1562.45
Borrowings,158.25,180.64,388.43,313.65,481.72,613.32,519.58,358.45,435.92,219.08
Other Liabilities,1432.64,1481.34,1609.75,2040.72,2107.02,2083.45,2327.57,2388.87,2024.03,2294.18
Total,2432.06,2564.75,2918.5,3347.51,3717.4,3765.68,4021.59,4157.09,3999.07,4088.15
Net Block,119.18,191.33,175.49,174.44,172.42,148.8,86.34,86.31,79.95,75.48
Capital Work in Progress,69.2,0.55,2.42,,,,,,,
Investments,23.15,37.74,32.24,22.46,4.53,8.32,19.9,24.35,37.57,45.76
Other Assets,2220.53,2335.13,2708.35,3150.61,3540.45,3608.56,3915.35,4046.43,3881.55,3966.91
Total,2432.06,2564.75,2918.5,3347.51,3717.4,3765.68,4021.59,4157.09,3999.07,4088.15
Receivables,1387.48,1480.66,1656.51,2123.76,1302.79,1351.05,1589.35,1349.61,1325.53,1506.82
Inventory,35.02,46.99,97.62,38.5,38.22,15.36,26.41,29.76,31.95,41.13
Cash & Bank,370.16,311.17,362.61,261.74,185.17,179.02,320.54,371.31,428.59,275.4
No. of Equity Shares,26592130,54285110,54496401,54573058,54657390,54690428,54690428,62190428,62190428,62190428
New Bonus Shares,,27142555,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,112.41,5.56,-217.33,6.12,-215.78,-76.26,244.77,135.32,11.64,84.98
Cash from Investing Activity,-73.61,-98.52,121.69,52.4,3.45,9.33,5.03,1.36,-39.05,40.73
Cash from Financing Activity,47.65,2.15,181.57,-100.06,106.11,48.55,-135.42,-85.89,44.64,-240.1
Net Cash Flow,86.45,-90.81,85.93,-41.54,-106.22,-18.38,114.38,50.79,17.23,-114.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,391.4,819.65,518.35,681.35,490.45,329.1,82.35,250.85,280.4,351.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
