COMPANY NAME,SANOFI INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,8098.95,,,,,,,,,
Market Capitalization,18654.37,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Sales,1977.48,2193.1,2366.8,2459.9,2770.8,3070.6,2901.9,2956.6,2770.1,2851.1
Raw Material Cost,1125.04,975.2,1100.2,906.4,1206.4,1345.1,1196.1,1263.7,1200.7,1493.4
Change in Inventory,151,-36.4,35.2,-97.7,60.5,-2.3,-57.5,-43.1,11.1,292.4
Power and Fuel,39.85,31.4,31.7,33.4,40,42.3,23.6,13.9,14.3,14.6
Other Mfr. Exp,65.66,73.4,75.1,69.4,82,77.3,90.3,73.7,74.3,75.3
Employee Cost,288.24,333.3,355.3,368.5,406.8,449.7,460.8,433.9,405.9,370.6
Selling and admin,308.23,355.9,368,390.4,425.5,433.8,306.8,306.9,315.7,332.6
Other Expenses,-37.42,11.4,-63.4,55.6,45.3,52.9,50.9,58.9,65.9,53
Other Income,130.86,218.2,66.4,79.4,87.9,32.9,45.3,563.6,203.5,83.1
Depreciation,96.64,113,118.8,102.2,102.7,99.9,82.2,66.7,41.9,39.6
Interest,0.48,0.4,2.3,1.1,0.7,0.3,1.8,1.8,1.7,1.7
Profit before tax,372.62,480.9,480.4,514.6,609.8,599.9,677.2,1257.6,864.3,845.8
Tax,109.01,159.4,176.2,188.6,229.2,185.7,199.6,313.2,243.7,242.6
Net profit,263.61,321.5,304.2,326,380.6,414.2,477.6,944.4,620.6,603.2
Dividend Amount,103.64,149.5,156.4,163.3,193.2,802.7,839.5,1127,1311,384.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,754.5,687.9,707,699.3,691.9,671.9,736.5,706.1,714.6,693.9
Expenses,555.7,560.7,512.5,538.2,510,505,506.6,527.9,506.1,506.5
Other Income,503.9,16.3,142.5,15.7,11.4,33.9,43.6,15.7,11.8,12
Depreciation,14.3,10.9,10.9,10.6,10.4,10,9.7,9.8,9.9,10.2
Interest,0.5,0.4,0.4,0.4,0.5,0.4,0.3,0.7,0.3,0.4
Profit before tax,687.9,132.2,325.7,165.8,182.4,190.4,263.5,183.4,210.1,188.8
Tax,158.1,41.8,87.3,45.4,51.5,59.5,73.1,60.5,57.9,51.1
Net profit,529.8,90.4,238.4,120.4,130.9,130.9,190.4,122.9,152.2,137.7
Operating Profit,198.8,127.2,194.5,161.1,181.9,166.9,229.9,178.2,208.5,187.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Equity Share Capital,23.03,23,23,23,23,23,23,23,23,23
Reserves,1462.81,1604.1,1860,2003.4,2196.2,2419.3,2096,2202.6,1252.8,992.5
Borrowings,,,,,,,22.6,24.6,23.6,19
Other Liabilities,741.77,777.5,658.2,751.3,764.7,802.1,776.9,810.8,772.3,680.6
Total,2227.61,2404.6,2541.2,2777.7,2983.9,3244.4,2918.5,3061,2071.7,1715.1
Net Block,648.36,877.1,816.9,769,732.8,498.7,464.1,334.1,305.5,314.9
Capital Work in Progress,209.88,22.1,33.6,30.1,21.1,17.4,10,12.8,23.6,15.9
Investments,0.24,0.2,0.2,0.2,0.2,,,,,2
Other Assets,1369.13,1505.2,1690.5,1978.4,2229.8,2728.3,2444.4,2714.1,1742.6,1382.3
Total,2227.61,2404.6,2541.2,2777.7,2983.9,3244.4,2918.5,3061,2071.7,1715.1
Receivables,115.22,144.1,144.8,195.1,158.4,224,148,142.9,129.1,131.7
Inventory,478.09,479.2,493.1,415.6,483.1,469.6,368,392.4,408,663.8
Cash & Bank,468.84,571.5,561,729.9,831.9,1129.5,1208.6,1550.3,1016.9,404.9
No. of Equity Shares,23030622,23030622,23030622,23030622,23030622,23030622,23030622,23030622,23030622,23030622
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Cash from Operating Activity,264.95,213.2,322.1,435.1,373.9,412.3,611.1,558.8,398.7,230.8
Cash from Investing Activity,61.34,35.9,-155,-78.7,-73.1,65.7,276.4,630.8,650.9,35.5
Cash from Financing Activity,-121.73,-147,-180.2,-188.4,-197.2,-183.2,-810,-849,-1582.7,-878.3
Net Cash Flow,204.56,102.1,-13.1,168,103.6,294.8,77.5,340.6,-533.1,-612
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,3593.9,4378.75,4300.45,4740.1,6370.5,7006,8326.95,7887.2,5853.05,8067.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
